date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2011-11-30,1,5,train,41.2,500.0,1974.1,1237.0,-588.1,1.0
2011-11-30,1,10,train,37.3,501.5,1018.3,759.9,-206.2,1.0
2011-11-30,5,1,train,30.4,412.2,216.5,314.3,174.6,1.0
2011-11-30,5,5,train,26.0,307.2,489.4,398.3,-162.5,1.0
2011-11-30,5,10,train,25.1,288.7,230.9,259.8,51.5,1.0
2011-11-30,10,1,train,22.4,257.1,120.9,189.0,171.8,1.0
2011-11-30,10,5,train,21.5,198.6,351.3,275.0,-192.6,1.0
2011-11-30,10,10,train,23.5,172.4,240.0,206.2,-85.2,1.0
2011-12-30,1,1,train,59.2,655.5,712.9,684.2,-22.9,1.0
2011-12-30,1,5,train,43.5,524.1,1781.5,1152.8,-501.6,1.0
2011-12-30,1,10,train,38.9,558.9,964.3,761.6,-161.7,1.0
2011-12-30,5,1,train,33.8,413.4,238.8,326.1,155.7,1.0
2011-12-30,5,5,train,28.5,318.5,492.3,405.4,-155.1,1.0
2011-12-30,5,10,train,27.4,296.1,244.2,270.1,46.3,1.0
2011-12-30,10,1,train,24.0,268.9,109.9,189.4,200.6,1.0
2011-12-30,10,5,train,23.3,205.9,282.9,244.4,-97.1,1.0
2011-12-30,10,10,train,25.4,175.1,192.1,183.6,-21.4,1.0
2012-01-31,1,1,train,68.6,666.2,655.7,660.9,4.2,1.0
2012-01-31,1,5,train,42.5,566.6,2060.0,1313.3,-595.8,1.0
2012-01-31,1,10,train,36.3,546.4,958.2,752.3,-164.3,1.0
2012-01-31,5,1,train,35.6,422.6,200.4,311.5,198.2,1.0
2012-01-31,5,5,train,28.8,360.5,411.6,386.0,-45.6,1.0
2012-01-31,5,10,train,27.6,294.1,289.7,291.9,3.9,1.0
2012-01-31,10,1,train,24.5,267.1,159.7,213.4,135.5,1.0
2012-01-31,10,5,train,24.1,213.4,262.4,237.9,-61.8,1.0
2012-01-31,10,10,train,26.1,178.7,149.1,163.9,37.3,1.0
2012-02-29,1,1,train,59.1,692.4,569.8,631.1,48.9,1.0
2012-02-29,1,5,train,40.4,539.7,1826.5,1183.1,-513.3,1.0
2012-02-29,1,10,train,34.7,555.2,986.4,770.8,-172.0,1.0
2012-02-29,5,1,train,34.4,420.8,205.0,312.9,192.5,1.0
2012-02-29,5,5,train,28.2,341.2,346.2,343.7,-4.5,1.0
2012-02-29,5,10,train,26.6,287.0,309.4,298.2,-20.0,1.0
2012-02-29,10,1,train,24.2,269.3,119.3,194.3,189.2,1.0
