as_of_date,ccy,z_1,z_2,z_3,z_4
2016-06-30,CAD,0.001524519,-0.035803527,0.0522476,-0.021598447
2016-07-29,CAD,-0.005849008,-0.031072471,0.052231353,-0.019287195
2016-08-31,CAD,-0.010840818,-0.027468273,0.05148419,-0.016063482
2016-09-30,CAD,-0.006647251,-0.029827964,0.050883006,-0.017079357
2016-10-31,CAD,0.0017697267,-0.038822528,0.05535183,-0.019977607
2016-11-30,CAD,0.0070325183,-0.049207564,0.06518886,-0.019913374
2016-12-30,CAD,0.0049601984,-0.05067781,0.06947533,-0.019015891
2017-01-31,CAD,0.008915145,-0.05422174,0.07104563,-0.021594247
2017-02-28,CAD,0.0050704037,-0.04982869,0.068902306,-0.02040983
2017-03-31,CAD,0.005469134,-0.050584402,0.06996315,-0.020367876
2017-04-28,CAD,0.004829683,-0.047603812,0.067101546,-0.021344287
2017-05-31,CAD,0.004330235,-0.04624385,0.06527477,-0.020362569
2017-06-30,CAD,-0.018948985,-0.041819192,0.07969682,-0.014660274
2017-07-31,CAD,-0.027330928,-0.042764768,0.089351445,-0.01588925
2017-08-31,CAD,-0.03415504,-0.035734206,0.085631065,-0.014751625
2017-09-29,CAD,-0.047566015,-0.033388376,0.09569334,-0.0127358725
2017-10-31,CAD,-0.041649055,-0.034559693,0.09118548,-0.012877244
2017-11-30,CAD,-0.04560382,-0.0311466,0.09028145,-0.011374742
2017-12-29,CAD,-0.060196538,-0.025142945,0.097567536,-0.0037998315
2018-07-31,CAD,-0.086964354,-0.02006293,0.1128097,-0.004772177
2018-08-31,CAD,-0.09035126,-0.01700765,0.111805476,-0.005962232
2018-09-28,CAD,-0.09474019,-0.01890783,0.118763,-0.005551085
2018-10-31,CAD,-0.1017414,-0.017855618,0.12432339,-0.0064123273
2018-11-30,CAD,-0.09372098,-0.01865634,0.11777097,-0.009695813
2018-12-31,CAD,-0.081014544,-0.020195851,0.10701064,-0.014091416
2019-01-31,CAD,-0.07760812,-0.020014588,0.10420949,-0.013850534
2019-02-28,CAD,-0.073901154,-0.022445288,0.10388956,-0.013665481
2019-03-29,CAD,-0.067680724,-0.01853822,0.09192684,-0.015822317
2019-04-30,CAD,-0.061419744,-0.023682207,0.09387336,-0.018144105
2019-05-31,CAD,-0.060846347,-0.019234326,0.086642355,-0.018263562
2019-06-28,CAD,-0.066880316,-0.01383467,0.08445453,-0.015654951
2019-07-31,CAD,-0.07062431,-0.012498126,0.086214274,-0.014278248
2019-08-30,CAD,-0.068581246,-0.006396206,0.07535507,-0.013146051
2019-09-30,CAD,-0.08150312,-0.0031780635,0.08303629,-0.010258179
2019-10-31,CAD,-0.07254246,-0.009852474,0.0838289,-0.01108224
2019-11-29,CAD,-0.076140106,-0.009100088,0.08591448,-0.009775195
2019-12-31,CAD,-0.077186376,-0.014581602,0.09438391,-0.009350964
2020-01-31,CAD,-0.06844064,-0.009411963,0.0794723,-0.012602851
2020-02-28,CAD,-0.05223699,-0.013150074,0.06837554,-0.012967611
2020-03-31,CAD,-0.0060660136,-0.025599802,0.044686962,-0.013444781
2020-04-30,CAD,0.00647157,-0.0296998,0.039322454,-0.016062915
2020-05-29,CAD,0.0096164225,-0.03085071,0.037967004,-0.015710535
2020-06-30,CAD,0.007977979,-0.03055171,0.03812375,-0.014695151
2020-07-31,CAD,0.006882914,-0.028102353,0.03559666,-0.014290415
2020-08-31,CAD,0.015109218,-0.035945494,0.039238572,-0.016906137
2020-09-30,CAD,0.014352228,-0.034725025,0.03861447,-0.016699778
2020-10-30,CAD,0.021262378,-0.040648773,0.040255234,-0.01831334
2020-11-30,CAD,0.018929662,-0.04017237,0.041321233,-0.017166078
2020-12-31,CAD,0.02508515,-0.043853194,0.040950738,-0.018950516
2021-01-29,CAD,0.0346729,-0.053012464,0.04457806,-0.021919763
2021-02-26,CAD,0.034024924,-0.061619036,0.055247962,-0.015707377
2021-03-31,CAD,0.048100285,-0.07482159,0.060692742,-0.020200942
2021-04-30,CAD,0.04520968,-0.07093922,0.059690397,-0.020091403
2021-05-31,CAD,0.04023909,-0.06657853,0.058761988,-0.018458506
2021-06-30,CAD,0.022983368,-0.054776825,0.059605382,-0.011564409
2021-07-30,CAD,0.023212159,-0.051158592,0.055871643,-0.014586957
2021-08-31,CAD,0.02125249,-0.050859664,0.05680483,-0.013521368
2021-09-30,CAD,0.019009482,-0.055141594,0.06485493,-0.011408518
2021-10-29,CAD,-0.025305312,-0.03589839,0.08121674,0.0007056767
2021-11-30,CAD,-0.030667081,-0.029668475,0.07648111,0.0010598091
2021-12-31,CAD,-0.03433121,-0.026874095,0.075777195,0.0004453411
2022-01-31,CAD,-0.04359258,-0.030024707,0.090477265,-0.0025679346
2022-02-28,CAD,-0.05239581,-0.027660377,0.09416373,-0.003660693
2022-03-31,CAD,-0.09696538,-0.01680861,0.12171868,0.0021702927
2022-04-29,CAD,-0.11754099,-0.01904837,0.14076379,-0.0027946022
2022-05-31,CAD,-0.117790215,-0.020163309,0.14112079,-0.0061266734
2022-06-30,CAD,-0.14778318,-0.014282692,0.15953797,-0.008708737
2022-07-29,CAD,-0.15438074,-0.0024512652,0.14903992,-0.020851808
2022-08-31,CAD,-0.19885345,0.01108532,0.17394456,-0.007812162
2022-09-30,CAD,-0.20983636,0.013638256,0.17885147,-0.0113176545
2022-10-31,CAD,-0.21828759,0.014667958,0.18459816,-0.015626198
2022-11-30,CAD,-0.22815913,0.025927903,0.17808071,-0.018746076
2022-12-30,CAD,-0.22854485,0.01833327,0.18842787,-0.02062445
2023-01-31,CAD,-0.22313668,0.022966556,0.17618303,-0.027574752
2023-02-28,CAD,-0.24046671,0.026085587,0.19128267,-0.01541823
2023-03-31,CAD,-0.22145924,0.023966867,0.17476504,-0.02393782
2023-04-28,CAD,-0.22382429,0.025421819,0.17474669,-0.024288263
2023-05-31,CAD,-0.2546181,0.033739302,0.19329087,-0.017024772
2023-06-30,CAD,-0.2847483,0.047076646,0.20313396,-0.011111198
2023-07-31,CAD,-0.2855181,0.042376813,0.21024385,-0.010947442
2023-08-31,CAD,-0.27998868,0.037710547,0.21081069,-0.011619618
2023-09-29,CAD,-0.2782421,0.028130861,0.22226916,-0.010612853
2023-10-31,CAD,-0.2541165,0.014449365,0.21643628,-0.01690027
2023-11-30,CAD,-0.23807238,0.01937147,0.19395699,-0.01846871
2023-12-29,CAD,-0.22509621,0.023659978,0.17546935,-0.021019783
2024-01-31,CAD,-0.23198685,0.019926962,0.18638968,-0.023405267
2024-02-29,CAD,-0.23795167,0.02089769,0.19292732,-0.017268816
2010-01-29,DKK,-0.018218316,-0.077969395,0.12847954,-0.017564012
2010-02-26,DKK,-0.006940931,-0.08295138,0.122555844,-0.020392401
2010-03-31,DKK,-0.0036739574,-0.083344676,0.12045883,-0.021575522
2010-04-30,DKK,-0.004358025,-0.08078296,0.116415456,-0.020922756
2010-05-31,DKK,-0.0036011026,-0.07425692,0.10519438,-0.02042603
2010-06-30,DKK,-0.0050567985,-0.07222145,0.104634605,-0.023611879
2010-07-30,DKK,-0.002517957,-0.074938215,0.108192086,-0.022794196
