as_of_date,ccy,z_1,z_2,z_3
2020-02-28,AUD,-0.0060062786,-0.0019288184,-0.033135813
2020-03-31,AUD,-0.0022652254,-0.0017148741,-0.026359718
2020-04-30,AUD,0.005510109,-0.0028663813,-0.02502196
2020-05-29,AUD,0.0051090936,-0.0030157533,-0.024723666
2020-06-30,AUD,0.0069115823,-0.003180543,-0.024497937
2020-07-31,AUD,0.006255662,-0.003143702,-0.022328822
2020-08-31,AUD,0.009546291,-0.003779528,-0.024903705
2020-09-30,AUD,0.0093620615,-0.00367942,-0.022114871
2020-10-30,AUD,0.011910471,-0.0040518334,-0.021510081
2020-11-30,AUD,0.013794806,-0.004683975,-0.02492404
2020-12-31,AUD,0.014836439,-0.0047236523,-0.025890103
2021-01-29,AUD,0.017156523,-0.0051816935,-0.029633816
2021-02-26,AUD,0.019748567,-0.0059477803,-0.04267255
2021-03-31,AUD,0.02114685,-0.006328231,-0.044489678
2021-04-30,AUD,0.020397043,-0.0060850056,-0.042690877
2021-05-31,AUD,0.019625725,-0.005872349,-0.042130318
2021-06-30,AUD,0.015111084,-0.004911744,-0.0393035
2021-07-30,AUD,0.013643171,-0.0044619255,-0.03282672
2021-08-31,AUD,0.013777923,-0.004276247,-0.03364609
2021-09-30,AUD,0.014613745,-0.004693902,-0.039778043
2021-10-29,AUD,-0.0021173286,-0.0039606225,-0.060687043
2021-11-30,AUD,7.042498e-05,-0.0035373566,-0.054938346
2021-12-31,AUD,-0.0011663968,-0.0030763377,-0.054929428
2022-01-31,AUD,-0.0067947963,-0.0028341624,-0.06248446
2022-02-28,AUD,-0.007858551,-0.0030184651,-0.06832676
2022-03-31,AUD,-0.025457947,-0.0022534505,-0.09620338
2022-04-29,AUD,-0.04165473,-0.0016265009,-0.120004036
2022-05-31,AUD,-0.048300635,-0.0014098656,-0.12756251
2022-06-30,AUD,-0.058151875,-0.0004394136,-0.14282644
2022-07-29,AUD,-0.053116336,-0.0006668681,-0.12775202
2022-08-31,AUD,-0.063441835,-0.0003871368,-0.14800023
2022-09-30,AUD,-0.07373255,0.00023034599,-0.16119508
2022-10-31,AUD,-0.07244045,-0.0004062416,-0.16615883
2022-11-30,AUD,-0.06571101,-0.00040041486,-0.14895639
2022-12-30,AUD,-0.07233806,-0.0002682034,-0.16497773
2023-01-31,AUD,-0.06568525,-0.000352591,-0.15094738
2023-02-28,AUD,-0.07728711,8.778951e-06,-0.16793783
2023-03-31,AUD,-0.06277762,-0.00021565474,-0.14335391
2023-04-28,AUD,-0.064772844,-0.00024741807,-0.14417116
2023-05-31,AUD,-0.07343227,0.00010080981,-0.15712628
2023-06-30,AUD,-0.08815113,0.0012611147,-0.1729425
2023-07-31,AUD,-0.08309149,0.0007328834,-0.17092548
2023-08-31,AUD,-0.076626144,0.00020825463,-0.16602695
2023-09-29,AUD,-0.0779077,-0.00022549371,-0.1774815
2023-10-31,AUD,-0.08231521,-0.00038144185,-0.19409469
2023-11-30,AUD,-0.07821442,-8.9399866e-05,-0.17926443
2023-12-29,AUD,-0.073708765,0.0003321959,-0.16044569
