date,expiry,tenor,split,mkt_bp,sigma_str_bp,vol_error_bp,forward_bias_bp,path_frac
2019-05-31,1,10,train,82.10000000000001,114.44481757628411,32.3448175762841,-29.59910924824478,1.0
2019-05-31,5,5,train,68.6,29.521577550387875,-39.07842244961212,49.05471637745889,1.0
2019-06-28,10,5,train,52.3,47.1422673111756,-5.157732688824396,118.88325758891897,1.0
2019-06-28,10,1,train,68.2,61.88581098294726,-6.31418901705274,156.14610234266667,1.0
2019-06-28,10,10,train,49.6,60.59939548523232,10.99939548523232,152.90030556355134,1.0
2019-06-28,5,5,train,104.0,40.71905171855462,-63.28094828144538,51.56227859210954,1.0
2019-06-28,1,10,train,134.7,147.2147602008724,12.514760200872416,-46.990246799585194,1.0
2019-06-28,5,10,train,61.5,53.28515634890992,-8.214843651090078,92.0586064621411,1.0
2019-07-31,1,10,test,584.8,195.97005471192747,-388.8299452880725,-77.12566464086784,1.0
2019-07-31,5,5,test,235.69999999999996,48.17016911412047,-187.5298308858795,62.8806901943371,1.0
2019-07-31,5,10,test,90.0,60.49273626049981,-29.50726373950019,106.83168824985685,1.0
2019-07-31,10,1,test,115.2,67.23798172807142,-47.962018271928585,169.65033841309426,1.0
2019-07-31,10,5,test,69.0,52.73244915635233,-16.26755084364767,133.04612781128517,1.0
2019-07-31,10,10,test,64.5,65.7273981548554,1.2273981548553934,165.8389358722835,1.0
2019-08-30,10,10,test,0.9,75.28561324532961,74.38561324532961,189.95557921952292,1.0
2019-08-30,10,5,test,226.5,63.216425919151305,-163.2835740808487,159.50342016248888,1.0
2019-08-30,5,10,test,293.7,75.37195498064813,-218.32804501935186,131.6531549799221,1.0
2019-08-30,10,1,test,153.8,77.19301294690239,-76.60698705309763,194.76820143905275,1.0
2019-09-30,5,10,test,195.60000000000002,71.07307040762144,-124.52692959237858,125.85889287372595,1.0
2019-09-30,10,1,test,229.59999999999997,74.49592824722397,-155.104071752776,187.96309931865113,1.0
2019-09-30,10,5,test,176.3,60.5161205447282,-115.7838794552718,152.69019185289608,1.0
2019-09-30,10,10,test,190.3,72.95882809466187,-117.34117190533814,184.08479193411955,1.0
2019-10-31,1,10,test,502.4,182.00704944903532,-320.39295055096466,-57.142909116037096,1.0
2019-10-31,5,10,test,126.8,64.78138828595723,-62.01861171404276,112.19501217015684,1.0
2019-10-31,10,1,test,171.9,69.71435433874282,-102.18564566125718,175.89855468371925,1.0
2019-10-31,10,5,test,101.0,55.66589676353284,-45.33410323646716,140.45103852676044,1.0
2019-10-31,10,10,test,96.7,68.73624301748592,-27.963756982514084,173.43065019889985,1.0
2019-11-29,10,1,test,173.7,69.12254230965287,-104.57745769034712,174.4053345061997,1.0
2019-11-29,10,5,test,95.7,55.11497315779385,-40.585026842206155,139.06009141065633,1.0
2019-11-29,10,10,test,93.60000000000001,68.3058161272363,-25.29418387276371,172.34462611375906,1.0
2019-11-29,5,10,test,116.2,63.574908797754865,-52.62509120224514,111.31363627619605,1.0
2019-11-29,1,10,test,552.9,160.4977192049107,-392.40228079508927,-40.11108405004424,1.0
2019-11-29,5,5,test,211.7,46.93528945269543,-164.76471054730456,71.68991860694264,1.0
2019-12-31,1,10,test,149.3,145.34176028633365,-3.9582397136663587,-38.36490375256985,1.0
2019-12-31,5,5,test,115.0,38.22848170594455,-76.77151829405545,63.829187590631555,1.0
2019-12-31,5,10,test,76.2,56.63151997330222,-19.568480026697785,99.18988816400959,1.0
2019-12-31,10,1,test,81.8,64.46985474564376,-17.33014525435624,162.66598719864956,1.0
2019-12-31,10,5,test,63.9,50.444094761550225,-13.455905238449773,127.25531016673841,1.0
2019-12-31,10,10,test,63.6,64.27086039434195,0.6708603943419504,162.16389807918165,1.0
2020-01-31,10,10,test,193.20000000000002,71.0231578155244,-122.17684218447562,179.20083930092,1.0
2020-01-31,10,5,test,175.5,58.22951180920981,-117.27048819079019,146.92077498717427,1.0
2020-01-31,10,1,test,181.3,72.1864994848916,-109.11350051510841,182.13610450112154,1.0
2020-01-31,5,5,test,364.8,50.98866875719031,-313.81133124280973,79.7454312016652,1.0
2020-01-31,1,10,test,767.0,193.51709426429048,-573.4829057357096,-60.751520147372744,1.0
2020-01-31,5,10,test,246.7,67.88375744062392,-178.81624255937606,119.75363077710587,1.0
2020-02-28,5,10,test,208.89999999999998,74.18182768096806,-134.7181723190319,131.21666097388828,1.0
2020-02-28,10,5,test,188.7,62.72946580866922,-125.97053419133077,158.27475527080497,1.0
2020-02-28,10,10,test,208.80000000000004,75.02934769363262,-133.77065230636742,189.30898727176276,1.0
2020-03-31,1,10,test,547.6,202.668845469684,-344.931154530316,-60.597619199715396,1.0
2021-02-26,10,10,test,132.5,68.82520210966265,-63.674797890337345,173.65510577750038,1.0
2021-02-26,10,5,test,110.7,55.63775332743616,-55.062246672563845,140.3804080467163,1.0
2021-02-26,1,10,test,564.6,197.2176861777728,-367.3823138222272,-74.28454222975925,1.0
2021-02-26,5,10,test,136.0,63.71684183637397,-72.28315816362603,113.20509365439848,1.0
2021-02-26,10,1,test,181.10000000000002,69.62952143983539,-111.47047856016464,175.6845100375487,1.0
2021-03-31,1,10,test,573.5,193.47321303492558,-380.0267869650744,-78.97316846682045,1.0
2021-03-31,5,5,test,300.6,42.14817454426543,-258.4518254557346,68.9644437944656,1.0
2021-03-31,5,10,test,103.0,59.312579546814845,-43.687420453185155,105.33852262920792,1.0
2021-03-31,10,1,test,105.5,66.62050483285782,-38.87949516714218,168.09236237718483,1.0
