as_of_date,ccy,z_1
2016-07-29,CAD,0.18497485
2016-08-31,CAD,0.18073767
2016-09-30,CAD,0.17888747
2016-10-31,CAD,0.1972993
2016-11-30,CAD,0.23052716
2016-12-30,CAD,0.24417993
2017-01-31,CAD,0.25000313
2017-02-28,CAD,0.24140355
2017-03-31,CAD,0.24493799
2017-04-28,CAD,0.23438966
2017-05-31,CAD,0.22896594
2017-06-30,CAD,0.27213112
2017-07-31,CAD,0.3008803
2017-08-31,CAD,0.2871175
2017-09-29,CAD,0.31755692
2017-10-31,CAD,0.30368143
2017-11-30,CAD,0.29986677
2017-12-29,CAD,0.32211733
2018-07-31,CAD,0.36355576
2018-08-31,CAD,0.3591426
2018-09-28,CAD,0.38159502
2018-10-31,CAD,0.39901155
2018-11-30,CAD,0.3784756
2018-12-31,CAD,0.34502494
2019-01-31,CAD,0.33699864
2019-02-28,CAD,0.33734232
2019-03-29,CAD,0.29879692
2019-04-30,CAD,0.30713058
2019-05-31,CAD,0.28175378
2019-06-28,CAD,0.27355683
2019-07-31,CAD,0.27843726
2019-08-30,CAD,0.24157757
2019-09-30,CAD,0.2644956
2019-10-31,CAD,0.2692038
2019-11-29,CAD,0.27646765
2019-12-31,CAD,0.30439788
2020-01-31,CAD,0.25559258
2020-02-28,CAD,0.22108191
2020-03-31,CAD,0.15077904
2020-04-30,CAD,0.1371325
2020-05-29,CAD,0.13288294
2020-06-30,CAD,0.13459812
2020-07-31,CAD,0.12577894
2020-08-31,CAD,0.14032045
2020-09-30,CAD,0.13762453
2020-10-30,CAD,0.14535038
2020-11-30,CAD,0.14846995
2020-12-31,CAD,0.14913215
2021-01-29,CAD,0.16398184
2021-02-26,CAD,0.19956198
2021-03-31,CAD,0.21863616
2021-04-30,CAD,0.21459822
2021-05-31,CAD,0.21060194
2021-06-30,CAD,0.20956644
2021-07-30,CAD,0.19649062
2021-08-31,CAD,0.19938214
2021-09-30,CAD,0.22619991
2021-10-29,CAD,0.27571413
2021-11-30,CAD,0.2573219
2021-12-31,CAD,0.25446233
2022-01-31,CAD,0.30135566
2022-02-28,CAD,0.3142799
2022-03-31,CAD,0.39905286
2022-04-29,CAD,0.45944136
2022-05-31,CAD,0.45992142
2022-06-30,CAD,0.5149694
2022-07-29,CAD,0.475639
2022-08-31,CAD,0.5540421
2022-09-30,CAD,0.56676114
2022-10-31,CAD,0.5843749
2022-11-30,CAD,0.55976737
2022-12-30,CAD,0.59601724
2023-01-31,CAD,0.5539292
2023-02-28,CAD,0.60455215
2023-03-31,CAD,0.5476639
2023-04-28,CAD,0.54664487
2023-05-31,CAD,0.60431707
2023-06-30,CAD,0.6308929
2023-07-31,CAD,0.6534611
2023-08-31,CAD,0.6557951
2023-09-29,CAD,0.69543535
2023-10-31,CAD,0.6798109
2023-11-30,CAD,0.60737956
2023-12-29,CAD,0.54820466
2024-01-31,CAD,0.5816699
2024-02-29,CAD,0.60439146
2010-01-29,DKK,0.43738127
2010-02-26,DKK,0.4204908
2010-03-31,DKK,0.41426232
2010-04-30,DKK,0.4006979
2010-05-31,DKK,0.3632373
2010-06-30,DKK,0.3630346
2010-07-30,DKK,0.37500316
2010-08-31,DKK,0.3092606
2010-09-30,DKK,0.34520283
2010-10-29,DKK,0.3648199
2010-11-30,DKK,0.38224697
2010-12-31,DKK,0.41160974
2011-01-31,DKK,0.4329328
2011-02-28,DKK,0.43577242
2011-03-31,DKK,0.4676088
2011-04-29,DKK,0.45960256
2011-05-31,DKK,0.43103004
2011-06-30,DKK,0.44518527
2011-08-31,DKK,0.35841197
2011-09-30,DKK,0.30164126
2011-10-31,DKK,0.31835318
2011-11-30,DKK,0.29369313
2011-12-30,DKK,0.2578948
2012-01-31,DKK,0.25952727
2012-02-29,DKK,0.27312434
2012-03-30,DKK,0.27718517
2012-04-30,DKK,0.2652928
2012-05-31,DKK,0.19315353
2012-06-29,DKK,0.21943976
2012-07-31,DKK,0.19419187
2012-08-31,DKK,0.19661254
