as_of_date,option_maturity,swap_tenor,expiry_years,tenor_years,strike,forward0,annuity0,market_vol,market_vol_dec,model_price,model_price_stderr,model_vol_dec,model_vol_bp,vol_error_bp,status
2014-03-31,1.0,1.0,1.0,1,0.01720310188829899,0.01720310188829899,0.9685636758804321,86.4,0.00864,0.008945017121732235,0.0004768296203110367,0.023149570227286212,231.49570227286213,145.09570227286213,ok
2014-04-30,1.0,1.0,1.0,1,0.016934417188167572,0.016934417188167572,0.9689687490463257,93.5,0.00935,0.009755068458616734,0.0004950452130287886,0.025235416976446462,252.35416976446461,158.85416976446461,ok
2014-05-30,1.0,1.0,1.0,1,0.016423381865024567,0.016423381865024567,0.969740629196167,105.5,0.01055,0.010217542760074139,0.0005064055440016091,0.02641075438994739,264.1075438994739,158.60754389947388,ok
2014-06-30,1.0,1.0,1.0,1,0.016691602766513824,0.016691602766513824,0.9693341851234436,85.8,0.008579999999999999,0.009661366231739521,0.0004942489322274923,0.024983596101028238,249.83596101028238,164.03596101028242,ok
2014-07-31,1.0,1.0,1.0,1,0.017205141484737396,0.017205141484737396,0.9685596823692322,79.6,0.00796,0.008456493727862835,0.00046121771447360516,0.02188536924296628,218.8536924296628,139.2536924296628,ok
2014-08-29,1.0,1.0,1.0,1,0.016598671674728394,0.016598671674728394,0.969475269317627,120.7,0.01207,0.009749434888362885,0.0004953129100613296,0.02520766638023196,252.07666380231962,131.3766638023196,ok
2014-09-30,1.0,1.0,1.0,1,0.017219817265868187,0.017219817265868187,0.9685373306274414,195.2,0.01952,0.009145354852080345,0.0004884274094365537,0.023668685066488608,236.6868506648861,41.48685066488609,ok
2014-10-31,1.0,1.0,1.0,1,0.01652054488658905,0.01652054488658905,0.9695934057235718,162.3,0.01623,0.010680791921913624,0.0005173470126464963,0.02761237325757135,276.12373257571346,113.82373257571348,ok
2014-11-28,1.0,1.0,1.0,1,0.0159799512475729,0.0159799512475729,0.9704135656356812,187.8,0.01878,0.009447688236832619,0.0004854256985709071,0.02440386583923143,244.03865839231432,56.2386583923143,ok
2014-12-31,1.0,1.0,1.0,1,0.01627984456717968,0.01627984456717968,0.9699576497077942,343.0,0.0343,0.008984142914414406,0.00048254086868837476,0.023217412285352006,232.17412285352006,-110.82587714647991,ok
2015-01-30,1.0,1.0,1.0,1,0.014587601646780968,0.014587601646780968,0.9725489616394043,0.0,0.0,0.010340899229049683,0.0005139930872246623,0.02665242719395003,266.5242719395003,266.5242719395003,ok
2015-02-27,1.0,1.0,1.0,1,0.01576310582458973,0.01576310582458973,0.9707441329956055,0.0,0.0,0.00995140615850687,0.0005036675720475614,0.025696241884331075,256.96241884331073,256.96241884331073,ok
2015-03-31,1.0,1.0,1.0,1,0.015364169143140316,0.015364169143140316,0.9713541269302368,0.0,0.0,0.010131253860890865,0.0005093452637083828,0.02614421113896971,261.4421113896971,261.4421113896971,ok
2015-04-30,1.0,1.0,1.0,1,0.01564665511250496,0.01564665511250496,0.970921516418457,0.0,0.0,0.010027972050011158,0.0005045326543040574,0.025889217462695402,258.89217462695404,258.89217462695404,ok
2015-05-29,1.0,1.0,1.0,1,0.015936436131596565,0.015936436131596565,0.970478892326355,0.0,0.0,0.009645749814808369,0.0004973916220478714,0.024913791950546195,249.13791950546195,249.13791950546195,ok
2015-06-30,1.0,1.0,1.0,1,0.01671234890818596,0.01671234890818596,0.9693006873130798,0.0,0.0,0.009205943904817104,0.0004865153750870377,0.023806729520071117,238.06729520071116,238.06729520071116,ok
2015-07-31,1.0,1.0,1.0,1,0.01615069806575775,0.01615069806575775,0.9701519012451172,0.0,0.0,0.010208139196038246,0.000512689002789557,0.026375261757790855,263.75261757790855,263.75261757790855,ok
2015-08-31,1.0,1.0,1.0,1,0.016150198876857758,0.016150198876857758,0.9701523184776306,0.0,0.0,0.010211794637143612,0.0005102120921947062,0.0263846951500942,263.846951500942,263.846951500942,ok
2015-09-30,1.0,1.0,1.0,1,0.015202196314930916,0.015202196314930916,0.9715996384620667,0.0,0.0,0.01014737132936716,0.0005024774582125247,0.026179186241396132,261.7918624139613,261.7918624139613,ok
2015-10-30,1.0,1.0,1.0,1,0.015534620732069016,0.015534620732069016,0.9710901975631714,0.0,0.0,0.010136270895600319,0.0005094501539133489,0.02616426701658507,261.6426701658507,261.6426701658507,ok
2015-11-30,1.0,1.0,1.0,1,0.015827860683202744,0.015827860683202744,0.9706401228904724,0.0,0.0,0.010250146500766277,0.0005079573020339012,0.02647047698936944,264.7047698936944,264.7047698936944,ok
2015-12-31,1.0,1.0,1.0,1,0.016509460285305977,0.016509460285305977,0.9696017503738403,0.0,0.0,0.009604337625205517,0.0004999525845050812,0.024829270616683836,248.29270616683837,248.29270616683837,ok
2016-01-29,1.0,1.0,1.0,1,0.014866186305880547,0.014866186305880547,0.9721136689186096,0.0,0.0,0.011531362310051918,0.0005498756072483957,0.029734011294732993,297.34011294732994,297.34011294732994,ok
2016-02-29,1.0,1.0,1.0,1,0.014362117275595665,0.014362117275595665,0.9728899002075195,0.0,0.0,0.01118498481810093,0.000531220284756273,0.028817854096737885,288.17854096737886,288.17854096737886,ok
2016-03-31,1.0,1.0,1.0,1,0.014506913721561432,0.014506913721561432,0.972666323184967,0.0,0.0,0.010654822923243046,0.0005118626286275685,0.02745821435776062,274.5821435776062,274.5821435776062,ok
2016-04-29,1.0,1.0,1.0,1,0.01483338326215744,0.01483338326215744,0.9721618890762329,0.0,0.0,0.010719883255660534,0.0005192359676584601,0.027640213807306538,276.4021380730654,276.4021380730654,ok
2016-05-31,1.0,1.0,1.0,1,0.015009940601885319,0.015009940601885319,0.9718891382217407,0.0,0.0,0.00982083659619093,0.000494260573759675,0.025329212689406952,253.29212689406953,253.29212689406953,ok
2016-06-30,1.0,1.0,1.0,1,0.013735827058553696,0.013735827058553696,0.9738643169403076,0.0,0.0,0.009304070845246315,0.00047938773059286177,0.023947737527890138,239.47737527890138,239.47737527890138,ok
2016-07-29,1.0,1.0,1.0,1,0.013915185816586018,0.013915185816586018,0.9735837578773499,0.0,0.0,0.010687202215194702,0.0005227587535046041,0.027515704768650145,275.15704768650147,275.15704768650147,ok
2016-08-31,1.0,1.0,1.0,1,0.014352019876241684,0.014352019876241684,0.9729057550430298,0.0,0.0,0.010240801610052586,0.000510174548253417,0.02638475796610862,263.8475796610862,263.8475796610862,ok
2016-09-30,1.0,1.0,1.0,1,0.014331592246890068,0.014331592246890068,0.9729366898536682,0.0,0.0,0.010817659087479115,0.0005222356412559748,0.027870107496996865,278.70107496996866,278.70107496996866,ok
2016-10-31,1.0,1.0,1.0,1,0.014973126351833344,0.014973126351833344,0.9719460010528564,0.0,0.0,0.011202794499695301,0.0005238636513240635,0.028891771165679925,288.91771165679927,288.91771165679927,ok
2016-11-30,1.0,1.0,1.0,1,0.01681489311158657,0.01681489311158657,0.969139039516449,0.0,0.0,0.00969648826867342,0.0004804943746421486,0.02507946813391388,250.7946813391388,250.7946813391388,ok
2016-12-30,1.0,1.0,1.0,1,0.01748581975698471,0.01748581975698471,0.9681269526481628,0.0,0.0,0.008880008943378925,0.00047674315283074975,0.022991696941774012,229.91696941774012,229.91696941774012,ok
2017-01-31,1.0,1.0,1.0,1,0.01764586567878723,0.01764586567878723,0.9678853154182434,0.0,0.0,0.009689819067716599,0.0004977702628821135,0.02509468225654532,250.9468225654532,250.9468225654532,ok
2022-02-28,1.0,1.0,1.0,1,0.01637982577085495,0.01637982577085495,0.9697974920272827,243.8,0.024380000000000002,0.009370085783302784,0.00048735496238805354,0.024218790163136383,242.18790163136384,-1.6120983686361903,ok
2022-03-31,1.0,1.0,1.0,1,0.020020566880702972,0.020020566880702972,0.9643442630767822,105.9,0.01059,0.008080024272203445,0.0004537908243946731,0.02100247606159837,210.02476061598372,104.1247606159837,ok
2022-04-29,1.0,1.0,1.0,1,0.024037335067987442,0.024037335067987442,0.9584914445877075,72.2,0.00722,0.006853741127997637,0.0004329892690293491,0.017923771146262077,179.23771146262078,107.03771146262076,ok
2022-05-31,1.0,1.0,1.0,1,0.023247836157679558,0.023247836157679558,0.9596266746520996,64.5,0.00645,0.0073541258461773396,0.0004441663040779531,0.01920961585181622,192.0961585181622,127.5961585181622,ok
2022-06-30,1.0,1.0,1.0,1,0.025458360090851784,0.025458360090851784,0.9564422369003296,68.2,0.0068200000000000005,0.006479843519628048,0.00041348786908201873,0.016982268614698093,169.8226861469809,101.62268614698093,ok
2022-07-29,1.0,1.0,1.0,1,0.023342525586485863,0.023342525586485863,0.9594747424125671,107.6,0.010759999999999999,0.007340726442635059,0.00043876279960386455,0.019177651733877962,191.77651733877963,84.17651733877963,ok
2022-08-31,1.0,1.0,1.0,1,0.028848065063357353,0.028848065063357353,0.9516308307647705,62.8,0.00628,0.005015558563172817,0.0003586274106055498,0.01321115342323783,132.1115342323783,69.3115342323783,ok
2022-09-30,1.0,1.0,1.0,1,0.03691619262099266,0.03691619262099266,0.9404587745666504,51.1,0.00511,0.004299060441553593,0.00029436853947117925,0.011458393231655893,114.58393231655893,63.483932316558935,ok
2022-10-31,1.0,1.0,1.0,1,0.04142874479293823,0.04142874479293823,0.934319257736206,42.7,0.00427,0.003313000313937664,0.00023964904539752752,0.00888824691561928,88.88246915619281,46.1824691561928,ok
2022-11-30,1.0,1.0,1.0,1,0.034942932426929474,0.034942932426929474,0.9431378841400146,41.9,0.00419,0.00443309685215354,0.0003093114646617323,0.011782079906500854,117.82079906500854,75.92079906500854,ok
2022-12-30,1.0,1.0,1.0,1,0.03781132400035858,0.03781132400035858,0.9392186999320984,34.0,0.0034,0.003899506526067853,0.00027875322848558426,0.01040717493812307,104.0717493812307,70.0717493812307,ok
2023-01-31,1.0,1.0,1.0,1,0.03361783176660538,0.03361783176660538,0.9449647665023804,28.7,0.0028699999999999997,0.004578449763357639,0.00032153824577108026,0.012144867234879078,121.44867234879078,92.74867234879079,ok
2023-02-28,1.0,1.0,1.0,1,0.04191601276397705,0.04191601276397705,0.9336451292037964,28.1,0.00281,0.0032071846071630716,0.0002361006336286664,0.008610573082657228,86.10573082657228,58.00573082657228,ok
2023-03-31,1.0,1.0,1.0,1,0.03297606110572815,0.03297606110572815,0.9458550810813904,37.6,0.0037600000000000003,0.005232805851846933,0.0003433777601458132,0.013867556844858159,138.6755684485816,101.07556844858159,ok
2023-04-28,1.0,1.0,1.0,1,0.032664503902196884,0.032664503902196884,0.9462839961051941,41.6,0.0041600000000000005,0.004760964773595333,0.00032866053516045213,0.012611403093717409,126.11403093717409,84.51403093717408,ok
2023-05-31,1.0,1.0,1.0,1,0.03626362979412079,0.03626362979412079,0.9413238167762756,37.5,0.00375,0.0040290639735758305,0.0002903938293457031,0.010728896365386112,107.28896365386112,69.78896365386112,ok
2023-06-30,1.0,1.0,1.0,1,0.041168007999658585,0.041168007999658585,0.9346523880958557,31.6,0.00316,0.003380195703357458,0.0002457112423144281,0.00906528911896715,90.6528911896715,59.0528911896715,ok
2023-07-31,1.0,1.0,1.0,1,0.027486393228173256,0.027486393228173256,0.9535501003265381,33.7,0.00337,0.006122323218733072,0.0003949440142605454,0.01609395089073025,160.9395089073025,127.2395089073025,ok
2023-08-31,1.0,1.0,1.0,1,0.028564563021063805,0.028564563021063805,0.9520279169082642,36.0,0.0036,0.005256154574453831,0.00036226678639650345,0.01383911693991495,138.3911693991495,102.3911693991495,ok
2023-09-29,1.0,1.0,1.0,1,0.03065759688615799,0.03065759688615799,0.9490946531295776,28.8,0.00288,0.004675616044551134,0.00033748295390978456,0.01234864335179247,123.4864335179247,94.68643351792468,ok
2023-10-31,1.0,1.0,1.0,1,0.02948572486639023,0.02948572486639023,0.9507339000701904,32.5,0.00325,0.005455800797790289,0.00036448551691137254,0.014384324088460451,143.8432408846045,111.34324088460451,ok
2023-11-30,1.0,1.0,1.0,1,0.02525530941784382,0.02525530941784382,0.956723690032959,39.7,0.0039700000000000004,0.006431782152503729,0.00041547740693204105,0.016851351302043696,168.51351302043696,128.81351302043694,ok
2023-12-29,1.0,1.0,1.0,1,0.02092289738357067,0.02092289738357067,0.9630001783370972,51.9,0.00519,0.0072356928139925,0.0004365979984868318,0.018834048634775155,188.34048634775155,136.44048634775154,ok
2024-01-31,1.0,1.0,1.0,1,0.022049449384212494,0.022049449384212494,0.9613536596298218,47.6,0.00476,0.008664255030453205,0.0004710722132585943,0.022591131182993225,225.91131182993226,178.31131182993224,ok
2024-02-29,1.0,1.0,1.0,1,0.024541661143302917,0.024541661143302917,0.957748293876648,37.1,0.00371,0.007253502961248159,0.0004383384366519749,0.01898393944320205,189.8393944320205,152.7393944320205,ok
