currency,as_of_date,option_maturity,swap_tenor,vol
EUR,2014-05-30,11.0,0.0,39.2
EUR,2014-04-30,11.0,0.0,37.3
EUR,2014-03-31,11.0,0.0,36.7
EUR,2014-02-28,11.0,0.0,42.2
EUR,2014-01-31,11.0,0.0,44.5
EUR,2013-12-31,11.0,0.0,45.6
EUR,2013-11-29,11.0,0.0,46.8
EUR,2013-10-31,11.0,0.0,53.5
EUR,2013-09-30,11.0,0.0,46.6
EUR,2013-08-30,11.0,0.0,50.6
EUR,2013-07-31,11.0,0.0,55.5
EUR,2013-06-28,11.0,0.0,59.6
EUR,2013-05-31,11.0,0.0,63.8
EUR,2013-04-30,11.0,0.0,73.2
EUR,2013-03-29,11.0,0.0,61.5
EUR,2013-02-28,11.0,0.0,77.7
EUR,2013-01-31,11.0,0.0,72.9
EUR,2012-12-31,11.0,0.0,87.2
EUR,2012-11-30,11.0,0.0,145.3
EUR,2012-10-31,11.0,0.0,141.8
EUR,2012-09-28,11.0,0.0,152.2
EUR,2012-08-31,11.0,0.0,124.5
EUR,2012-07-31,11.0,0.0,86.4
EUR,2012-06-29,11.0,0.0,75.7
EUR,2012-05-31,11.0,0.0,91.2
EUR,2012-04-30,11.0,0.0,108.7
EUR,2012-03-30,11.0,0.0,77.7
EUR,2012-02-29,11.0,0.0,52.2
EUR,2012-01-31,11.0,0.0,61.8
EUR,2011-12-30,11.0,0.0,58.1
EUR,2011-11-30,11.0,0.0,60.2
EUR,2011-10-31,11.0,0.0,57.2
EUR,2011-09-30,11.0,0.0,57.7
EUR,2011-08-31,11.0,0.0,54.2
EUR,2011-07-29,11.0,0.0,64.8
EUR,2011-06-30,11.0,0.0,73.0
EUR,2011-05-31,11.0,0.0,89.0
EUR,2011-04-29,11.0,0.0,70.7
EUR,2011-03-31,11.0,0.0,67.1
EUR,2011-02-28,11.0,0.0,57.8
EUR,2011-01-31,11.0,0.0,47.1
EUR,2010-12-31,11.0,0.0,40.5
EUR,2010-11-30,11.0,0.0,38.3
EUR,2010-10-29,11.0,0.0,43.5
EUR,,11.0,0.0,35.1
EUR,,11.0,0.0,31.8
EUR,,11.0,0.0,30.7
EUR,,11.0,0.0,31.7
EUR,,11.0,0.0,31.5
EUR,,11.0,0.0,31.1
EUR,,11.0,0.0,31.4
EUR,,11.0,0.0,29.8
EUR,,11.0,0.0,32.2
EUR,,11.0,0.0,32.7
EUR,,11.0,0.0,32.9
EUR,,11.0,0.0,33.6
EUR,,11.0,0.0,32.8
EUR,,11.0,0.0,33.5
EUR,,11.0,0.0,35.5
EUR,,11.0,0.0,36.9
EUR,,11.0,0.0,36.3
EUR,,11.0,0.0,35.9
EUR,,11.0,0.0,32.1
EUR,,11.0,0.0,37.7
EUR,,11.0,0.0,37.1
EUR,,11.0,0.0,37.3
EUR,,11.0,0.0,39.0
EUR,,11.0,0.0,43.6
EUR,,11.0,0.0,45.1
EUR,,11.0,0.0,40.8
EUR,,11.0,0.0,47.4
EUR,,11.0,0.0,32.3
EUR,,11.0,0.0,32.5
EUR,,11.0,0.0,34.7
EUR,,11.0,0.0,36.3
EUR,,11.0,0.0,38.9
EUR,,11.0,0.0,37.3
EUR,,11.0,0.0,37.3
EUR,,11.0,0.0,40.0
EUR,,11.0,0.0,33.6
EUR,,11.0,0.0,27.9
EUR,,11.0,0.0,23.2
EUR,,11.0,0.0,24.5
EUR,,11.0,0.0,22.2
EUR,,11.0,0.0,21.4
EUR,,11.0,0.0,23.4
EUR,,11.0,0.0,23.0
EUR,,11.0,0.0,25.1
EUR,,11.0,0.0,28.5
EUR,,11.0,0.0,28.4
EUR,,11.0,0.0,
EUR,,11.0,0.0,
EUR,,11.0,0.0,
EUR,2026-02-27,5.0,1.0,23.0
EUR,2026-01-30,5.0,1.0,21.8
EUR,2025-12-31,5.0,1.0,22.6
EUR,2025-11-28,5.0,1.0,22.7
EUR,2025-10-31,5.0,1.0,24.0
EUR,2025-09-30,5.0,1.0,23.8
EUR,2025-08-29,5.0,1.0,26.0
EUR,2025-07-31,5.0,1.0,26.4
EUR,2025-06-30,5.0,1.0,28.4
EUR,2025-05-30,5.0,1.0,29.3
EUR,2025-04-30,5.0,1.0,31.3
EUR,2025-03-31,5.0,1.0,30.5
EUR,2025-02-28,5.0,1.0,33.6
EUR,2025-01-31,5.0,1.0,33.4
EUR,2024-12-31,5.0,1.0,35.5
EUR,2024-11-29,5.0,1.0,37.4
EUR,2024-10-31,5.0,1.0,34.0
EUR,2024-09-30,5.0,1.0,34.9
EUR,2024-08-30,5.0,1.0,35.7
EUR,2024-07-31,5.0,1.0,36.5
EUR,2024-06-28,5.0,1.0,34.4
EUR,2024-05-31,5.0,1.0,33.9
EUR,2024-04-30,5.0,1.0,35.2
EUR,2024-03-29,5.0,1.0,38.3
EUR,2024-02-29,5.0,1.0,37.1
EUR,2024-01-31,5.0,1.0,38.4
EUR,2023-12-29,5.0,1.0,40.5
EUR,2023-11-30,5.0,1.0,36.2
EUR,2023-10-31,5.0,1.0,32.5
EUR,2023-09-29,5.0,1.0,31.7
EUR,2023-08-31,5.0,1.0,38.1
EUR,2023-07-31,5.0,1.0,36.0
EUR,2023-06-30,5.0,1.0,39.4
EUR,2023-05-31,5.0,1.0,39.0
EUR,2023-04-28,5.0,1.0,39.9
EUR,2023-03-31,5.0,1.0,37.1
EUR,2023-02-28,5.0,1.0,34.6
EUR,2023-01-31,5.0,1.0,36.0
EUR,2022-12-30,5.0,1.0,37.4
EUR,2022-11-30,5.0,1.0,48.4
EUR,2022-10-31,5.0,1.0,42.3
EUR,2022-09-30,5.0,1.0,43.7
EUR,2022-08-31,5.0,1.0,50.6
EUR,2022-07-29,5.0,1.0,57.3
EUR,2022-06-30,5.0,1.0,44.0
EUR,2022-05-31,5.0,1.0,49.6
EUR,2022-04-29,5.0,1.0,59.0
EUR,2022-03-31,5.0,1.0,105.0
EUR,2022-02-28,5.0,1.0,122.4
EUR,2017-01-31,5.0,1.0,305.6
EUR,2016-12-30,5.0,1.0,116.6
EUR,2016-11-30,5.0,1.0,140.5
EUR,2016-10-31,5.0,1.0,78.7
EUR,2016-09-30,5.0,1.0,88.5
EUR,2016-08-31,5.0,1.0,69.3
EUR,2016-07-29,5.0,1.0,64.7
EUR,2016-06-30,5.0,1.0,60.0
EUR,2016-05-31,5.0,1.0,55.3
EUR,2016-04-29,5.0,1.0,67.3
EUR,2016-03-31,5.0,1.0,60.1
EUR,2016-02-29,5.0,1.0,65.4
EUR,2016-01-29,5.0,1.0,61.8
EUR,2015-12-31,5.0,1.0,53.0
EUR,2015-11-30,5.0,1.0,57.2
EUR,2015-10-30,5.0,1.0,50.7
EUR,2015-09-30,5.0,1.0,49.4
EUR,2015-08-31,5.0,1.0,66.5
EUR,2015-07-31,5.0,1.0,73.5
EUR,2015-06-30,5.0,1.0,73.4
EUR,2015-05-29,5.0,1.0,69.5
EUR,2015-04-30,5.0,1.0,85.9
EUR,2015-03-31,5.0,1.0,64.6
EUR,2015-02-27,5.0,1.0,72.0
EUR,2015-01-30,5.0,1.0,95.6
EUR,2014-12-31,5.0,1.0,97.0
EUR,2014-11-28,5.0,1.0,110.0
EUR,2014-10-31,5.0,1.0,151.0
EUR,2014-09-30,5.0,1.0,84.9
EUR,2014-08-29,5.0,1.0,155.3
EUR,2014-07-31,5.0,1.0,123.7
EUR,2014-06-30,5.0,1.0,0.0
EUR,2014-05-30,5.0,1.0,0.0
EUR,2014-04-30,5.0,1.0,0.0
EUR,2014-03-31,5.0,1.0,0.0
EUR,2014-02-28,5.0,1.0,0.0
EUR,2014-01-31,5.0,1.0,0.0
EUR,2013-12-31,5.0,1.0,149.4
EUR,2013-11-29,5.0,1.0,0.0
EUR,2013-10-31,5.0,1.0,0.0
EUR,2013-09-30,5.0,1.0,126.7
EUR,2013-08-30,5.0,1.0,65.0
EUR,2013-07-31,5.0,1.0,83.9
EUR,2013-06-28,5.0,1.0,75.7
EUR,2013-05-31,5.0,1.0,74.0
EUR,2013-04-30,5.0,1.0,64.0
EUR,2013-03-29,5.0,1.0,68.9
EUR,2013-02-28,5.0,1.0,55.6
EUR,2013-01-31,5.0,1.0,81.2
EUR,2012-12-31,5.0,1.0,103.5
EUR,2012-11-30,5.0,1.0,143.8
EUR,2012-10-31,5.0,1.0,101.0
EUR,2012-09-28,5.0,1.0,101.2
EUR,2012-08-31,5.0,1.0,89.0
EUR,2012-07-31,5.0,1.0,79.1
EUR,2012-06-29,5.0,1.0,61.8
EUR,2012-05-31,5.0,1.0,57.0
EUR,2012-04-30,5.0,1.0,68.7
EUR,2012-03-30,5.0,1.0,51.3
EUR,2012-02-29,5.0,1.0,46.7
EUR,2012-01-31,5.0,1.0,43.3
EUR,2011-12-30,5.0,1.0,42.6
EUR,2011-11-30,5.0,1.0,42.3
EUR,2011-10-31,5.0,1.0,40.0
EUR,2011-09-30,5.0,1.0,40.1
EUR,2011-08-31,5.0,1.0,37.0
EUR,2011-07-29,5.0,1.0,39.0
EUR,2011-06-30,5.0,1.0,38.4
EUR,2011-05-31,5.0,1.0,38.2
EUR,2011-04-29,5.0,1.0,37.4
EUR,2011-03-31,5.0,1.0,38.1
EUR,2011-02-28,5.0,1.0,37.3
EUR,2011-01-31,5.0,1.0,40.8
EUR,2010-12-31,5.0,1.0,47.0
EUR,2010-11-30,5.0,1.0,43.2
EUR,2010-10-29,5.0,1.0,39.5
EUR,,5.0,1.0,37.2
EUR,,5.0,1.0,42.9
EUR,,5.0,1.0,39.8
EUR,,5.0,1.0,38.3
EUR,,5.0,1.0,40.7
EUR,,5.0,1.0,43.6
EUR,,5.0,1.0,40.6
EUR,,5.0,1.0,37.7
