expiry,tenor,forward_swap_0,annuity_0,strike,payer_price,receiver_price,mc_price,mc_stderr,mc_std,forward_bias,implied_vol,implied_vol_bps,valid_paths,total_paths,mean_annuity_expiry,mean_swap_rate_expiry,mean_discount_to_expiry,success,structure,date,pricing_date
10,10,0.01736196494561258,8.528007648701566,0.01736196494561258,0.2263865556219209,0.13306685705821966,0.17972670634007026,0.0047908478744853105,,0.010942731574344876,0.016705326512104466,167.05326512104466,4574,10000,7.54993034327048,0.07335985764433817,0.6654961782092403,True,10x10,2016-04-29,2016-04-29
1,1,-0.0004912542032678458,1.0023339734099068,-0.0004912542032678458,0.032445366199034674,0.02263335927675822,0.027539362737896447,0.0011940878390249044,,0.009789159284800389,0.06887020407907521,688.7020407907521,4872,10000,0.9889730490414039,0.02058946251594522,0.9779174752233102,True,1x1,2016-03-31,2016-03-31
1,5,0.0029018272208201764,4.988500019403418,0.0029018272208201764,0.13946187151354306,0.17587207759931217,0.1576669745564276,0.004159708449299361,,-0.007298828494366422,0.0792247158186705,792.247158186705,4872,10000,4.993321491444967,0.017658507042990067,0.9779174752233102,True,1x5,2016-03-31,2016-03-31
1,10,0.0070328381907486,9.769180487227786,0.0070328381907486,0.2532397105794941,0.2730502634270942,0.26314498700329414,0.0054153090169504715,,-0.002027862303649766,0.06751913997414963,675.1913997414963,4872,10000,9.87310146196023,0.03095129289174377,0.9779174752233102,True,1x10,2016-03-31,2016-03-31
5,1,0.007879677131957748,0.9873658074850242,0.007879677131957748,0.041664957233660385,0.013608971543411718,0.02763696438853605,0.0006761656251918309,,0.028414986094881765,0.03137741685428911,313.7741685428911,4797,10000,0.951021442287546,0.05802330243153213,0.8176217688107603,True,5x1,2016-03-31,2016-03-31
5,5,0.010346067635053583,4.834909768299892,0.010346067635053583,0.16581702888731814,0.08689068056456495,0.12635385472594154,0.002555759729047438,,0.01632426500288261,0.02929577923213041,292.9577923213041,4797,10000,4.424097015290389,0.05500482417569967,0.8176217688107603,True,5x5,2016-03-31,2016-03-31
5,10,0.012046916902710656,9.374391851149458,0.012046916902710656,0.27950296045831485,0.1550889157002796,0.21729593807929723,0.003957600499645669,,0.013271692365065793,0.025984444508665782,259.8444450866578,4797,10000,8.128216971709817,0.06034683955524039,0.8176217688107603,True,5x10,2016-03-31,2016-03-31
10,1,0.012846052734391145,0.9331365070094995,0.012846052734391145,0.03518457908305619,0.012398450419504327,0.023791514751280256,0.0009511998214744923,,0.024418858861900573,0.020210024826343053,202.10024826343053,4570,10000,0.9371569768509719,0.07261717005722758,0.6690945279710376,True,10x1,2016-03-31,2016-03-31
10,5,0.013858456763099047,4.539482082849566,0.013858456763099047,0.14035980148727648,0.08192929858234027,0.11114455003480837,0.003264166035333157,,0.012871623202499275,0.019407598536288394,194.07598536288393,4570,10000,4.265980939454054,0.06881925763663559,0.6690945279710376,True,10x5,2016-03-31,2016-03-31
10,10,0.01449100047192194,8.756863711726087,0.01449100047192194,0.2361989433793769,0.1485369844536567,0.1923679639165168,0.005144644324477578,,0.010010656989937434,0.01741301972198759,174.1301972198759,4570,10000,7.656307904295865,0.07252859899135883,0.6690945279710376,True,10x10,2016-03-31,2016-03-31
