date,expiry,tenor,split,sigma_mkt,sigma_adj,sigma_atm,forward_bias_bp,F0,F_model,n_surv
2022-02-28,5,5,test,72.6,353.3132132140819,392.8059099582912,70.90453063088545,0.004254765808582306,0.01134521887167085,0.49951171875
2022-02-28,5,10,test,61.9,283.3446179191781,332.6626069785559,104.20020903649939,0.007668495178222656,0.018088516081872594,0.49609375
2022-02-28,10,1,test,62.7,228.19900011502492,322.03585377160044,268.0844458052718,-0.00403249729424715,0.022775947286280032,0.50732421875
2022-02-28,10,5,test,62.4,249.18535902329887,253.3734712045358,12.576961993585158,0.004254765808582306,0.005512462007940822,0.4990234375
2022-02-28,10,10,test,71.0,178.98924157689146,208.8766423585298,108.24715151088557,0.007668495178222656,0.018493210329311213,0.47412109375
2022-03-31,1,1,test,105.9,713.3444012989614,791.8644696515222,56.68562579297895,-0.0013901907950639725,0.004278371784233923,0.60009765625
2022-03-31,1,5,test,82.4,1310.0552255269638,592.1973407948043,-453.8517055681115,0.00987281184643507,-0.035512358710376085,0.56640625
2022-03-31,1,10,test,62.5,722.0275438609771,611.9374836241881,-88.66620537178284,0.01206592284142971,0.0031993023042514272,0.517578125
2022-03-31,5,1,test,105.0,344.7202451871025,499.4265393377403,262.3571945943269,-0.0013901907950639725,0.02484552866436872,0.55712890625
2022-03-31,5,5,test,69.4,374.53536053075175,354.6357142259094,-35.7070035763524,0.00987281184643507,0.0063021114887998305,0.5009765625
2022-03-31,5,10,test,55.7,291.65754779206355,323.8759330751826,65.08732720177781,0.01206592284142971,0.018574655561607492,0.49658203125
2022-03-31,10,1,test,55.89999999999999,239.2522463464743,315.97612662211327,213.8600734844028,-0.0013901907950639725,0.019995816553376306,0.50439453125
2022-03-31,10,5,test,55.1,221.06862617747336,220.81251964678006,-0.8107243771121251,0.00987281184643507,0.009791739408723858,0.48486328125
2022-03-31,10,10,test,61.2,175.71724075930118,202.6980029233604,96.01376344860937,0.01206592284142971,0.021667299186290647,0.4560546875
2022-04-29,1,1,test,72.2,627.5780257504309,681.425245716905,43.11338009088278,0.0032503409311175346,0.007561678940205812,0.6103515625
2022-04-29,1,5,test,62.7,1926.9788900892027,554.099195975521,-790.6092794017675,0.014918756671249866,-0.06414217126892688,0.5439453125
2022-04-29,1,10,test,52.7,764.6894139558699,584.1922597361163,-146.64703325787684,0.017194628715515137,0.0025299253897274523,0.52978515625
2022-04-29,5,1,test,59.0,329.15804883410965,463.8359830146678,233.68670662872816,0.0032503409311175346,0.02661901159399035,0.548828125
2022-04-29,5,5,test,46.6,461.6187077185702,338.53509583231715,-211.33199431431927,0.014918756671249866,-0.00621444276018206,0.525390625
2022-04-29,5,10,test,41.4,283.0741186165601,304.58601265526977,44.64004998188754,0.017194628715515137,0.02165863371370389,0.52197265625
