model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2011-10-31,10,5,22.0,191.8,169.8,1.0
stable,Stable (dim4),2011-10-31,10,10,23.6,170.1,146.5,1.0
stable,Stable (dim4),2011-11-30,1,1,74.5,624.4,549.9,1.0
stable,Stable (dim4),2011-11-30,1,5,41.2,459.3,418.1,1.0
stable,Stable (dim4),2011-11-30,1,10,37.3,440.3,403.0,1.0
stable,Stable (dim4),2011-11-30,5,1,30.4,406.2,375.8,1.0
stable,Stable (dim4),2011-11-30,5,5,26.0,291.4,265.4,1.0
stable,Stable (dim4),2011-11-30,5,10,25.1,263.9,238.8,1.0
stable,Stable (dim4),2011-11-30,10,1,22.4,254.3,231.9,1.0
stable,Stable (dim4),2011-11-30,10,5,21.5,193.1,171.6,1.0
stable,Stable (dim4),2011-11-30,10,10,23.5,162.8,139.3,1.0
stable,Stable (dim4),2011-12-30,1,1,59.2,644.7,585.5,1.0
stable,Stable (dim4),2011-12-30,1,5,43.5,472.7,429.2,1.0
stable,Stable (dim4),2011-12-30,1,10,38.9,494.2,455.3,1.0
stable,Stable (dim4),2011-12-30,5,1,33.8,408.6,374.8,1.0
stable,Stable (dim4),2011-12-30,5,5,28.5,302.6,274.1,1.0
stable,Stable (dim4),2011-12-30,5,10,27.4,270.9,243.5,1.0
stable,Stable (dim4),2011-12-30,10,1,24.0,267.4,243.4,1.0
stable,Stable (dim4),2011-12-30,10,5,23.3,197.5,174.2,1.0
stable,Stable (dim4),2011-12-30,10,10,25.4,163.8,138.4,1.0
stable,Stable (dim4),2012-01-31,1,1,68.6,651.9,583.3,1.0
stable,Stable (dim4),2012-01-31,1,5,42.5,514.4,471.9,1.0
stable,Stable (dim4),2012-01-31,1,10,36.3,489.2,452.9,1.0
stable,Stable (dim4),2012-01-31,5,1,35.6,418.1,382.5,1.0
stable,Stable (dim4),2012-01-31,5,5,28.8,338.7,309.9,1.0
stable,Stable (dim4),2012-01-31,5,10,27.6,269.5,241.9,1.0
stable,Stable (dim4),2012-01-31,10,1,24.5,264.2,239.7,1.0
stable,Stable (dim4),2012-01-31,10,5,24.1,204.7,180.6,1.0
stable,Stable (dim4),2012-01-31,10,10,26.1,168.2,142.1,1.0
stable,Stable (dim4),2012-02-29,1,1,59.1,679.0,619.9,1.0
stable,Stable (dim4),2012-02-29,1,5,40.4,499.9,459.5,1.0
stable,Stable (dim4),2012-02-29,1,10,34.7,499.8,465.1,1.0
stable,Stable (dim4),2012-02-29,5,1,34.4,417.5,383.1,1.0
stable,Stable (dim4),2012-02-29,5,5,28.2,324.3,296.1,1.0
stable,Stable (dim4),2012-02-29,5,10,26.6,263.2,236.6,1.0
stable,Stable (dim4),2012-02-29,10,1,24.2,267.7,243.5,1.0
stable,Stable (dim4),2012-02-29,10,5,23.0,212.2,189.2,1.0
stable,Stable (dim4),2012-02-29,10,10,24.7,163.6,138.9,1.0
stable,Stable (dim4),2012-03-30,1,1,57.2,654.4,597.2,1.0
stable,Stable (dim4),2012-03-30,1,5,38.3,483.4,445.1,1.0
stable,Stable (dim4),2012-03-30,1,10,32.5,472.2,439.7,1.0
stable,Stable (dim4),2012-03-30,5,1,33.8,420.5,386.7,1.0
stable,Stable (dim4),2012-03-30,5,5,27.5,316.4,288.9,1.0
stable,Stable (dim4),2012-03-30,5,10,25.7,252.1,226.4,1.0
stable,Stable (dim4),2012-03-30,10,1,23.5,266.8,243.3,1.0
stable,Stable (dim4),2012-03-30,10,5,22.5,203.8,181.3,1.0
stable,Stable (dim4),2012-03-30,10,10,24.3,169.1,144.8,1.0
stable,Stable (dim4),2012-04-30,1,1,67.8,679.9,612.1,1.0
stable,Stable (dim4),2012-04-30,1,5,40.4,530.4,490.0,1.0
stable,Stable (dim4),2012-04-30,1,10,32.3,463.7,431.4,1.0
stable,Stable (dim4),2012-04-30,5,1,34.9,428.3,393.4,1.0
stable,Stable (dim4),2012-04-30,5,5,28.4,323.6,295.2,1.0
stable,Stable (dim4),2012-04-30,5,10,26.6,270.0,243.4,1.0
stable,Stable (dim4),2012-04-30,10,1,24.2,270.3,246.1,1.0
stable,Stable (dim4),2012-04-30,10,5,23.1,206.8,183.7,1.0
stable,Stable (dim4),2012-04-30,10,10,25.1,165.5,140.4,1.0
stable,Stable (dim4),2012-05-31,1,1,84.4,645.9,561.5,1.0
stable,Stable (dim4),2012-05-31,1,5,54.2,531.6,477.4,1.0
stable,Stable (dim4),2012-05-31,1,10,47.4,507.6,460.2,1.0
stable,Stable (dim4),2012-05-31,5,1,50.0,432.0,382.0,1.0
stable,Stable (dim4),2012-05-31,5,5,40.2,334.8,294.6,1.0
stable,Stable (dim4),2012-05-31,5,10,37.9,291.2,253.3,1.0
stable,Stable (dim4),2012-05-31,10,1,35.1,276.9,241.8,1.0
stable,Stable (dim4),2012-05-31,10,5,33.6,217.7,184.1,1.0
stable,Stable (dim4),2012-05-31,10,10,37.1,177.8,140.7,1.0
stable,Stable (dim4),2012-06-29,1,1,74.7,644.4,569.7,1.0
stable,Stable (dim4),2012-06-29,1,5,45.2,542.4,497.2,1.0
stable,Stable (dim4),2012-06-29,1,10,40.8,525.2,484.4,1.0
stable,Stable (dim4),2012-06-29,5,1,37.7,430.3,392.6,1.0
stable,Stable (dim4),2012-06-29,5,5,31.5,336.4,304.9,1.0
stable,Stable (dim4),2012-06-29,5,10,30.5,270.2,239.7,1.0
stable,Stable (dim4),2012-06-29,10,1,25.3,269.5,244.2,1.0
stable,Stable (dim4),2012-06-29,10,5,25.6,216.7,191.1,1.0
stable,Stable (dim4),2012-06-29,10,10,28.8,164.4,135.6,1.0
stable,Stable (dim4),2012-07-31,1,1,116.8,674.1,557.3,1.0
stable,Stable (dim4),2012-07-31,1,5,55.5,549.5,494.0,1.0
stable,Stable (dim4),2012-07-31,1,10,45.1,512.6,467.5,1.0
stable,Stable (dim4),2012-07-31,5,1,40.6,447.2,406.6,1.0
stable,Stable (dim4),2012-07-31,5,5,34.5,336.6,302.1,1.0
stable,Stable (dim4),2012-07-31,5,10,32.8,282.6,249.8,1.0
stable,Stable (dim4),2012-07-31,10,1,26.8,285.1,258.3,1.0
stable,Stable (dim4),2012-07-31,10,5,27.1,220.3,193.2,1.0
stable,Stable (dim4),2012-07-31,10,10,30.5,178.2,147.7,1.0
stable,Stable (dim4),2012-08-31,1,1,128.7,682.0,553.3,1.0
stable,Stable (dim4),2012-08-31,1,5,56.3,529.1,472.8,1.0
stable,Stable (dim4),2012-08-31,1,10,43.6,522.7,479.1,1.0
stable,Stable (dim4),2012-08-31,5,1,43.6,465.3,421.7,1.0
stable,Stable (dim4),2012-08-31,5,5,33.7,355.4,321.7,1.0
stable,Stable (dim4),2012-08-31,5,10,31.3,285.1,253.8,1.0
stable,Stable (dim4),2012-08-31,10,1,27.0,284.7,257.7,1.0
stable,Stable (dim4),2012-08-31,10,5,26.1,219.6,193.5,1.0
stable,Stable (dim4),2012-08-31,10,10,28.7,181.7,153.0,1.0
stable,Stable (dim4),2012-09-28,1,1,117.0,713.3,596.3,1.0
stable,Stable (dim4),2012-09-28,1,5,51.4,559.4,508.0,1.0
stable,Stable (dim4),2012-09-28,1,10,39.0,503.7,464.7,1.0
stable,Stable (dim4),2012-09-28,5,1,40.7,456.2,415.5,1.0
stable,Stable (dim4),2012-09-28,5,5,32.0,343.1,311.1,1.0
stable,Stable (dim4),2012-09-28,5,10,29.3,280.2,250.9,1.0
stable,Stable (dim4),2012-09-28,10,1,25.1,290.5,265.4,1.0
stable,Stable (dim4),2012-09-28,10,5,24.1,221.8,197.7,1.0
stable,Stable (dim4),2012-09-28,10,10,25.8,186.9,161.1,1.0
stable,Stable (dim4),2012-10-31,1,1,101.1,722.8,621.7,1.0
stable,Stable (dim4),2012-10-31,1,5,48.7,560.0,511.3,1.0
stable,Stable (dim4),2012-10-31,1,10,37.3,517.6,480.3,1.0
stable,Stable (dim4),2012-10-31,5,1,38.3,458.4,420.1,1.0
stable,Stable (dim4),2012-10-31,5,5,30.2,337.5,307.3,1.0
stable,Stable (dim4),2012-10-31,5,10,27.8,268.9,241.1,1.0
stable,Stable (dim4),2012-10-31,10,1,23.7,283.8,260.1,1.0
stable,Stable (dim4),2012-10-31,10,5,22.7,213.2,190.5,1.0
stable,Stable (dim4),2012-10-31,10,10,24.4,178.3,153.9,1.0
stable,Stable (dim4),2012-11-30,1,1,122.1,727.8,605.7,1.0
stable,Stable (dim4),2012-11-30,1,5,51.3,581.1,529.8,1.0
stable,Stable (dim4),2012-11-30,1,10,37.1,513.7,476.6,1.0
stable,Stable (dim4),2012-11-30,5,1,39.8,455.3,415.5,1.0
stable,Stable (dim4),2012-11-30,5,5,30.3,354.4,324.1,1.0
stable,Stable (dim4),2012-11-30,5,10,27.5,277.1,249.6,1.0
stable,Stable (dim4),2012-11-30,10,1,23.7,297.3,273.6,1.0
stable,Stable (dim4),2012-11-30,10,5,22.6,221.1,198.5,1.0
stable,Stable (dim4),2012-11-30,10,10,24.0,173.7,149.7,1.0
stable,Stable (dim4),2012-12-31,1,1,130.3,727.6,597.3,1.0
stable,Stable (dim4),2012-12-31,1,5,56.6,603.8,547.2,1.0
stable,Stable (dim4),2012-12-31,1,10,37.7,522.5,484.8,1.0
stable,Stable (dim4),2012-12-31,5,1,42.9,441.5,398.6,1.0
stable,Stable (dim4),2012-12-31,5,5,31.3,343.8,312.5,1.0
stable,Stable (dim4),2012-12-31,5,10,27.9,294.3,266.4,1.0
stable,Stable (dim4),2012-12-31,10,1,24.2,287.4,263.2,1.0
stable,Stable (dim4),2012-12-31,10,5,23.1,218.0,194.9,1.0
stable,Stable (dim4),2012-12-31,10,10,24.3,185.4,161.1,1.0
stable,Stable (dim4),2013-01-31,1,1,72.4,722.5,650.1,1.0
stable,Stable (dim4),2013-01-31,1,5,44.9,515.2,470.3,1.0
stable,Stable (dim4),2013-01-31,1,10,32.1,518.8,486.7,1.0
stable,Stable (dim4),2013-01-31,5,1,37.2,447.5,410.3,1.0
stable,Stable (dim4),2013-01-31,5,5,28.1,342.3,314.2,1.0
stable,Stable (dim4),2013-01-31,5,10,25.7,277.7,252.0,1.0
stable,Stable (dim4),2013-01-31,10,1,23.1,287.6,264.5,1.0
stable,Stable (dim4),2013-01-31,10,5,22.2,219.2,197.0,1.0
stable,Stable (dim4),2013-01-31,10,10,23.1,167.0,143.9,1.0
stable,Stable (dim4),2013-02-28,1,1,114.3,749.2,634.9,1.0
stable,Stable (dim4),2013-02-28,1,5,51.8,544.2,492.4,1.0
stable,Stable (dim4),2013-02-28,1,10,35.9,518.0,482.1,1.0
stable,Stable (dim4),2013-02-28,5,1,39.5,460.9,421.4,1.0
stable,Stable (dim4),2013-02-28,5,5,29.1,353.5,324.4,1.0
stable,Stable (dim4),2013-02-28,5,10,26.3,286.4,260.1,1.0
stable,Stable (dim4),2013-02-28,10,1,23.5,291.5,268.0,1.0
stable,Stable (dim4),2013-02-28,10,5,21.9,226.6,204.7,1.0
stable,Stable (dim4),2013-02-28,10,10,22.9,177.9,155.0,1.0
stable,Stable (dim4),2013-03-29,1,1,94.2,709.9,615.7,1.0
stable,Stable (dim4),2013-03-29,1,5,51.2,570.8,519.6,1.0
stable,Stable (dim4),2013-03-29,1,10,36.3,517.0,480.7,1.0
stable,Stable (dim4),2013-03-29,5,1,43.2,444.5,401.3,1.0
stable,Stable (dim4),2013-03-29,5,5,31.2,349.4,318.2,1.0
stable,Stable (dim4),2013-03-29,5,10,27.7,274.6,246.9,1.0
stable,Stable (dim4),2013-03-29,10,1,24.8,283.8,259.0,1.0
stable,Stable (dim4),2013-03-29,10,5,23.0,217.5,194.5,1.0
stable,Stable (dim4),2013-03-29,10,10,23.8,176.7,152.9,1.0
stable,Stable (dim4),2013-04-30,1,1,103.9,734.7,630.8,1.0
stable,Stable (dim4),2013-04-30,1,5,52.9,591.3,538.4,1.0
stable,Stable (dim4),2013-04-30,1,10,36.9,528.6,491.7,1.0
stable,Stable (dim4),2013-04-30,5,1,47.0,456.9,409.9,1.0
stable,Stable (dim4),2013-04-30,5,5,33.1,355.7,322.6,1.0
stable,Stable (dim4),2013-04-30,5,10,29.0,293.2,264.2,1.0
stable,Stable (dim4),2013-04-30,10,1,25.8,296.0,270.2,1.0
stable,Stable (dim4),2013-04-30,10,5,24.0,226.7,202.7,1.0
stable,Stable (dim4),2013-04-30,10,10,25.0,175.6,150.6,1.0
stable,Stable (dim4),2013-05-31,1,1,107.4,752.4,645.0,1.0
stable,Stable (dim4),2013-05-31,1,5,51.7,564.4,512.7,1.0
stable,Stable (dim4),2013-05-31,1,10,35.5,505.4,469.9,1.0
stable,Stable (dim4),2013-05-31,5,1,40.8,445.4,404.6,1.0
stable,Stable (dim4),2013-05-31,5,5,30.6,356.5,325.9,1.0
stable,Stable (dim4),2013-05-31,5,10,27.2,280.9,253.7,1.0
stable,Stable (dim4),2013-05-31,10,1,23.6,288.5,264.9,1.0
stable,Stable (dim4),2013-05-31,10,5,22.5,216.1,193.6,1.0
stable,Stable (dim4),2013-05-31,10,10,23.4,175.6,152.2,1.0
stable,Stable (dim4),2013-06-28,1,1,93.2,697.9,604.7,1.0
stable,Stable (dim4),2013-06-28,1,5,50.4,538.4,488.0,1.0
stable,Stable (dim4),2013-06-28,1,10,33.5,457.2,423.7,1.0
stable,Stable (dim4),2013-06-28,5,1,37.3,465.1,427.8,1.0
stable,Stable (dim4),2013-06-28,5,5,28.6,325.0,296.4,1.0
stable,Stable (dim4),2013-06-28,5,10,25.8,278.4,252.6,1.0
stable,Stable (dim4),2013-06-28,10,1,24.1,290.3,266.2,1.0
stable,Stable (dim4),2013-06-28,10,5,22.4,216.5,194.1,1.0
stable,Stable (dim4),2013-06-28,10,10,23.2,173.3,150.1,1.0
stable,Stable (dim4),2013-07-31,1,1,84.1,714.4,630.3,1.0
stable,Stable (dim4),2013-07-31,1,5,47.0,548.0,501.0,1.0
stable,Stable (dim4),2013-07-31,1,10,32.8,509.7,476.9,1.0
stable,Stable (dim4),2013-07-31,5,1,38.1,445.3,407.2,1.0
stable,Stable (dim4),2013-07-31,5,5,28.9,342.4,313.5,1.0
stable,Stable (dim4),2013-07-31,5,10,26.3,268.7,242.4,1.0
stable,Stable (dim4),2013-07-31,10,1,24.1,288.9,264.8,1.0
stable,Stable (dim4),2013-07-31,10,5,22.5,216.4,193.9,1.0
stable,Stable (dim4),2013-07-31,10,10,23.2,172.1,148.9,1.0
stable,Stable (dim4),2013-08-30,1,1,83.8,651.7,567.9,1.0
stable,Stable (dim4),2013-08-30,1,5,49.1,500.9,451.8,1.0
stable,Stable (dim4),2013-08-30,1,10,33.6,467.8,434.2,1.0
stable,Stable (dim4),2013-08-30,5,1,37.4,446.2,408.8,1.0
stable,Stable (dim4),2013-08-30,5,5,28.9,326.9,298.0,1.0
stable,Stable (dim4),2013-08-30,5,10,25.8,272.4,246.6,1.0
stable,Stable (dim4),2013-08-30,10,1,23.6,275.6,252.0,1.0
stable,Stable (dim4),2013-08-30,10,5,21.7,209.0,187.3,1.0
stable,Stable (dim4),2013-08-30,10,10,22.5,167.9,145.4,1.0
stable,Stable (dim4),2013-09-30,1,1,89.6,676.7,587.1,1.0
stable,Stable (dim4),2013-09-30,1,5,47.7,550.2,502.5,1.0
stable,Stable (dim4),2013-09-30,1,10,32.9,450.1,417.2,1.0
stable,Stable (dim4),2013-09-30,5,1,38.2,448.7,410.5,1.0
stable,Stable (dim4),2013-09-30,5,5,28.6,333.7,305.1,1.0
stable,Stable (dim4),2013-09-30,5,10,25.8,269.7,243.9,1.0
stable,Stable (dim4),2013-09-30,10,1,23.9,278.4,254.5,1.0
stable,Stable (dim4),2013-09-30,10,5,22.3,212.2,189.9,1.0
stable,Stable (dim4),2013-09-30,10,10,22.9,168.4,145.5,1.0
stable,Stable (dim4),2013-10-31,1,1,90.0,727.5,637.5,1.0
stable,Stable (dim4),2013-10-31,1,5,47.9,555.4,507.5,1.0
stable,Stable (dim4),2013-10-31,1,10,32.7,492.5,459.8,1.0
stable,Stable (dim4),2013-10-31,5,1,38.4,432.3,393.9,1.0
stable,Stable (dim4),2013-10-31,5,5,29.1,335.2,306.1,1.0
stable,Stable (dim4),2013-10-31,5,10,26.1,288.3,262.2,1.0
stable,Stable (dim4),2013-10-31,10,1,23.7,299.2,275.5,1.0
stable,Stable (dim4),2013-10-31,10,5,22.0,214.2,192.2,1.0
stable,Stable (dim4),2013-10-31,10,10,22.3,170.4,148.1,1.0
stable,Stable (dim4),2013-11-29,1,1,104.4,751.7,647.3,1.0
stable,Stable (dim4),2013-11-29,1,5,49.0,550.0,501.0,1.0
stable,Stable (dim4),2013-11-29,1,10,32.2,491.6,459.4,1.0
stable,Stable (dim4),2013-11-29,5,1,39.0,468.6,429.6,1.0
stable,Stable (dim4),2013-11-29,5,5,28.9,339.1,310.2,1.0
stable,Stable (dim4),2013-11-29,5,10,25.5,280.3,254.8,1.0
stable,Stable (dim4),2013-11-29,10,1,23.5,293.3,269.8,1.0
stable,Stable (dim4),2013-11-29,10,5,22.1,228.4,206.3,1.0
stable,Stable (dim4),2013-11-29,10,10,22.6,172.4,149.8,1.0
stable,Stable (dim4),2013-12-31,1,1,87.0,750.4,663.4,1.0
stable,Stable (dim4),2013-12-31,1,5,43.9,526.1,482.2,1.0
stable,Stable (dim4),2013-12-31,1,10,29.8,466.5,436.7,1.0
stable,Stable (dim4),2013-12-31,5,1,37.0,450.4,413.4,1.0
stable,Stable (dim4),2013-12-31,5,5,28.1,321.3,293.2,1.0
stable,Stable (dim4),2013-12-31,5,10,25.0,271.7,246.7,1.0
stable,Stable (dim4),2013-12-31,10,1,23.2,283.0,259.8,1.0
stable,Stable (dim4),2013-12-31,10,5,22.0,203.0,181.0,1.0
stable,Stable (dim4),2013-12-31,10,10,22.4,167.8,145.4,1.0
stable,Stable (dim4),2014-01-31,1,1,107.6,712.7,605.1,1.0
stable,Stable (dim4),2014-01-31,1,5,48.1,526.6,478.5,1.0
stable,Stable (dim4),2014-01-31,1,10,31.4,502.6,471.2,1.0
stable,Stable (dim4),2014-01-31,5,1,40.1,456.1,416.0,1.0
stable,Stable (dim4),2014-01-31,5,5,29.0,352.6,323.6,1.0
stable,Stable (dim4),2014-01-31,5,10,26.0,278.3,252.3,1.0
stable,Stable (dim4),2014-01-31,10,1,24.0,286.8,262.8,1.0
stable,Stable (dim4),2014-01-31,10,5,22.6,217.4,194.8,1.0
stable,Stable (dim4),2014-01-31,10,10,23.2,169.1,145.9,1.0
stable,Stable (dim4),2014-02-28,1,1,89.1,723.2,634.1,1.0
stable,Stable (dim4),2014-02-28,1,5,46.5,573.0,526.5,1.0
stable,Stable (dim4),2014-02-28,1,10,31.1,489.1,458.0,1.0
stable,Stable (dim4),2014-02-28,5,1,40.0,458.7,418.7,1.0
stable,Stable (dim4),2014-02-28,5,5,29.4,343.4,314.0,1.0
stable,Stable (dim4),2014-02-28,5,10,25.6,281.2,255.6,1.0
stable,Stable (dim4),2014-02-28,10,1,23.5,289.4,265.9,1.0
stable,Stable (dim4),2014-02-28,10,5,22.4,216.2,193.8,1.0
stable,Stable (dim4),2014-02-28,10,10,22.9,,,0.0
stable,Stable (dim4),2014-03-31,1,1,86.4,710.6,624.2,1.0
stable,Stable (dim4),2014-03-31,1,5,47.8,560.2,512.4,1.0
stable,Stable (dim4),2014-03-31,1,10,31.5,484.5,453.0,1.0
stable,Stable (dim4),2014-03-31,5,1,42.3,458.4,416.1,1.0
stable,Stable (dim4),2014-03-31,5,5,30.3,347.5,317.2,1.0
stable,Stable (dim4),2014-03-31,5,10,26.3,286.3,260.0,1.0
stable,Stable (dim4),2014-03-31,10,1,24.3,277.7,253.4,1.0
stable,Stable (dim4),2014-03-31,10,5,22.6,223.6,201.0,1.0
stable,Stable (dim4),2014-03-31,10,10,22.9,177.7,154.8,1.0
stable,Stable (dim4),2014-04-30,1,1,93.5,716.1,622.6,1.0
stable,Stable (dim4),2014-04-30,1,5,47.5,581.2,533.7,1.0
stable,Stable (dim4),2014-04-30,1,10,31.7,522.1,490.4,1.0
stable,Stable (dim4),2014-04-30,5,1,42.6,446.8,404.2,1.0
stable,Stable (dim4),2014-04-30,5,5,30.5,349.7,319.2,1.0
stable,Stable (dim4),2014-04-30,5,10,26.6,276.1,249.5,1.0
stable,Stable (dim4),2014-04-30,10,1,25.3,291.5,266.2,1.0
stable,Stable (dim4),2014-04-30,10,5,23.3,221.6,198.3,1.0
stable,Stable (dim4),2014-04-30,10,10,23.5,177.0,153.5,1.0
stable,Stable (dim4),2014-05-30,1,1,105.5,682.4,576.9,1.0
stable,Stable (dim4),2014-05-30,1,5,48.0,579.3,531.3,1.0
stable,Stable (dim4),2014-05-30,1,10,30.7,516.0,485.3,1.0
stable,Stable (dim4),2014-05-30,5,1,43.3,454.2,410.9,1.0
stable,Stable (dim4),2014-05-30,5,5,30.3,360.7,330.4,1.0
stable,Stable (dim4),2014-05-30,5,10,26.6,290.6,264.0,1.0
stable,Stable (dim4),2014-05-30,10,1,25.3,298.5,273.2,1.0
stable,Stable (dim4),2014-05-30,10,5,23.2,225.3,202.1,1.0
stable,Stable (dim4),2014-05-30,10,10,23.2,178.7,155.5,1.0
stable,Stable (dim4),2014-06-30,1,1,85.8,760.0,674.2,1.0
stable,Stable (dim4),2014-06-30,1,5,50.2,588.1,537.9,1.0
stable,Stable (dim4),2014-06-30,1,10,31.8,548.7,516.9,1.0
stable,Stable (dim4),2014-06-30,5,1,46.7,466.7,420.0,1.0
stable,Stable (dim4),2014-06-30,5,5,32.5,364.2,331.7,1.0
stable,Stable (dim4),2014-06-30,5,10,27.7,294.7,267.0,1.0
stable,Stable (dim4),2014-06-30,10,1,26.6,290.1,263.5,1.0
stable,Stable (dim4),2014-06-30,10,5,24.5,232.0,207.5,1.0
stable,Stable (dim4),2014-06-30,10,10,24.1,180.1,156.0,1.0
stable,Stable (dim4),2014-07-31,1,1,79.6,714.0,634.4,1.0
stable,Stable (dim4),2014-07-31,1,5,50.2,611.7,561.5,1.0
stable,Stable (dim4),2014-07-31,1,10,35.1,510.5,475.4,1.0
stable,Stable (dim4),2014-07-31,5,1,51.3,444.8,393.5,1.0
stable,Stable (dim4),2014-07-31,5,5,34.9,369.4,334.5,1.0
stable,Stable (dim4),2014-07-31,5,10,29.8,297.1,267.3,1.0
stable,Stable (dim4),2014-07-31,10,1,29.1,293.0,263.9,1.0
stable,Stable (dim4),2014-07-31,10,5,26.7,228.3,201.6,1.0
stable,Stable (dim4),2014-07-31,10,10,26.4,187.7,161.3,1.0
stable,Stable (dim4),2014-08-29,1,1,120.7,710.5,589.8,1.0
stable,Stable (dim4),2014-08-29,1,5,59.1,614.8,555.7,1.0
stable,Stable (dim4),2014-08-29,1,10,43.5,548.7,505.2,1.0
stable,Stable (dim4),2014-08-29,5,1,68.7,471.1,402.4,1.0
stable,Stable (dim4),2014-08-29,5,5,43.1,370.7,327.6,1.0
stable,Stable (dim4),2014-08-29,5,10,36.5,281.3,244.8,1.0
stable,Stable (dim4),2014-08-29,10,1,36.3,297.6,261.3,1.0
stable,Stable (dim4),2014-08-29,10,5,32.4,241.2,208.8,1.0
stable,Stable (dim4),2014-08-29,10,10,32.1,189.1,157.0,1.0
stable,Stable (dim4),2014-09-30,1,1,195.2,724.9,529.7,1.0
stable,Stable (dim4),2014-09-30,1,5,56.5,590.7,534.2,1.0
stable,Stable (dim4),2014-09-30,1,10,38.3,507.4,469.1,1.0
stable,Stable (dim4),2014-09-30,5,1,57.0,473.2,416.2,1.0
stable,Stable (dim4),2014-09-30,5,5,37.2,378.0,340.8,1.0
stable,Stable (dim4),2014-09-30,5,10,31.2,294.9,263.7,1.0
stable,Stable (dim4),2014-09-30,10,1,31.4,281.5,250.1,1.0
stable,Stable (dim4),2014-09-30,10,5,28.2,228.1,199.9,1.0
stable,Stable (dim4),2014-09-30,10,10,27.3,190.1,162.8,1.0
stable,Stable (dim4),2014-10-31,1,1,162.3,734.5,572.2,1.0
stable,Stable (dim4),2014-10-31,1,5,54.9,615.1,560.2,1.0
stable,Stable (dim4),2014-10-31,1,10,40.5,535.1,494.6,1.0
stable,Stable (dim4),2014-10-31,5,1,61.8,467.5,405.7,1.0
stable,Stable (dim4),2014-10-31,5,5,38.9,351.1,312.2,1.0
stable,Stable (dim4),2014-10-31,5,10,32.6,289.3,256.7,1.0
stable,Stable (dim4),2014-10-31,10,1,32.3,300.7,268.4,1.0
stable,Stable (dim4),2014-10-31,10,5,29.4,229.3,199.9,1.0
stable,Stable (dim4),2014-10-31,10,10,28.4,188.6,160.2,1.0
stable,Stable (dim4),2014-11-28,1,1,187.8,748.2,560.4,1.0
stable,Stable (dim4),2014-11-28,1,5,66.8,597.6,530.8,1.0
stable,Stable (dim4),2014-11-28,1,10,47.1,563.4,516.3,1.0
stable,Stable (dim4),2014-11-28,5,1,79.1,456.9,377.8,1.0
stable,Stable (dim4),2014-11-28,5,5,43.5,358.6,315.1,1.0
stable,Stable (dim4),2014-11-28,5,10,35.8,310.3,274.5,1.0
stable,Stable (dim4),2014-11-28,10,1,35.7,299.2,263.5,1.0
stable,Stable (dim4),2014-11-28,10,5,32.2,242.9,210.7,1.0
stable,Stable (dim4),2014-11-28,10,10,31.4,190.8,159.4,1.0
stable,Stable (dim4),2014-12-31,1,1,343.0,679.5,336.5,1.0
stable,Stable (dim4),2014-12-31,1,5,75.1,627.6,552.5,1.0
stable,Stable (dim4),2014-12-31,1,10,57.8,580.5,522.7,1.0
stable,Stable (dim4),2014-12-31,5,1,89.0,460.3,371.3,1.0
stable,Stable (dim4),2014-12-31,5,5,49.8,370.8,321.0,1.0
stable,Stable (dim4),2014-12-31,5,10,43.0,299.5,256.5,1.0
stable,Stable (dim4),2014-12-31,10,1,42.3,293.3,251.0,1.0
stable,Stable (dim4),2014-12-31,10,5,38.3,238.1,199.8,1.0
stable,Stable (dim4),2014-12-31,10,10,37.4,196.2,158.8,1.0
stable,Stable (dim4),2015-01-30,1,1,0.0,752.7,752.7,1.0
stable,Stable (dim4),2015-01-30,1,5,83.6,616.1,532.5,1.0
stable,Stable (dim4),2015-01-30,1,10,67.1,578.3,511.2,1.0
stable,Stable (dim4),2015-01-30,5,1,101.2,488.8,387.6,1.0
stable,Stable (dim4),2015-01-30,5,5,60.9,367.5,306.6,1.0
stable,Stable (dim4),2015-01-30,5,10,53.2,318.3,265.1,1.0
stable,Stable (dim4),2015-01-30,10,1,55.9,289.9,234.0,1.0
stable,Stable (dim4),2015-01-30,10,5,49.8,237.7,187.9,1.0
stable,Stable (dim4),2015-01-30,10,10,48.1,193.1,145.0,1.0
stable,Stable (dim4),2015-02-27,1,1,0.0,691.4,691.4,1.0
stable,Stable (dim4),2015-02-27,1,5,91.8,619.5,527.7,1.0
stable,Stable (dim4),2015-02-27,1,10,70.7,597.1,526.4,1.0
stable,Stable (dim4),2015-02-27,5,1,101.0,439.3,338.3,1.0
stable,Stable (dim4),2015-02-27,5,5,58.8,378.4,319.6,1.0
stable,Stable (dim4),2015-02-27,5,10,51.5,314.4,262.9,1.0
stable,Stable (dim4),2015-02-27,10,1,54.0,296.5,242.5,1.0
stable,Stable (dim4),2015-02-27,10,5,50.1,244.1,194.0,1.0
stable,Stable (dim4),2015-02-27,10,10,46.9,193.9,147.0,1.0
stable,Stable (dim4),2015-03-31,1,1,0.0,700.6,700.6,1.0
stable,Stable (dim4),2015-03-31,1,5,104.8,594.8,490.0,1.0
stable,Stable (dim4),2015-03-31,1,10,89.0,586.1,497.1,1.0
stable,Stable (dim4),2015-03-31,5,1,143.8,462.0,318.2,1.0
stable,Stable (dim4),2015-03-31,5,5,82.6,367.8,285.2,1.0
