model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2018-12-31,5,1,69.3,474.2,404.9,1.0
stable,Stable (dim4),2018-12-31,5,5,44.3,386.2,341.9,1.0
stable,Stable (dim4),2018-12-31,5,10,36.4,302.4,266.0,1.0
stable,Stable (dim4),2018-12-31,10,1,37.6,316.8,279.2,1.0
stable,Stable (dim4),2018-12-31,10,5,34.2,241.6,207.4,1.0
stable,Stable (dim4),2018-12-31,10,10,33.9,189.3,155.4,1.0
stable,Stable (dim4),2019-01-31,1,5,114.5,614.5,500.0,1.0
stable,Stable (dim4),2019-01-31,1,10,46.5,588.9,542.4,1.0
stable,Stable (dim4),2019-01-31,5,1,88.5,493.5,405.0,1.0
stable,Stable (dim4),2019-01-31,5,5,49.2,370.4,321.2,1.0
stable,Stable (dim4),2019-01-31,5,10,38.6,323.3,284.7,1.0
stable,Stable (dim4),2019-01-31,10,1,40.8,303.8,263.0,1.0
stable,Stable (dim4),2019-01-31,10,5,36.0,233.4,197.4,1.0
stable,Stable (dim4),2019-01-31,10,10,35.4,197.0,161.6,1.0
stable,Stable (dim4),2019-02-28,1,5,93.8,637.3,543.5,1.0
stable,Stable (dim4),2019-02-28,1,10,43.7,560.5,516.8,1.0
stable,Stable (dim4),2019-02-28,5,1,78.7,483.9,405.2,1.0
stable,Stable (dim4),2019-02-28,5,5,44.6,371.0,326.4,1.0
stable,Stable (dim4),2019-02-28,5,10,35.6,308.4,272.8,1.0
stable,Stable (dim4),2019-02-28,10,1,37.8,313.7,275.9,1.0
stable,Stable (dim4),2019-02-28,10,5,33.3,245.5,212.2,1.0
stable,Stable (dim4),2019-02-28,10,10,32.7,189.2,156.5,1.0
stable,Stable (dim4),2019-03-29,1,5,239.2,661.4,422.2,1.0
stable,Stable (dim4),2019-03-29,1,10,61.9,562.5,500.6,1.0
stable,Stable (dim4),2019-03-29,5,1,140.5,478.0,337.5,1.0
stable,Stable (dim4),2019-03-29,5,5,54.2,387.8,333.6,1.0
stable,Stable (dim4),2019-03-29,5,10,40.3,323.6,283.3,1.0
stable,Stable (dim4),2019-03-29,10,1,42.0,310.0,268.0,1.0
stable,Stable (dim4),2019-03-29,10,5,36.5,250.2,213.7,1.0
stable,Stable (dim4),2019-03-29,10,10,36.0,200.9,164.9,1.0
stable,Stable (dim4),2019-04-30,1,5,177.0,643.0,466.0,1.0
