epoch,train_nll,train_sigma_loss,train_total,val_nll,val_sigma_loss,val_total,curve_rmse_bp,kappa,hl_y,sigma_mean,lr,time_sec
11,-9.754425810582635,0.00020985991210189373,-9.691467836952066,-7.109396830236705,0.0001840167903277116,-7.054191793138392,74.38676738209985,0.16774926343806323,9.278246380432961,0.021834707344066742,9.912321891107009e-05,0.5260928000207059
12,-9.755278260701067,0.00020940057252426662,-9.692458088943788,-7.106753689835397,0.00018357835941559282,-7.0516801820107196,74.38405233369993,0.16774783140669575,9.28671605304349,0.021818503227011732,9.89715291257774e-05,0.5677713000040967
13,-9.75605341395081,0.0002089344262337838,-9.693373086080674,-7.103917137257951,0.00018313090553116236,-7.048977865598602,74.38248672114237,0.16774654079604315,9.295757859743334,0.02180199575591374,9.880787971596799e-05,0.6102289000118617
14,-9.756897320126436,0.00020848273506405887,-9.694352499607216,-7.101469530827703,0.00018269962609307418,-7.046659642999781,74.38108606012143,0.16774724649471456,9.30705607397834,0.021786104562377222,9.863231105968498e-05,0.6524165000009816
15,-9.757717781052268,0.0002080310119058857,-9.695308477480504,-7.099223171158767,0.0001822823299394563,-7.044538472176931,74.37912133173248,0.1677569410862373,9.312313471632878,0.02177068550794327,9.844486647586723e-05,0.6946334000094794
16,-9.758498584510251,0.00020759276835192295,-9.696220754004676,-7.09661209957962,0.00018185142490036814,-7.042056672109509,74.37607880353812,0.16776142761233723,9.317478825535702,0.021754745446511584,9.824559221366101e-05,0.7386060999997426
17,-9.759279134173973,0.00020714163052743006,-9.697136645015743,-7.093904674382874,0.00018141955691276386,-7.039478807309046,74.37187442199307,0.16777140569047208,9.31752306283796,0.021738727634752764,9.803453744100869e-05,0.7791748000017833
18,-9.760108931587215,0.00020669644860858285,-9.69809999700464,-7.091536784503845,0.00018100472133692006,-7.037235368102769,74.36812034509634,0.1677651387713622,9.3265708967989,0.021723298925817917,9.781175423251735e-05,0.8187890000117477
19,-9.760909749582964,0.00020625889215704948,-9.69903208193585,-7.089053587024958,0.00018058783954864123,-7.034877235160366,74.36622633694611,0.16775962272864117,9.33816278585208,0.02170777235696344,9.757729755661011e-05,0.8596759000211023
20,-9.761675900617597,0.00020581303145462995,-9.699931991181206,-7.086342780999162,0.00018016006207979883,-7.032294762375222,74.36346984900776,0.1677505947797682,9.349567909367853,0.02169183128192869,9.73312252619635e-05,0.9070076000061817
21,-9.762492665432205,0.00020536777803486838,-9.700882332021745,-7.083701872961614,0.00017973331679375871,-7.029781877923485,74.36113987283673,0.16773509560389777,9.36452749525501,0.02167592179710301,9.707359806323416e-05,0.9497249000123702
22,-9.763257286301034,0.00020491349562627435,-9.701783237613151,-7.080881678379682,0.00017930307474390593,-7.027090755956509,74.35994068027775,0.16772321049011624,9.379996304527939,0.021659863681845387,9.680447952607844e-05,0.9910829000000376
23,-9.764064195705531,0.00020448050541164322,-9.70272004408204,-7.0785905783854774,0.00017890328839237165,-7.024919591867766,74.35616551671392,0.16772256476517444,9.386554966961043,0.0216449151642615,9.652393605146843e-05,1.0290920000115875
24,-9.764834057365439,0.00020405296282987676,-9.703618168516476,-7.076183014924665,0.00017849396533999674,-7.022634825322667,74.35298938010995,0.1677148299227041,9.397040019017762,0.021629612420926297,9.623203685930868e-05,1.0738637000031304
25,-9.765638949268594,0.00020362383595529492,-9.704551798482006,-7.0737305009126,0.00017808358878941232,-7.020305424275776,74.35044281086488,0.16771375759738189,9.40530433822569,0.02161424253375107,9.592885397135704e-05,1.1186502000200562
26,-9.766419693539229,0.00020320557987755844,-9.705458019575962,-7.071282464599272,0.0001776730199188285,-7.0179805586236235,74.34804502524545,0.16771088052787328,9.415154065473176,0.021598882544595494,9.561446219345451e-05,1.168013600021368
