date,expiry,tenor,sigma_mkt,sigma_mod1,ratio,path_frac
2013-02-28,5,10,26.3,286.4,10.89,1.0
2013-02-28,10,1,23.5,291.5,12.406,1.0
2013-02-28,10,5,21.9,226.6,10.346,1.0
2013-02-28,10,10,22.9,177.9,7.77,1.0
2013-03-29,1,1,94.2,709.9,7.536,1.0
2013-03-29,1,5,51.2,570.8,11.148,1.0
2013-03-29,1,10,36.3,517.0,14.241,1.0
2013-03-29,5,1,43.2,444.5,10.29,1.0
2013-03-29,5,5,31.2,349.4,11.199,1.0
2013-03-29,5,10,27.7,274.6,9.913,1.0
2013-03-29,10,1,24.8,283.8,11.443,1.0
2013-03-29,10,5,23.0,217.5,9.458,1.0
2013-03-29,10,10,23.8,176.7,7.423,1.0
2013-04-30,1,1,103.9,734.7,7.072,1.0
2013-04-30,1,5,52.9,591.3,11.177,1.0
2013-04-30,1,10,36.9,528.6,14.325,1.0
2013-04-30,5,1,47.0,456.9,9.72,1.0
2013-04-30,5,5,33.1,355.7,10.747,1.0
2013-04-30,5,10,29.0,293.2,10.109,1.0
2013-04-30,10,1,25.8,296.0,11.474,1.0
2013-04-30,10,5,24.0,226.7,9.445,1.0
2013-04-30,10,10,25.0,175.6,7.024,1.0
2013-05-31,1,1,107.4,752.4,7.006,1.0
2013-05-31,1,5,51.7,564.4,10.918,1.0
2013-05-31,1,10,35.5,505.4,14.237,1.0
2013-05-31,5,1,40.8,445.4,10.916,1.0
2013-05-31,5,5,30.6,356.5,11.65,1.0
2013-05-31,5,10,27.2,280.9,10.325,1.0
2013-05-31,10,1,23.6,288.5,12.227,1.0
2013-05-31,10,5,22.5,216.1,9.605,1.0
2013-05-31,10,10,23.4,175.6,7.504,1.0
2013-06-28,1,1,93.2,697.9,7.488,1.0
2013-06-28,1,5,50.4,538.4,10.682,1.0
2013-06-28,1,10,33.5,457.2,13.648,1.0
2013-06-28,5,1,37.3,465.1,12.47,1.0
2013-06-28,5,5,28.6,325.0,11.365,1.0
2013-06-28,5,10,25.8,278.4,10.791,1.0
2013-06-28,10,1,24.1,290.3,12.045,1.0
2013-06-28,10,5,22.4,216.5,9.666,1.0
2013-06-28,10,10,23.2,173.3,7.469,1.0
2013-07-31,1,1,84.1,714.4,8.494,1.0
2013-07-31,1,5,47.0,548.0,11.66,1.0
2013-07-31,1,10,32.8,509.7,15.539,1.0
2013-07-31,5,1,38.1,445.3,11.688,1.0
2013-07-31,5,5,28.9,342.4,11.849,1.0
2013-07-31,5,10,26.3,268.7,10.216,1.0
2013-07-31,10,1,24.1,288.9,11.988,1.0
2013-07-31,10,5,22.5,216.4,9.619,1.0
2013-07-31,10,10,23.2,172.1,7.419,1.0
2013-08-30,1,1,83.8,651.7,7.777,1.0
2013-08-30,1,5,49.1,500.9,10.201,1.0
2013-08-30,1,10,33.6,467.8,13.924,1.0
2013-08-30,5,1,37.4,446.2,11.931,1.0
2013-08-30,5,5,28.9,326.9,11.311,1.0
2013-08-30,5,10,25.8,272.4,10.56,1.0
2013-08-30,10,1,23.6,275.6,11.679,1.0
2013-08-30,10,5,21.7,209.0,9.633,1.0
2013-08-30,10,10,22.5,167.9,7.461,1.0
2013-09-30,1,1,89.6,676.7,7.552,1.0
2013-09-30,1,5,47.7,550.2,11.535,1.0
2013-09-30,1,10,32.9,450.1,13.681,1.0
2013-09-30,5,1,38.2,448.7,11.747,1.0
2013-09-30,5,5,28.6,333.7,11.669,1.0
2013-09-30,5,10,25.8,269.7,10.453,1.0
2013-09-30,10,1,23.9,278.4,11.65,1.0
2013-09-30,10,5,22.3,212.2,9.517,1.0
2013-09-30,10,10,22.9,168.4,7.353,1.0
2013-10-31,1,1,90.0,727.5,8.083,1.0
2013-10-31,1,5,47.9,555.4,11.596,1.0
2013-10-31,1,10,32.7,492.5,15.06,1.0
2013-10-31,5,1,38.4,432.3,11.259,1.0
2013-10-31,5,5,29.1,335.2,11.518,1.0
2013-10-31,5,10,26.1,288.3,11.047,1.0
2013-10-31,10,1,23.7,299.2,12.625,1.0
2013-10-31,10,5,22.0,214.2,9.737,1.0
2013-10-31,10,10,22.3,170.4,7.641,1.0
2013-11-29,1,1,104.4,751.7,7.2,1.0
2013-11-29,1,5,49.0,550.0,11.224,1.0
2013-11-29,1,10,32.2,491.6,15.266,1.0
2013-11-29,5,1,39.0,468.6,12.016,1.0
2013-11-29,5,5,28.9,339.1,11.735,1.0
2013-11-29,5,10,25.5,280.3,10.993,1.0
2013-11-29,10,1,23.5,293.3,12.482,1.0
2013-11-29,10,5,22.1,228.4,10.334,1.0
2013-11-29,10,10,22.6,172.4,7.628,1.0
2013-12-31,1,1,87.0,750.4,8.626,1.0
2013-12-31,1,5,43.9,526.1,11.985,1.0
2013-12-31,1,10,29.8,466.5,15.655,1.0
2013-12-31,5,1,37.0,450.4,12.172,1.0
2013-12-31,5,5,28.1,321.3,11.433,1.0
2013-12-31,5,10,25.0,271.7,10.869,1.0
2013-12-31,10,1,23.2,283.0,12.199,1.0
2013-12-31,10,5,22.0,203.0,9.227,1.0
2013-12-31,10,10,22.4,167.8,7.492,1.0
2014-01-31,1,1,107.6,712.7,6.624,1.0
2014-01-31,1,5,48.1,526.6,10.948,1.0
2014-01-31,1,10,31.4,502.6,16.006,1.0
2014-01-31,5,1,40.1,456.1,11.373,1.0
2014-01-31,5,5,29.0,352.6,12.158,1.0
