date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2012-02-29,1,1,59.1,679.0,276.0,619.9,216.9
2012-02-29,1,5,40.4,499.9,114.5,459.5,74.1
2012-02-29,1,10,34.7,499.8,103.2,465.1,68.5
2012-02-29,5,1,34.4,417.5,186.0,383.1,151.6
2012-02-29,5,5,28.2,324.3,113.9,296.1,85.7
2012-02-29,5,10,26.6,263.2,91.4,236.6,64.8
2012-02-29,10,1,24.2,267.7,120.1,243.5,95.9
2012-02-29,10,5,23.0,212.2,86.9,189.2,63.9
2012-02-29,10,10,24.7,163.6,76.2,138.9,51.5
2012-03-30,1,1,57.2,654.4,292.4,597.2,235.2
2012-03-30,1,5,38.3,483.4,114.7,445.1,76.4
2012-03-30,1,10,32.5,472.2,101.9,439.7,69.4
2012-03-30,5,1,33.8,420.5,188.2,386.7,154.4
2012-03-30,5,5,27.5,316.4,111.5,288.9,84.0
2012-03-30,5,10,25.7,252.1,99.1,226.4,73.4
2012-03-30,10,1,23.5,266.8,126.6,243.3,103.1
2012-03-30,10,5,22.5,203.8,89.2,181.3,66.7
2012-03-30,10,10,24.3,169.1,70.9,144.8,46.6
2012-04-30,1,1,67.8,679.9,289.0,612.1,221.2
2012-04-30,1,5,40.4,530.4,111.5,490.0,71.1
2012-04-30,1,10,32.3,463.7,101.4,431.4,69.1
2012-04-30,5,1,34.9,428.3,184.6,393.4,149.7
2012-04-30,5,5,28.4,323.6,111.0,295.2,82.6
2012-04-30,5,10,26.6,270.0,98.5,243.4,71.9
2012-04-30,10,1,24.2,270.3,134.7,246.1,110.5
2012-04-30,10,5,23.1,206.8,90.7,183.7,67.6
2012-04-30,10,10,25.1,165.5,74.2,140.4,49.1
2012-05-31,1,1,84.4,645.9,263.9,561.5,179.5
2012-05-31,1,5,54.2,531.6,132.8,477.4,78.6
2012-05-31,1,10,47.4,507.6,118.1,460.2,70.7
2012-05-31,5,1,50.0,432.0,172.8,382.0,122.8
2012-05-31,5,5,40.2,334.8,125.1,294.6,84.9
2012-05-31,5,10,37.9,291.2,108.0,253.3,70.1
2012-05-31,10,1,35.1,276.9,133.6,241.8,98.5
2012-05-31,10,5,33.6,217.7,95.0,184.1,61.4
2012-05-31,10,10,37.1,177.8,80.6,140.7,43.5
2012-06-29,1,1,74.7,644.4,295.9,569.7,221.2
2012-06-29,1,5,45.2,542.4,120.9,497.2,75.7
2012-06-29,1,10,40.8,525.2,117.7,484.4,76.9
2012-06-29,5,1,37.7,430.3,199.9,392.6,162.2
2012-06-29,5,5,31.5,336.4,125.0,304.9,93.5
2012-06-29,5,10,30.5,270.2,96.2,239.7,65.7
2012-06-29,10,1,25.3,269.5,130.0,244.2,104.7
2012-06-29,10,5,25.6,216.7,94.7,191.1,69.1
2012-06-29,10,10,28.8,164.4,75.5,135.6,46.7
2012-07-31,1,1,116.8,674.1,279.5,557.3,162.7
2012-07-31,1,5,55.5,549.5,131.5,494.0,76.0
2012-07-31,1,10,45.1,512.6,111.8,467.5,66.7
2012-07-31,5,1,40.6,447.2,197.4,406.6,156.8
2012-07-31,5,5,34.5,336.6,125.5,302.1,91.0
2012-07-31,5,10,32.8,282.6,101.3,249.8,68.5
2012-07-31,10,1,26.8,285.1,135.9,258.3,109.1
2012-07-31,10,5,27.1,220.3,100.3,193.2,73.2
2012-07-31,10,10,30.5,178.2,83.0,147.7,52.5
2012-08-31,1,1,128.7,682.0,258.0,553.3,129.3
2012-08-31,1,5,56.3,529.1,138.0,472.8,81.7
2012-08-31,1,10,43.6,522.7,120.7,479.1,77.1
2012-08-31,5,1,43.6,465.3,183.7,421.7,140.1
2012-08-31,5,5,33.7,355.4,129.2,321.7,95.5
2012-08-31,5,10,31.3,285.1,105.8,253.8,74.5
2012-08-31,10,1,27.0,284.7,143.2,257.7,116.2
2012-08-31,10,5,26.1,219.6,98.2,193.5,72.1
2012-08-31,10,10,28.7,181.7,79.8,153.0,51.1
2012-09-28,1,1,117.0,713.3,280.9,596.3,163.9
2012-09-28,1,5,51.4,559.4,139.0,508.0,87.6
2012-09-28,1,10,39.0,503.7,104.7,464.7,65.7
