as_of_date,ccy,z_1,z_2,tau1,fd_short,r_tilde,error,abs_error
2022-04-29,SEK,-0.17599953711032867,-0.13322439789772034,0.0833333358168602,0.024916749447584152,0.026109568774700165,-0.0011928193271160126,0.0011928193271160126
2022-05-31,SEK,-0.19276471436023712,-0.14778104424476624,0.0833333358168602,0.02710014581680298,0.028301281854510307,-0.0012011360377073288,0.0012011360377073288
2022-06-30,SEK,-0.21945323050022125,-0.17900429666042328,0.0833333358168602,0.03069651871919632,0.031590841710567474,-0.0008943229913711548,0.0008943229913711548
2022-07-29,SEK,-0.1946203112602234,-0.1683655083179474,0.0833333358168602,0.027753951027989388,0.028246089816093445,-0.0004921387881040573,0.0004921387881040573
2022-08-31,SEK,-0.24017895758152008,-0.21293529868125916,0.0833333358168602,0.03366204351186752,0.033934783190488815,-0.0002727396786212921,0.0002727396786212921
2022-09-30,SEK,-0.2621065378189087,-0.23359858989715576,0.0833333358168602,0.03638293594121933,0.03657764196395874,-0.0001947060227394104,0.0001947060227394104
2022-10-31,SEK,-0.2565380930900574,-0.23024412989616394,0.0833333358168602,0.03574300557374954,0.03588554263114929,-0.00014253705739974976,0.00014253705739974976
2022-11-30,SEK,-0.2382659614086151,-0.22500434517860413,0.0833333358168602,0.03374524414539337,0.0334918387234211,0.0002534054219722748,0.0002534054219722748
2022-12-30,SEK,-0.2696410119533539,-0.2501085698604584,0.0833333358168602,0.03751868009567261,0.03733160346746445,0.0001870766282081604,0.0001870766282081604
2023-01-31,SEK,-0.23781690001487732,-0.2229212075471878,0.0833333358168602,0.03364984691143036,0.03346181660890579,0.00018803030252456665,0.00018803030252456665
2023-02-28,SEK,-0.2917778193950653,-0.27272969484329224,0.0833333358168602,0.040195953100919724,0.03987554833292961,0.0003204047679901123,0.0003204047679901123
2023-03-31,SEK,-0.2594177722930908,-0.24924656748771667,0.0833333358168602,0.03647620230913162,0.03598928079009056,0.0004869215190410614,0.0004869215190410614
