epoch,train_nll,val_nll,curve_rmse_bp,kappa,hl_y,sigma_mean,lr,time_sec
21,-10.806209853511696,-8.260431519225182,72.17791412167239,0.15528543324451763,31.772075783144757,0.012901984426002195,9.707359806323416e-05,1.0206932000000961
22,-10.807223940939062,-8.257425489196866,72.17177968327911,0.15524022875196117,31.756560282018132,0.012891048405297366,9.680447952607844e-05,1.0597599000029732
23,-10.808289450025512,-8.254578347927119,72.16354770478077,0.15519191785988964,31.723505150874107,0.012880507982949815,9.652393605146843e-05,1.1022085000004154
24,-10.809301312726571,-8.251730791926908,72.15445145182922,0.15514495021870403,31.683477296005293,0.012869952939088682,9.623203685930868e-05,1.1517647000146098
25,-10.810383254781396,-8.248880061961598,72.14514902615925,0.1550969399666778,31.640403385311718,0.012859400685114958,9.592885397135704e-05,1.2033649000222795
26,-10.811457070721556,-8.246016227852389,72.13642077154451,0.15504284295015927,31.608018333097032,0.012848817161978407,9.561446219345451e-05,1.244658800016623
27,-10.8124609734349,-8.243024123948121,72.13064518274007,0.1550023307979754,31.58908372627385,0.012838147191481988,9.528893909706794e-05,1.2863490000017919
28,-10.813516529280998,-8.240190976948911,72.12178620149253,0.1549594136580264,31.54673299383003,0.01282781019734594,9.495236500015045e-05,1.325805100001162
29,-10.814564098415486,-8.237320507193813,72.11520037463302,0.15491634128239085,31.519847633362442,0.012817513219323317,9.460482294732418e-05,1.3697581000160426
30,-10.815588655607218,-8.23438358215241,72.11010218829239,0.1548717684125312,31.50919825163619,0.012807110524400409,9.424639868939032e-05,1.417576400010148
31,-10.816579901223712,-8.231403631565607,72.10363994335273,0.15482117125888908,31.491850704627904,0.012796491557033067,9.387718066217123e-05,1.4567120000137947
32,-10.817648150361288,-8.22852000310998,72.0953373706609,0.15477124715201251,31.460206076919146,0.012786100356232892,9.349725996469046e-05,1.4994166000105906
33,-10.818619542771664,-8.225561260721081,72.08889022228566,0.1547214836444973,31.44426023331998,0.01277562518618149,9.31067303366952e-05,1.540629800001625
34,-10.819654644008594,-8.222702906613222,72.08213137284504,0.15467810127647721,31.416910552405753,0.01276552389343683,9.270568813552755e-05,1.579802100022789
35,-10.820658616459307,-8.219831075926182,72.07596364946133,0.15463317680123226,31.39527075766558,0.01275543691471788,9.229423231234973e-05,1.626235000003362
36,-10.821671234308907,-8.216990843819838,72.06933031710167,0.15459197526403246,31.370738322497978,0.012745461415934828,9.187246438772937e-05,1.6772549000161234
37,-10.822633738343901,-8.214042066815576,72.06390723705817,0.15454897753311855,31.35705023652132,0.012735246180056899,9.144048842659079e-05,1.7155250000068918
38,-10.823629671635645,-8.211147287656596,72.05692582039698,0.15450909973856522,31.325175167196484,0.012725166567355159,9.099841101253865e-05,1.7552340000111144
39,-10.824614201400395,-8.208211771170578,72.05048388315448,0.1544669125412874,31.299380774167183,0.012715009734012473,9.054634122155989e-05,1.7952651000232436
40,-10.82563460666831,-8.205336061001685,72.04137194729554,0.15442043801337196,31.257917523829818,0.012704862884123416,9.008439059511098e-05,1.8407695000059903
41,-10.82660174063093,-8.202458145865585,72.03352921162545,0.15437726131743149,31.222870733519706,0.012694853385467917,8.961267311259666e-05,1.8900108000088949
