as_of_date,ccy,z_1,z_2
2011-02-28,CAD,0.024182834,-0.14894654
2011-03-31,CAD,0.023568152,-0.15301707
2011-04-29,CAD,0.020773135,-0.14778449
2011-05-31,CAD,0.016849238,-0.13921206
2011-06-30,CAD,0.015854688,-0.14211974
2011-07-29,CAD,0.012841932,-0.13044694
2011-08-31,CAD,0.0038584855,-0.116084665
2011-09-30,CAD,-0.0010828641,-0.10513944
2011-10-31,CAD,0.0014307917,-0.11265651
2011-11-30,CAD,0.007647629,-0.10114271
2011-12-30,CAD,0.008388553,-0.0952957
2012-01-31,CAD,0.009441618,-0.09529955
2012-02-29,CAD,0.011954804,-0.10349096
2012-03-30,CAD,0.014766351,-0.10863764
2012-04-30,CAD,0.022572877,-0.1073832
2012-05-31,CAD,0.017332343,-0.087714575
2012-06-29,CAD,0.013847977,-0.093884245
2012-07-31,CAD,0.018226862,-0.09124477
2012-08-31,CAD,0.021568488,-0.091595575
2012-09-28,CAD,0.017902374,-0.09128422
2012-10-31,CAD,0.016389394,-0.09407356
2012-11-30,CAD,0.017818669,-0.091558196
2012-12-31,CAD,0.01949091,-0.09514847
2013-01-31,CAD,0.017453384,-0.10263249
2013-02-28,CAD,0.011519503,-0.09945108
2013-03-29,CAD,0.013829426,-0.09997885
2013-04-30,CAD,0.014543947,-0.09394704
2013-05-31,CAD,0.016783157,-0.106382795
2013-06-28,CAD,0.018253803,-0.12027989
2013-07-31,CAD,0.01596684,-0.12157229
2013-08-30,CAD,0.014672531,-0.12693104
2013-09-30,CAD,0.012203797,-0.12665983
2013-10-31,CAD,0.009936343,-0.122865975
2013-11-29,CAD,0.0070493817,-0.12548809
2013-12-31,CAD,0.008236855,-0.13226233
2014-01-31,CAD,0.0054906467,-0.11898486
2014-02-28,CAD,0.00797479,-0.11840173
2014-03-31,CAD,0.010548427,-0.119646154
2014-04-30,CAD,0.011845218,-0.11765274
2014-05-30,CAD,0.012130204,-0.112168714
2014-06-30,CAD,0.013654472,-0.11328519
2014-07-31,CAD,0.014920793,-0.11021151
2014-08-29,CAD,0.017092744,-0.105010934
2014-09-30,CAD,0.017230656,-0.10910806
2014-10-31,CAD,0.017371276,-0.10522959
