as_of_date,ccy,z_1,z_2,z_3,z_4
2021-05-31,CAD,0.091584176,0.004840404,0.045805182,-0.0066337106
2021-06-30,CAD,0.089743376,-0.0017320823,0.040981524,0.00074531697
2021-07-30,CAD,0.083124824,-0.002506801,0.038008586,-0.0043517975
2021-08-31,CAD,0.084386155,-0.003252396,0.038068563,-0.0028782645
2021-09-30,CAD,0.09629068,-0.004697592,0.0424414,0.0015779082
2021-10-29,CAD,0.11187345,-0.026028257,0.037350945,0.016519297
2021-11-30,CAD,0.10386197,-0.028289407,0.032568928,0.015266171
2021-12-31,CAD,0.101820074,-0.03054361,0.03058635,0.01384065
2022-01-31,CAD,0.12021356,-0.03939948,0.034777585,0.012086801
2022-02-28,CAD,0.12378523,-0.045157865,0.033503257,0.01067212
2022-03-31,CAD,0.15480001,-0.07137642,0.033528864,0.019894514
2022-04-29,CAD,0.17802039,-0.088008635,0.03594075,0.015683679
2022-05-31,CAD,0.17820895,-0.08979318,0.035429925,0.011383691
2022-06-30,CAD,0.198061,-0.110617764,0.034064975,0.008946437
2022-07-29,CAD,0.17819877,-0.11860791,0.022496542,-0.010510529
2022-08-31,CAD,0.20646092,-0.14090836,0.022551121,0.0076232627
2022-09-30,CAD,0.2109077,-0.14945005,0.020542301,0.003044533
2022-10-31,CAD,0.21664676,-0.15706941,0.01969636,-0.0023029514
2022-11-30,CAD,0.20391707,-0.16305038,0.011299967,-0.009013694
2022-12-30,CAD,0.21900433,-0.16558704,0.016955152,-0.009043845
2023-01-31,CAD,0.20086484,-0.16407198,0.010319753,-0.02057409
2023-02-28,CAD,0.2207273,-0.17013365,0.0149227865,-0.0029488557
2023-03-31,CAD,0.19936556,-0.1614489,0.010690798,-0.016123913
2023-04-28,CAD,0.19877553,-0.16294576,0.009706597,-0.016911816
2023-05-31,CAD,0.21999328,-0.17942153,0.01014571,-0.0063887513
2023-06-30,CAD,0.22834246,-0.19509214,0.005382166,0.0003242678
2023-07-31,CAD,0.23872763,-0.19666918,0.009269845,0.00202127
2023-08-31,CAD,0.24098478,-0.19403543,0.011672483,0.0019671351
2023-09-29,CAD,0.25875428,-0.19427387,0.019386712,0.0061526787
2023-10-31,CAD,0.2554402,-0.18281063,0.024254778,-0.0006180213
2023-11-30,CAD,0.22588298,-0.17112526,0.017019488,-0.0060472596
2023-12-29,CAD,0.2011277,-0.1622861,0.010635271,-0.012325396
2024-01-31,CAD,0.21526049,-0.1691001,0.013840936,-0.01371304
2024-02-29,CAD,0.2241928,-0.17038774,0.016574385,-0.0047836546
2010-01-29,DKK,0.18124153,-0.037732035,0.06435625,0.0043651024
2010-02-26,DKK,0.17537285,-0.031733353,0.064933315,0.00077358505
2010-03-31,DKK,0.17266038,-0.030140659,0.0646638,-0.0009231922
2010-04-30,DKK,0.16699913,-0.029570647,0.06230299,-0.0009751685
2010-05-31,DKK,0.15119019,-0.027074391,0.05630034,-0.0026193843
2010-06-30,DKK,0.14912455,-0.029093966,0.054672133,-0.007181758
2010-07-30,DKK,0.15435602,-0.02803769,0.05762435,-0.0052059516
2010-08-31,DKK,0.12553094,-0.032958325,0.041628633,-0.0053434493
2010-09-30,DKK,0.13951424,-0.037518874,0.045452196,-0.001033014
2010-10-29,DKK,0.1484965,-0.039178368,0.04833455,0.0033928615
2010-11-30,DKK,0.15758377,-0.03391012,0.055178747,0.0031808242
2010-12-31,DKK,0.17006686,-0.032084294,0.061595105,0.0077327797
2011-01-31,DKK,0.17847635,-0.03938977,0.061353285,0.01502851
2011-02-28,DKK,0.17881715,-0.0400522,0.060876008,0.018032152
2011-03-31,DKK,0.1913393,-0.05143246,0.060942285,0.016858699
2011-04-29,DKK,0.18793344,-0.050548356,0.060045388,0.0143691255
2011-05-31,DKK,0.1760025,-0.04663705,0.057181463,0.005957569
2011-06-30,DKK,0.18201058,-0.046790116,0.0601744,0.003472232
2011-08-31,DKK,0.14775656,-0.029949905,0.053580455,-0.0059604216
2011-09-30,DKK,0.124579296,-0.02883537,0.043341104,-0.006103228
2011-10-31,DKK,0.1307753,-0.029117065,0.045870125,-0.0037487692
2011-11-30,DKK,0.12262057,-0.021440353,0.045888234,-0.0034078707
2011-12-30,DKK,0.10710867,-0.016825933,0.04163164,-0.009685064
2012-01-31,DKK,0.10716856,-0.016907785,0.042024244,-0.014576793
2012-02-29,DKK,0.11277732,-0.017373241,0.044180296,-0.011361243
2012-03-30,DKK,0.11447894,-0.017032659,0.045123573,-0.01079349
2012-04-30,DKK,0.10991049,-0.01306194,0.04541815,-0.015209297
2012-05-31,DKK,0.07956739,-0.0135060325,0.030764591,-0.010820003
2012-06-29,DKK,0.09315799,-0.002565647,0.0429975,-0.013936758
2012-07-31,DKK,0.08286327,0.0062244222,0.043267123,-0.019608365
2012-08-31,DKK,0.08317964,0.0048203804,0.042695854,-0.019339882
2012-09-28,DKK,0.08892843,0.0039400854,0.04493486,-0.018909028
2012-10-31,DKK,0.09185711,0.0021459025,0.04516578,-0.016632635
2012-11-30,DKK,0.084388055,0.008666058,0.045246378,-0.018489351
2012-12-31,DKK,0.08165768,0.007646277,0.043663654,-0.02037176
2013-01-31,DKK,0.09993034,-0.001136116,0.046546668,-0.008171593
2013-02-28,DKK,0.09143206,0.0056386814,0.046997312,-0.018931085
2013-03-29,DKK,0.087799214,0.0065283775,0.045572,-0.016316323
2013-04-30,DKK,0.079093724,0.0055308808,0.041431054,-0.020663215
2013-05-31,DKK,0.090263754,0.008280862,0.047735862,-0.017733047
2013-06-28,DKK,0.103005216,0.0059478264,0.051335648,-0.006076205
2013-07-31,DKK,0.101933666,0.007839472,0.05195479,-0.007847166
