as_of_date,ccy,z_1,z_2
2023-02-28,AUD,0.07196968,-0.042460427
2023-03-31,AUD,0.0629482,-0.03459208
2023-04-28,AUD,0.062279902,-0.035479855
2023-05-31,AUD,0.06616293,-0.04022185
2023-06-30,AUD,0.06848711,-0.048708133
2023-07-31,AUD,0.07000381,-0.045838255
2023-08-31,AUD,0.07053218,-0.042150363
2023-09-29,AUD,0.07803583,-0.042754106
2023-10-31,AUD,0.08707244,-0.04525546
2023-11-30,AUD,0.078828275,-0.04301822
2023-12-29,AUD,0.06806303,-0.040575273
2024-01-31,AUD,0.069761336,-0.038687833
2024-02-29,AUD,0.07260313,-0.040654596
2010-01-29,CAD,0.08052313,0.010981694
2010-02-26,CAD,0.08063394,0.010832932
2010-03-31,CAD,0.07907628,0.0026953998
2010-04-30,CAD,0.079242274,-0.0014936622
2010-05-31,CAD,0.0753972,-0.0016255692
2010-06-30,CAD,0.074544646,0.0045632254
2010-07-30,CAD,0.07341659,0.0041817348
2010-08-31,CAD,0.0661459,0.005478851
2010-09-30,CAD,0.06273467,0.00090193533
2010-10-29,CAD,0.064981885,0.0022691514
2010-11-30,CAD,0.06772373,-0.0015067173
2010-12-31,CAD,0.070529126,-0.0012514561
2011-01-31,CAD,0.07438839,0.00086008594
2011-02-28,CAD,0.07496506,-0.0020719545
2011-03-31,CAD,0.077088274,-0.0016677286
2011-04-29,CAD,0.0745933,-0.0009091802
2011-05-31,CAD,0.070486106,0.00014639458
2011-06-30,CAD,0.07205645,0.00064014335
2011-07-29,CAD,0.06618278,0.0011091781
2011-08-31,CAD,0.059518468,0.0038776014
2011-09-30,CAD,0.054131534,0.0050822133
2011-10-31,CAD,0.05784855,0.004526726
2011-11-30,CAD,0.051209066,0.0012881465
2011-12-30,CAD,0.04804213,0.0006025993
2012-01-31,CAD,0.04802737,0.00025724285
2012-02-29,CAD,0.052119747,-0.00015724823
2012-03-30,CAD,0.054542758,-0.0009510933
2012-04-30,CAD,0.053160354,-0.0041290023
2012-05-31,CAD,0.043386057,-0.0031523416
2012-06-29,CAD,0.0469896,-0.0013363172
2012-07-31,CAD,0.04521291,-0.003214304
2012-08-31,CAD,0.045022517,-0.00461275
2012-09-28,CAD,0.045245815,-0.003103588
2012-10-31,CAD,0.046887256,-0.0022917162
2012-11-30,CAD,0.04544836,-0.0029842132
2012-12-31,CAD,0.04714579,-0.0034964455
2013-01-31,CAD,0.05127897,-0.0022117435
2013-02-28,CAD,0.05016034,-8.5682095e-06
2013-03-29,CAD,0.050244547,-0.0008866819
2013-04-30,CAD,0.0470333,-0.0014951794
2013-05-31,CAD,0.053295214,-0.0017256256
2013-06-28,CAD,0.060442295,-0.0014725162
2013-07-31,CAD,0.06130676,-0.00050205435
2013-08-30,CAD,0.06425482,0.00038016489
2013-09-30,CAD,0.06435514,0.0013650884
2013-10-31,CAD,0.06256534,0.0019819401
2013-11-29,CAD,0.064201035,0.003216466
2013-12-31,CAD,0.067548074,0.0031102975
2014-01-31,CAD,0.060936283,0.0034948431
2014-02-28,CAD,0.060438514,0.002513862
2014-03-31,CAD,0.06085463,0.0016083632
2014-04-30,CAD,0.059745416,0.0010486424
2014-05-30,CAD,0.056839924,0.0005890324
2014-06-30,CAD,0.057357535,0.00013545659
2014-07-31,CAD,0.055615596,-0.0005241906
2014-08-29,CAD,0.05275321,-0.0016100219
2014-09-30,CAD,0.05485605,-0.0014370367
2014-10-31,CAD,0.052769154,-0.0018029755
2014-11-28,CAD,0.04950123,-0.0025366382
2014-12-31,CAD,0.047651306,-0.003757845
2015-01-30,CAD,0.038131326,0.0026028275
2015-02-27,CAD,0.040591493,0.0028217002
2015-03-31,CAD,0.041721947,0.002865921
2015-04-30,CAD,0.044921443,0.0012882317
2015-05-29,CAD,0.045878466,0.0026804607
2015-06-30,CAD,0.049151383,0.0051650903
2015-07-31,CAD,0.045806874,0.006903757
2015-08-31,CAD,0.0463867,0.0073924046
2015-09-30,CAD,0.04329396,0.0049518878
2015-10-30,CAD,0.044447348,0.0044480576
2015-11-30,CAD,0.043611526,0.0038166938
2015-12-31,CAD,0.0443495,0.0048987465
2016-01-29,CAD,0.039044853,0.005044773
2016-02-29,CAD,0.032844692,0.0013348669
2016-03-31,CAD,0.03545083,0.0012368631
2016-04-29,CAD,0.038838938,-0.00021543333
2016-05-31,CAD,0.035841614,-0.0005396126
2016-06-30,CAD,0.030315995,-0.00077036716
2016-07-29,CAD,0.028750699,-0.0022062121
2016-08-31,CAD,0.027375348,-0.0031761169
2016-09-30,CAD,0.027898233,-0.0023725089
2016-10-31,CAD,0.032411482,-0.00091952493
2016-11-30,CAD,0.039559346,-0.00023305975
2016-12-30,CAD,0.041711636,-0.00069561333
2017-01-31,CAD,0.0433313,-2.1700062e-05
2017-02-28,CAD,0.0411805,-0.00062551023
2017-03-31,CAD,0.041911464,-0.0005503843
2017-04-28,CAD,0.039844427,-0.00058445183
2017-05-31,CAD,0.03877448,-0.00061439874
2017-06-30,CAD,0.04250696,-0.005586046
2017-07-31,CAD,0.046058014,-0.0075861495
2017-08-31,CAD,0.042316165,-0.008785274
2017-09-29,CAD,0.0452589,-0.011649136
2017-10-31,CAD,0.043976888,-0.010420658
2017-11-30,CAD,0.04260503,-0.011119757
2017-12-29,CAD,0.044134386,-0.013934312
2018-07-31,CAD,0.04676326,-0.019995516
2018-08-31,CAD,0.04520594,-0.020628653
2018-09-28,CAD,0.04837393,-0.021706238
2018-10-31,CAD,0.04994885,-0.02319228
2018-11-30,CAD,0.047607057,-0.021496303
2018-12-31,CAD,0.043835483,-0.018857663
2019-01-31,CAD,0.042977173,-0.018004538
2019-02-28,CAD,0.04372093,-0.01728911
2019-03-29,CAD,0.037918054,-0.01574133
2019-04-30,CAD,0.04033359,-0.014555066
2019-05-31,CAD,0.036065564,-0.014292694
2019-06-28,CAD,0.033600662,-0.015344567
2019-07-31,CAD,0.03385737,-0.016103968
2019-08-30,CAD,0.027892923,-0.015400419
2019-09-30,CAD,0.029670827,-0.018129624
2019-10-31,CAD,0.032232743,-0.016431099
2019-11-29,CAD,0.032821223,-0.017144544
2019-12-31,CAD,0.03770641,-0.0176737
2020-01-31,CAD,0.030452758,-0.015484655
2020-02-28,CAD,0.027646462,-0.012148323
2020-03-31,CAD,0.024258332,-0.0022435675
2020-04-30,CAD,0.023812484,0.00038522144
2020-05-29,CAD,0.023767294,0.0010216648
2020-06-30,CAD,0.023713773,0.0006933694
2020-07-31,CAD,0.021971678,0.0005650778
2020-08-31,CAD,0.025895828,0.0020223497
2020-09-30,CAD,0.025319494,0.001934856
2020-10-30,CAD,0.027854677,0.003192697
2020-11-30,CAD,0.02809894,0.00269455
2020-12-31,CAD,0.029189881,0.0039237007
2021-01-29,CAD,0.033465378,0.0056313337
2021-02-26,CAD,0.040481325,0.0051548732
2021-03-31,CAD,0.046589695,0.0075528445
2021-04-30,CAD,0.04510493,0.0071606403
2021-05-31,CAD,0.04349513,0.0062947683
2021-06-30,CAD,0.04043813,0.0031377487
2021-07-30,CAD,0.03778741,0.0033351479
2021-08-31,CAD,0.038021613,0.0029261778
2021-09-30,CAD,0.042564556,0.0022521757
2021-10-29,CAD,0.042964302,-0.0064141145
2021-11-30,CAD,0.038815174,-0.007409544
2021-12-31,CAD,0.037453767,-0.008104796
2022-01-31,CAD,0.043738328,-0.010293718
