expiry,k,T_k,P0_Tk,MC_mean,MC_stderr,abs_err,rel_err_pct,n_valid,vol_date,pricing_date
1,7,8,1.0095394433581777,0.9593117954804475,0.013797407324631496,-0.05022764787773015,-4.9753031650403505,2389,2020-04-30,2020-04-30
1,8,9,1.0076372126174467,0.9404074145409186,0.014410427969059869,-0.06722979807652807,-6.672024140701533,2389,2020-04-30,2020-04-30
1,9,10,1.005623081608769,0.920820694735579,0.01478653780182262,-0.08480238687318997,-8.432820250856352,2389,2020-04-30,2020-04-30
1,10,11,1.0035204712887542,0.903047099386694,0.01510607226893434,-0.10047337190206018,-10.012089915119414,2389,2020-04-30,2020-04-30
5,0,5,1.0136212140454453,0.8167718370009414,0.003323268086072884,-0.1968493770445039,-19.4204081679449,2341,2020-04-30,2020-04-30
5,1,6,1.0127281979038878,0.7776863467725084,0.004036131466727974,-0.23504185113137943,-23.208779178644527,2341,2020-04-30,2020-04-30
5,2,7,1.011277196837552,0.752480619440888,0.0064293647456223615,-0.25879657739666406,-25.591062292907235,2341,2020-04-30,2020-04-30
5,3,8,1.0095394433581777,0.7332870807279624,0.00819558869340437,-0.27625236263021524,-27.3641970551717,2341,2020-04-30,2020-04-30
5,4,9,1.0076372126174467,0.712171244620562,0.009666989062945225,-0.2954659679968846,-29.32265346070138,2341,2020-04-30,2020-04-30
5,5,10,1.005623081608769,0.690473008901828,0.010857038813775139,-0.31515007270694106,-31.338786715473194,2341,2020-04-30,2020-04-30
5,6,11,1.0035204712887542,0.6726131090776777,0.01240868760819407,-0.33090736221107653,-32.9746499128328,2341,2020-04-30,2020-04-30
5,7,12,1.001343275481812,0.6532312251408237,0.01356962156248336,-0.34811205034098824,-34.76450672457842,2341,2020-04-30,2020-04-30
5,8,13,0.9991041087498131,0.6334750936836555,0.014454447252560074,-0.36562901506615764,-36.59568726262893,2341,2020-04-30,2020-04-30
5,9,14,0.9968169207265697,0.6124785489340436,0.014808017730527853,-0.38433837179252606,-38.5565657846564,2341,2020-04-30,2020-04-30
5,10,15,0.994497164084321,0.5937329983919314,0.015134534479746093,-0.4007641656923896,-40.29817079080276,2341,2020-04-30,2020-04-30
10,0,10,1.005623081608769,0.6689217078736496,0.006666203697868469,-0.33670137373511944,-33.481866107972934,2299,2020-04-30,2020-04-30
10,1,11,1.0035204712887542,0.6368901847115324,0.007216352015818961,-0.36663028657722185,-36.534410315156116,2299,2020-04-30,2020-04-30
10,2,12,1.001343275481812,0.6144315604301759,0.008488295203409001,-0.386911715051636,-38.63926832338964,2299,2020-04-30,2020-04-30
10,3,13,0.9991041087498131,0.5908016931381234,0.00902818271914226,-0.4083024156116898,-40.86685381792712,2299,2020-04-30,2020-04-30
10,4,14,0.9968169207265697,0.5700291988372393,0.009918386043884533,-0.42678772188933034,-42.81505590597811,2299,2020-04-30,2020-04-30
10,5,15,0.994497164084321,0.548656056492205,0.010627628127406858,-0.44584110759211604,-44.83080733594875,2299,2020-04-30,2020-04-30
10,6,16,0.9921610953170551,0.528733769330616,0.011428628203494043,-0.4634273259864391,-46.70887904935904,2299,2020-04-30,2020-04-30
10,7,17,0.9898249092051254,0.5153992013718328,0.012918988907613586,-0.47442570783329263,-47.93026558750458,2299,2020-04-30,2020-04-30
10,8,18,0.9875039784848476,0.49865440059257016,0.01361957350175434,-0.48884957789227745,-49.50355528109687,2299,2020-04-30,2020-04-30
10,9,19,0.9852122790293126,0.48260738554333676,0.013970818391171666,-0.5026048934859759,-51.01488320681214,2299,2020-04-30,2020-04-30
10,10,20,0.9829620038875035,0.468956029889048,0.014371602624243028,-0.5140059739984555,-52.29154046297009,2299,2020-04-30,2020-04-30
1,0,1,1.002551931161846,0.9773617722696127,0.0008008591712470159,-0.025190158892233305,-2.5126038970410955,2473,2018-05-31,2018-05-31
1,1,2,1.0014274826899034,0.9751080021692405,0.004371240500966448,-0.026319480520662908,-2.6281963472748884,2473,2018-05-31,2018-05-31
1,2,3,0.9996102396811751,0.9763925653119625,0.007202073597885542,-0.023217674369212626,-2.322672722582142,2473,2018-05-31,2018-05-31
1,3,4,0.9946818366821156,0.9764151869459673,0.008066840661549949,-0.018266649736148333,-1.836431415806184,2473,2018-05-31,2018-05-31
1,4,5,0.9860167040574402,0.9825793041161168,0.009750626021269535,-0.0034373999413234158,-0.3486147777394216,2473,2018-05-31,2018-05-31
1,5,6,0.974454303253675,0.9868866959924518,0.011732919883886172,0.012432392738776832,1.275831272668757,2473,2018-05-31,2018-05-31
