date,expiry,tenor,split,sigma_mkt,sigma_cal,s_cell,path_frac,sigma_mod1,err_s1_bp,err_cal_bp
2011-09-30,1,1,train,69.4,268.1,0.13841,1.0,604.9,535.5,198.70000000000002
2011-09-30,1,5,train,43.1,111.2,0.15101,1.0,498.4,455.29999999999995,68.1
2011-09-30,1,10,train,40.0,52.2,0.09815,1.0,463.6,423.6,12.200000000000003
2011-09-30,5,1,train,33.4,167.6,0.1419,1.0,398.7,365.3,134.2
2011-09-30,5,5,train,27.8,86.6,0.12419,1.0,314.8,287.0,58.8
2011-09-30,5,10,train,26.9,77.1,0.1274,1.0,267.0,240.1,50.199999999999996
2011-09-30,10,1,train,23.4,104.9,0.1214,1.0,250.0,226.6,81.5
2011-09-30,10,5,train,22.3,77.3,0.14504,1.0,199.5,177.2,55.0
2011-09-30,10,10,train,23.8,81.4,0.18302,1.0,164.3,140.5,57.60000000000001
2011-10-31,1,1,train,73.9,275.7,0.13841,1.0,613.9,540.0,201.79999999999998
2011-10-31,1,5,train,43.8,108.6,0.15101,1.0,478.5,434.7,64.8
2011-10-31,1,10,train,37.3,51.2,0.09815,1.0,458.9,421.59999999999997,13.900000000000006
2011-10-31,5,1,train,33.4,160.9,0.1419,1.0,394.1,360.70000000000005,127.5
2011-10-31,5,5,train,27.5,84.4,0.12419,1.0,307.2,279.7,56.900000000000006
2011-10-31,5,10,train,26.2,75.9,0.1274,1.0,259.9,233.7,49.7
2011-10-31,10,1,train,23.1,106.5,0.1214,1.0,258.9,235.79999999999998,83.4
2011-10-31,10,5,train,22.0,76.8,0.14504,1.0,191.8,169.8,54.8
2011-10-31,10,10,train,23.6,83.6,0.18302,1.0,170.1,146.5,59.99999999999999
2011-11-30,1,1,train,74.5,292.3,0.13841,1.0,624.4,549.9,217.8
2011-11-30,1,5,train,41.2,96.0,0.15101,1.0,459.3,418.1,54.8
2011-11-30,1,10,train,37.3,45.3,0.09815,1.0,440.3,403.0,8.0
2011-11-30,5,1,train,30.4,173.0,0.1419,1.0,406.2,375.8,142.6
2011-11-30,5,5,train,26.0,80.0,0.12419,1.0,291.4,265.4,54.0
2011-11-30,5,10,train,25.1,72.2,0.1274,1.0,263.9,238.79999999999998,47.1
2011-11-30,10,1,train,22.4,108.1,0.1214,1.0,254.3,231.9,85.69999999999999
2011-11-30,10,5,train,21.5,69.2,0.14504,1.0,193.1,171.6,47.7
2011-11-30,10,10,train,23.5,79.6,0.18302,1.0,162.8,139.3,56.099999999999994
2011-12-30,1,1,train,59.2,280.1,0.13841,1.0,644.7,585.5,220.90000000000003
2011-12-30,1,5,train,43.5,116.3,0.15101,1.0,472.7,429.2,72.8
2011-12-30,1,10,train,38.9,61.1,0.09815,1.0,494.2,455.3,22.200000000000003
2011-12-30,5,1,train,33.8,173.6,0.1419,1.0,408.6,374.8,139.8
