as_of_date,ccy,z1,z2,z3
2019-01-31,AUD,0.03018903926879615,-0.007370100789387247,-0.021282554042609505
2019-02-28,AUD,0.02952056138867688,-0.007683132903625927,-0.02178293414451738
2019-03-29,AUD,0.02660863617680161,-0.0076341559120392324,-0.022239747891665915
2019-04-30,AUD,0.026274117928588855,-0.008446097745625079,-0.02258694131375725
2019-05-31,AUD,0.02384619053789246,-0.008227038948649932,-0.022842729234504647
2019-06-28,AUD,0.021995721057039515,-0.008382977974898013,-0.02301229268880747
2019-07-31,AUD,0.020130375112848063,-0.007684075311218578,-0.023071618514174573
2019-08-30,AUD,0.017371529577628966,-0.005990363701938537,-0.02304354590300039
2019-09-30,AUD,0.01784747083960562,-0.005340703972363799,-0.02301205642465779
2019-10-31,AUD,0.018806150995675015,-0.005591439443131121,-0.023042695006802397
2019-11-29,AUD,0.018328179830578613,-0.0066772444842315174,-0.02314630242020788
2019-12-31,AUD,0.020787521707321704,-0.007196279262071432,-0.023197038834986895
2020-01-31,AUD,0.017038369661028445,-0.00582109814156321,-0.023295079912554813
2020-02-28,AUD,0.015101975549750428,-0.0049356877288338945,-0.02335479836005276
2020-03-31,AUD,0.014122959382144324,-0.006190935480969867,-0.02347817950910638
2020-04-30,AUD,0.01474189896152668,-0.008986723231003005,-0.02368327673620615
2020-05-29,AUD,0.014977397680994028,-0.009771411675246743,-0.023841260201844502
2020-06-30,AUD,0.015122301982709047,-0.010454422353207683,-0.02403128344421814
2020-07-31,AUD,0.014706717861151077,-0.010615053275396894,-0.024212195379368702
2020-08-31,AUD,0.015726274528713925,-0.012028721209673346,-0.02441911583863605
2020-09-30,AUD,0.015307324113853002,-0.012567322028701129,-0.024545627157486972
2020-10-30,AUD,0.01567511732567532,-0.01407048752986859,-0.024622137121566464
2020-11-30,AUD,0.01719729708616961,-0.01593939601927158,-0.02458078653522823
2020-12-31,AUD,0.017948363391783278,-0.01720461020487966,-0.02439517291012644
2010-01-29,CAD,0.05255212137707572,-0.051025146750286327,-0.027652287606053726
2010-02-26,CAD,0.051817884813076934,-0.04903285863808619,-0.02710161787249909
2010-03-31,CAD,0.05219993466896048,-0.04386215548039984,-0.026504250541193014
2010-04-30,CAD,0.05239914588509091,-0.04029650967595263,-0.026577057912210662
2010-05-31,CAD,0.05045554362260203,-0.038629893247411354,-0.027383053623759077
