as_of_date,ccy,z_1,z_2,z_3
2016-09-30,CAD,-0.0061686034,0.012054088,0.09896708
2016-10-31,CAD,-0.0010982106,0.015432317,0.11527129
2016-11-30,CAD,0.0016013657,0.013432374,0.13741891
2016-12-30,CAD,7.24435e-05,0.011337008,0.14341486
2017-01-31,CAD,0.0022666396,0.014348206,0.15020683
2017-02-28,CAD,-0.000101015175,0.013056869,0.14252862
2017-03-31,CAD,4.9490594e-05,0.012683113,0.14459313
2017-04-28,CAD,-0.0003607121,0.014274193,0.13868368
2017-05-31,CAD,-0.00043392775,0.01348198,0.13475305
2017-06-30,CAD,-0.014779578,0.0025078894,0.14292075
2017-07-31,CAD,-0.020452073,0.0014963375,0.15500629
2017-08-31,CAD,-0.02434376,0.00058703724,0.14263332
2017-09-29,CAD,-0.032744307,-0.0047515268,0.15049721
2017-10-31,CAD,-0.028971037,-0.0033370117,0.14666171
2017-11-30,CAD,-0.03124507,-0.005241327,0.14133865
2017-12-29,CAD,-0.039739728,-0.017267967,0.14035895
2018-07-31,CAD,-0.056889884,-0.020212224,0.15047199
2018-08-31,CAD,-0.059030917,-0.01867628,0.14649922
2018-09-28,CAD,-0.061847344,-0.020832663,0.15617625
2018-10-31,CAD,-0.06632992,-0.021153228,0.1617498
2018-11-30,CAD,-0.061459232,-0.015352351,0.15669686
2018-12-31,CAD,-0.053554364,-0.006989723,0.14803523
2019-01-31,CAD,-0.051376387,-0.006564697,0.14496343
2019-02-28,CAD,-0.048974734,-0.006447206,0.14724714
2019-03-29,CAD,-0.044955466,-0.0010139913,0.13043185
2019-04-30,CAD,-0.04131986,0.0018432062,0.13954213
2019-05-31,CAD,-0.040864073,0.0034085934,0.12634332
2019-06-28,CAD,-0.044270497,0.00036780117,0.116843365
2019-07-31,CAD,-0.046548843,-0.0018982363,0.11674175
2019-08-30,CAD,-0.044979434,-0.0011281699,0.097251505
2019-09-30,CAD,-0.052858748,-0.0069082584,0.10099154
2019-10-31,CAD,-0.047511928,-0.005564373,0.109527476
2019-11-29,CAD,-0.049585328,-0.007628498,0.11054794
2019-12-31,CAD,-0.05046468,-0.01001375,0.12562549
2020-01-31,CAD,-0.044990655,-0.0025547578,0.10493846
2020-02-28,CAD,-0.034825582,0.00078463415,0.096395604
2020-03-31,CAD,-0.0063893395,0.007820849,0.08464866
2020-04-30,CAD,0.0015526179,0.012812237,0.08488048
2020-05-29,CAD,0.0034692667,0.012668091,0.0844011
2020-06-30,CAD,0.0027436449,0.011575247,0.083757356
2020-07-31,CAD,0.0021639443,0.0115501145,0.07804073
2020-08-31,CAD,0.006994946,0.014449588,0.09203167
2020-09-30,CAD,0.0064578014,0.014217869,0.08995788
2020-10-30,CAD,0.010622795,0.016313396,0.09904635
2020-11-30,CAD,0.009230561,0.014585244,0.09904713
2020-12-31,CAD,0.012924411,0.0172773,0.10364876
2021-01-29,CAD,0.018494211,0.020801125,0.11902088
2021-02-26,CAD,0.017916717,0.011081064,0.13687356
2021-03-31,CAD,0.025763586,0.016044915,0.15899944
2021-04-30,CAD,0.02402913,0.015836107,0.15419385
2021-05-31,CAD,0.02115384,0.013625419,0.14786422
2021-06-30,CAD,0.010968012,0.0038439797,0.13323957
2021-07-30,CAD,0.011034377,0.008153325,0.12687804
2021-08-31,CAD,0.009866068,0.0066458457,0.1269891
2021-09-30,CAD,0.008404383,0.002246409,0.13970569
2021-10-29,CAD,-0.017779559,-0.018043207,0.13280925
2021-11-30,CAD,-0.02099705,-0.017674418,0.12002198
2021-12-31,CAD,-0.023172801,-0.016749972,0.11644891
2022-01-31,CAD,-0.02960408,-0.016653942,0.13787317
2022-02-28,CAD,-0.03462709,-0.015910743,0.13988258
2022-03-31,CAD,-0.062026314,-0.030864814,0.15653093
2022-04-29,CAD,-0.07514078,-0.02875555,0.18122075
2022-05-31,CAD,-0.07550481,-0.024513828,0.1836765
2022-06-30,CAD,-0.09444924,-0.026077507,0.19814306
2022-07-29,CAD,-0.09910072,-0.009092084,0.1782682
2022-08-31,CAD,-0.12568952,-0.03227037,0.186849
2022-09-30,CAD,-0.13280106,-0.02932415,0.1900891
2022-10-31,CAD,-0.13826407,-0.025283031,0.19696172
2022-11-30,CAD,-0.144268,-0.020574149,0.1786022
2022-12-30,CAD,-0.1447188,-0.020024931,0.19926144
2023-01-31,CAD,-0.1415925,-0.008705219,0.18302222
2023-02-28,CAD,-0.1515617,-0.02793858,0.19278786
2023-03-31,CAD,-0.14070974,-0.013299086,0.17897864
2023-04-28,CAD,-0.14211673,-0.012954473,0.17739451
2023-05-31,CAD,-0.16074747,-0.027203858,0.18643878
2023-06-30,CAD,-0.17907636,-0.03788689,0.18024497
2023-07-31,CAD,-0.17996298,-0.039580964,0.19294009
2023-08-31,CAD,-0.17683473,-0.038602773,0.19855192
2023-09-29,CAD,-0.1759412,-0.041989803,0.2213581
2023-10-31,CAD,-0.16155009,-0.031794585,0.2315758
2023-11-30,CAD,-0.15114173,-0.024580048,0.20173939
