date,expiry,tenor,model_vol_bps,market_vol_bps
2021-01-29,1,5,738.0177832965809,28.7
2021-01-29,1,10,621.937627623274,38.2
2021-01-29,5,1,323.92069093525026,37.3
2021-01-29,5,5,301.3314653984342,43.4
2021-01-29,5,10,256.1190894134598,48.2
2021-01-29,10,1,196.2465927399664,49.0
2021-01-29,10,5,183.8437167863412,50.6
2021-01-29,10,10,158.33246111723264,52.0
2020-12-31,1,1,771.1866267060522,16.7
2020-12-31,1,5,764.4244673648973,27.0
2020-12-31,1,10,636.714383507542,36.8
2020-12-31,5,1,321.5546937664027,37.5
2020-12-31,5,5,296.78410536329255,42.8
2020-12-31,5,10,254.04502082548925,47.6
2020-12-31,10,1,197.51915513992543,49.1
2020-12-31,10,5,183.49354311004865,50.7
2020-12-31,10,10,155.61231676733644,52.3
2020-11-30,1,1,742.6918229071548,17.4
2020-11-30,1,5,762.9837264410608,28.2
2020-11-30,1,10,631.8381777496304,37.2
2020-11-30,5,1,321.9148305474739,37.9
2020-11-30,5,5,301.15234792606867,43.4
2020-11-30,5,10,255.7757390032712,48.6
2020-11-30,10,1,195.75713009265655,49.0
2020-11-30,10,5,178.1600271874908,50.5
2020-11-30,10,10,152.14368294366136,52.2
2020-10-30,1,1,737.1059669232583,19.2
2020-10-30,1,5,751.2713933277543,30.5
2020-10-30,1,10,626.6730776263295,40.9
2020-10-30,5,1,317.34250365598245,40.7
2020-10-30,5,5,297.97368661398,46.5
2020-10-30,5,10,257.7735227839555,51.5
2020-10-30,10,1,200.2618834672427,53.0
2020-10-30,10,5,186.75254303159755,53.8
2020-10-30,10,10,156.9044622525413,54.5
2020-09-30,1,1,772.2801716268124,18.3
2020-09-30,1,5,756.587127794159,32.4
2020-09-30,1,10,625.2285998474541,43.8
2020-09-30,5,1,331.25823582600077,44.2
2020-09-30,5,5,300.0860358261339,48.6
2020-09-30,5,10,253.16358457692516,53.9
2020-09-30,10,1,199.49881324012455,54.6
2020-09-30,10,5,183.58014723027657,55.3
2020-09-30,10,10,156.07011343529473,56.0
2020-08-31,1,1,796.270540433166,19.1
2020-08-31,1,5,755.501105701903,34.8
2020-08-31,1,10,624.1699320133627,48.7
2020-08-31,5,1,325.3636245483992,45.2
2020-08-31,5,5,303.9736261951067,50.3
2020-08-31,5,10,260.2815365114299,55.4
2020-08-31,10,1,208.5910061249179,55.2
2020-08-31,10,5,184.14376380662168,55.9
2020-08-31,10,10,154.08147719098898,56.4
2020-07-31,1,1,790.7304752964204,20.1
2020-07-31,1,5,743.6553257014847,33.8
2020-07-31,1,10,613.078526404474,45.9
2020-07-31,5,1,313.89219906746945,45.5
2020-07-31,5,5,301.1773837347264,50.2
2020-07-31,5,10,256.12695273432394,55.6
2020-07-31,10,1,215.99296230075976,55.0
2020-07-31,10,5,181.6294419506896,55.9
2020-07-31,10,10,151.7761951424872,56.9
2020-06-30,1,1,781.4684423372585,21.0
2020-06-30,1,5,768.5473030476074,35.8
2020-06-30,1,10,640.3488967250837,48.5
2020-06-30,5,1,313.9070446107535,44.7
2020-06-30,5,5,292.58287606835046,50.0
2020-06-30,5,10,251.3788567734439,55.4
2020-06-30,10,1,207.6345113498621,55.0
2020-06-30,10,5,183.5934200998896,55.9
2020-06-30,10,10,156.72586157939216,56.9
2020-05-29,1,1,764.2551153959356,22.1
2020-05-29,1,5,767.8354283527539,36.8
2020-05-29,1,10,636.5938401982017,47.9
2020-05-29,5,1,323.15643689132486,44.2
2020-05-29,5,5,296.2877572681395,50.2
2020-05-29,5,10,250.42299622345297,55.3
2020-05-29,10,1,198.0422850571913,54.1
2020-05-29,10,5,181.41356778408849,54.9
2020-05-29,10,10,155.01367230104415,56.0
2020-04-30,1,1,735.5443526090078,20.2
2020-04-30,1,5,779.5659787457787,34.8
2020-04-30,1,10,640.8909495248303,48.1
2020-04-30,5,1,315.56910784860685,43.2
2020-04-30,5,5,295.0786965334072,49.0
2020-04-30,5,10,249.0403407312559,54.4
2020-04-30,10,1,204.87554345857504,53.8
2020-04-30,10,5,184.78009293615057,55.4
2020-04-30,10,10,155.07439076261073,56.9
2020-03-31,1,1,775.4275030318914,24.8
2020-03-31,1,5,740.801016102116,43.3
2020-03-31,1,10,615.5223283957071,60.5
2020-03-31,5,1,337.9842631332464,49.7
2020-03-31,5,5,310.50094658033623,54.0
2020-03-31,5,10,260.86867219890127,58.5
2020-03-31,10,1,195.73890043266277,56.4
2020-03-31,10,5,179.9439238409537,57.5
2020-03-31,10,10,155.0152471384208,57.4
2020-02-28,1,1,756.0270621850921,18.8
2020-02-28,1,5,750.5879996053296,35.4
2020-02-28,1,10,622.6029598166367,46.5
2020-02-28,5,1,335.0998389051503,42.1
2020-02-28,5,5,304.3674067930128,47.6
2020-02-28,5,10,259.8726575328673,50.9
2020-02-28,10,1,193.665886771594,52.2
2020-02-28,10,5,176.9530565824399,52.8
2020-02-28,10,10,151.56003339250165,52.9
2020-01-31,1,1,730.5778076723261,15.6
2020-01-31,1,5,743.0099130387227,33.1
2020-01-31,1,10,627.1744639421445,43.2
2020-01-31,5,1,340.48510834218007,42.7
2020-01-31,5,5,297.9680092477452,47.9
2020-01-31,5,10,258.73458340109215,50.8
2020-01-31,10,1,198.2318633168447,53.0
2020-01-31,10,5,179.4242307980496,53.5
2020-01-31,10,10,152.79298142555177,53.7
2019-12-31,1,1,720.4080752181944,17.5
2019-12-31,1,5,739.7352145307237,35.2
2019-12-31,1,10,626.7069969822813,45.6
