date,expiry,tenor,split,sigma_mkt,sigma_exp,s_expiry,path_frac,ae
2012-05-31,1,10,train,47.4,100.7,0.12916,1.0,53.300000000000004
2012-05-31,5,1,train,50.0,173.9,0.13328,1.0,123.9
2012-05-31,5,5,train,40.2,104.5,0.13328,1.0,64.3
2012-05-31,5,10,train,37.9,92.7,0.13328,1.0,54.800000000000004
2012-05-31,10,1,train,35.1,125.4,0.14065,1.0,90.30000000000001
2012-05-31,10,5,train,33.6,87.4,0.14065,1.0,53.800000000000004
2012-05-31,10,10,train,37.1,79.8,0.14065,1.0,42.699999999999996
2012-06-29,1,1,train,74.7,260.0,0.12916,1.0,185.3
2012-06-29,1,5,train,45.2,98.1,0.12916,1.0,52.89999999999999
2012-06-29,1,10,train,40.8,86.5,0.12916,1.0,45.7
2012-06-29,5,1,train,37.7,172.3,0.13328,1.0,134.60000000000002
2012-06-29,5,5,train,31.5,103.2,0.13328,1.0,71.7
2012-06-29,5,10,train,30.5,88.2,0.13328,1.0,57.7
2012-06-29,10,1,train,25.3,131.8,0.14065,1.0,106.50000000000001
2012-06-29,10,5,train,25.6,84.1,0.14065,1.0,58.49999999999999
2012-06-29,10,10,train,28.8,67.8,0.14065,1.0,39.0
2012-07-31,1,1,train,116.8,256.8,0.12916,1.0,140.0
2012-07-31,1,5,train,55.5,110.8,0.12916,1.0,55.3
2012-07-31,1,10,train,45.1,86.9,0.12916,1.0,41.800000000000004
2012-07-31,5,1,train,40.6,170.9,0.13328,1.0,130.3
2012-07-31,5,5,train,34.5,107.8,0.13328,1.0,73.3
2012-07-31,5,10,train,32.8,94.2,0.13328,1.0,61.400000000000006
2012-07-31,10,1,train,26.8,136.2,0.14065,1.0,109.39999999999999
2012-07-31,10,5,train,27.1,90.4,0.14065,1.0,63.300000000000004
2012-07-31,10,10,train,30.5,80.7,0.14065,1.0,50.2
2012-08-31,1,1,train,128.7,253.6,0.12916,1.0,124.9
2012-08-31,1,5,train,56.3,106.8,0.12916,1.0,50.5
2012-08-31,1,10,train,43.6,86.9,0.12916,1.0,43.300000000000004
2012-08-31,5,1,train,43.6,185.4,0.13328,1.0,141.8
2012-08-31,5,5,train,33.7,111.4,0.13328,1.0,77.7
2012-08-31,5,10,train,31.3,92.0,0.13328,1.0,60.7
2012-08-31,10,1,train,27.0,136.5,0.14065,1.0,109.5
2012-08-31,10,5,train,26.1,91.2,0.14065,1.0,65.1
2012-08-31,10,10,train,28.7,79.8,0.14065,1.0,51.099999999999994
2012-09-28,1,1,train,117.0,274.9,0.12916,1.0,157.89999999999998
2012-09-28,1,5,train,51.4,104.6,0.12916,1.0,53.199999999999996
2012-09-28,1,10,train,39.0,89.4,0.12916,1.0,50.400000000000006
2012-09-28,5,1,train,40.7,182.6,0.13328,1.0,141.89999999999998
2012-09-28,5,5,train,32.0,116.4,0.13328,1.0,84.4
2012-09-28,5,10,train,29.3,87.9,0.13328,1.0,58.60000000000001
2012-09-28,10,1,train,25.1,133.5,0.14065,1.0,108.4
2012-09-28,10,5,train,24.1,95.4,0.14065,1.0,71.30000000000001
2012-09-28,10,10,train,25.8,70.8,0.14065,1.0,45.0
2012-10-31,1,1,train,101.1,264.2,0.12916,1.0,163.1
2012-10-31,1,5,train,48.7,112.5,0.12916,1.0,63.8
2012-10-31,1,10,train,37.3,85.7,0.12916,1.0,48.400000000000006
2012-10-31,5,1,train,38.3,182.9,0.13328,1.0,144.60000000000002
2012-10-31,5,5,train,30.2,103.6,0.13328,1.0,73.39999999999999
2012-10-31,5,10,train,27.8,86.1,0.13328,1.0,58.3
2012-10-31,10,1,train,23.7,135.8,0.14065,1.0,112.10000000000001
2012-10-31,10,5,train,22.7,90.6,0.14065,1.0,67.89999999999999
2012-10-31,10,10,train,24.4,73.2,0.14065,1.0,48.800000000000004
2012-11-30,1,1,train,122.1,263.3,0.12916,1.0,141.20000000000002
2012-11-30,1,5,train,51.3,122.8,0.12916,1.0,71.5
2012-11-30,1,10,train,37.1,93.6,0.12916,1.0,56.49999999999999
2012-11-30,5,1,train,39.8,184.1,0.13328,1.0,144.3
2012-11-30,5,5,train,30.3,115.9,0.13328,1.0,85.60000000000001
2012-11-30,5,10,train,27.5,85.6,0.13328,1.0,58.099999999999994
2012-11-30,10,1,train,23.7,136.6,0.14065,1.0,112.89999999999999
2012-11-30,10,5,train,22.6,91.1,0.14065,1.0,68.5
2012-11-30,10,10,train,24.0,72.6,0.14065,1.0,48.599999999999994
2012-12-31,1,1,train,130.3,272.6,0.12916,1.0,142.3
2012-12-31,1,5,train,56.6,121.9,0.12916,1.0,65.30000000000001
2012-12-31,1,10,train,37.7,96.5,0.12916,1.0,58.8
2012-12-31,5,1,train,42.9,172.8,0.13328,1.0,129.9
2012-12-31,5,5,train,31.3,117.3,0.13328,1.0,86.0
2012-12-31,5,10,train,27.9,92.3,0.13328,1.0,64.4
2012-12-31,10,1,train,24.2,128.6,0.14065,1.0,104.39999999999999
2012-12-31,10,5,train,23.1,94.3,0.14065,1.0,71.19999999999999
2012-12-31,10,10,train,24.3,73.9,0.14065,1.0,49.60000000000001
2013-01-31,1,1,train,72.4,291.0,0.12916,1.0,218.6
2013-01-31,1,5,train,44.9,100.9,0.12916,1.0,56.00000000000001
2013-01-31,1,10,train,32.1,88.2,0.12916,1.0,56.1
2013-01-31,5,1,train,37.2,181.5,0.13328,1.0,144.3
2013-01-31,5,5,train,28.1,108.8,0.13328,1.0,80.69999999999999
2013-01-31,5,10,train,25.7,81.6,0.13328,1.0,55.89999999999999
2013-01-31,10,1,train,23.1,143.0,0.14065,1.0,119.9
2013-01-31,10,5,train,22.2,81.3,0.14065,1.0,59.099999999999994
2013-01-31,10,10,train,23.1,70.4,0.14065,1.0,47.300000000000004
2013-02-28,1,1,train,114.3,271.5,0.12916,1.0,157.2
2013-02-28,1,5,train,51.8,111.4,0.12916,1.0,59.60000000000001
2013-02-28,1,10,train,35.9,87.9,0.12916,1.0,52.00000000000001
2013-02-28,5,1,train,39.5,180.5,0.13328,1.0,141.0
2013-02-28,5,5,train,29.1,117.1,0.13328,1.0,88.0
2013-02-28,5,10,train,26.3,86.7,0.13328,1.0,60.400000000000006
2013-02-28,10,1,train,23.5,133.4,0.14065,1.0,109.9
2013-02-28,10,5,train,21.9,86.6,0.14065,1.0,64.69999999999999
2013-02-28,10,10,train,22.9,74.9,0.14065,1.0,52.00000000000001
2013-03-29,1,1,train,94.2,252.5,0.12916,1.0,158.3
2013-03-29,1,5,train,51.2,106.0,0.12916,1.0,54.8
2013-03-29,1,10,train,36.3,88.8,0.12916,1.0,52.5
2013-03-29,5,1,train,43.2,176.0,0.13328,1.0,132.8
2013-03-29,5,5,train,31.2,109.6,0.13328,1.0,78.39999999999999
2013-03-29,5,10,train,27.7,90.9,0.13328,1.0,63.2
2013-03-29,10,1,train,24.8,141.5,0.14065,1.0,116.7
2013-03-29,10,5,train,23.0,92.5,0.14065,1.0,69.5
2013-03-29,10,10,train,23.8,72.5,0.14065,1.0,48.7
2013-04-30,1,1,train,103.9,264.6,0.12916,1.0,160.70000000000002
2013-04-30,1,5,train,52.9,125.4,0.12916,1.0,72.5
2013-04-30,1,10,train,36.9,97.8,0.12916,1.0,60.9
2013-04-30,5,1,train,47.0,183.1,0.13328,1.0,136.1
2013-04-30,5,5,train,33.1,113.5,0.13328,1.0,80.4
2013-04-30,5,10,train,29.0,97.6,0.13328,1.0,68.6
2013-04-30,10,1,train,25.8,133.7,0.14065,1.0,107.89999999999999
2013-04-30,10,5,train,24.0,95.2,0.14065,1.0,71.2
2013-04-30,10,10,train,25.0,75.6,0.14065,1.0,50.599999999999994
2013-05-31,1,1,train,107.4,280.4,0.12916,1.0,172.99999999999997
2013-05-31,1,5,train,51.7,102.3,0.12916,1.0,50.599999999999994
2013-05-31,1,10,train,35.5,79.5,0.12916,1.0,44.0
2013-05-31,5,1,train,40.8,188.0,0.13328,1.0,147.2
2013-05-31,5,5,train,30.6,114.0,0.13328,1.0,83.4
2013-05-31,5,10,train,27.2,,0.13328,0.0,
2013-05-31,10,1,train,23.6,138.2,0.14065,1.0,114.6
2013-05-31,10,5,train,22.5,91.2,0.14065,1.0,68.7
2013-05-31,10,10,train,23.4,72.0,0.14065,1.0,48.6
2013-06-28,1,1,train,93.2,289.8,0.12916,1.0,196.60000000000002
2013-06-28,1,5,train,50.4,100.8,0.12916,1.0,50.4
2013-06-28,1,10,train,33.5,68.0,0.12916,1.0,34.5
2013-06-28,5,1,train,37.3,194.9,0.13328,1.0,157.60000000000002
2013-06-28,5,5,train,28.6,101.4,0.13328,1.0,72.80000000000001
2013-06-28,5,10,train,25.8,85.0,0.13328,1.0,59.2
2013-06-28,10,1,train,24.1,138.0,0.14065,1.0,113.9
2013-06-28,10,5,train,22.4,90.9,0.14065,1.0,68.5
2013-06-28,10,10,train,23.2,71.0,0.14065,1.0,47.8
2013-07-31,1,1,train,84.1,268.7,0.12916,1.0,184.6
2013-07-31,1,5,train,47.0,102.7,0.12916,1.0,55.7
2013-07-31,1,10,train,32.8,79.4,0.12916,1.0,46.60000000000001
2013-07-31,5,1,train,38.1,183.0,0.13328,1.0,144.9
2013-07-31,5,5,train,28.9,102.3,0.13328,1.0,73.4
2013-07-31,5,10,train,26.3,81.1,0.13328,1.0,54.8
2013-07-31,10,1,train,24.1,136.7,0.14065,1.0,112.6
2013-07-31,10,5,train,22.5,93.5,0.14065,1.0,71.0
2013-07-31,10,10,train,23.2,68.9,0.14065,1.0,45.7
2013-08-30,1,1,train,83.8,268.3,0.12916,1.0,184.5
2013-08-30,1,5,train,49.1,85.5,0.12916,1.0,36.4
2013-08-30,1,10,train,33.6,69.8,0.12916,1.0,36.199999999999996
2013-08-30,5,1,train,37.4,194.6,0.13328,1.0,157.2
2013-08-30,5,5,train,28.9,100.6,0.13328,1.0,71.69999999999999
2013-08-30,5,10,train,25.8,76.0,0.13328,1.0,50.2
2013-08-30,10,1,train,23.6,137.2,0.14065,1.0,113.6
2013-08-30,10,5,train,21.7,84.2,0.14065,1.0,62.5
2013-08-30,10,10,train,22.5,65.8,0.14065,1.0,43.3
2013-09-30,1,1,train,89.6,281.7,0.12916,1.0,192.1
2013-09-30,1,5,train,47.7,92.7,0.12916,1.0,45.0
2013-09-30,1,10,train,32.9,71.2,0.12916,1.0,38.300000000000004
2013-09-30,5,1,train,38.2,183.5,0.13328,1.0,145.3
2013-09-30,5,5,train,28.6,104.5,0.13328,1.0,75.9
2013-09-30,5,10,train,25.8,78.3,0.13328,1.0,52.5
2013-09-30,10,1,train,23.9,138.7,0.14065,1.0,114.79999999999998
2013-09-30,10,5,train,22.3,85.2,0.14065,1.0,62.900000000000006
2013-09-30,10,10,train,22.9,69.5,0.14065,1.0,46.6
2013-10-31,1,1,train,90.0,286.8,0.12916,1.0,196.8
2013-10-31,1,5,train,47.9,106.5,0.12916,1.0,58.6
2013-10-31,1,10,train,32.7,76.4,0.12916,1.0,43.7
2013-10-31,5,1,train,38.4,184.3,0.13328,1.0,145.9
2013-10-31,5,5,train,29.1,109.0,0.13328,1.0,79.9
2013-10-31,5,10,train,26.1,84.1,0.13328,1.0,57.99999999999999
2013-10-31,10,1,train,23.7,138.4,0.14065,1.0,114.7
2013-10-31,10,5,train,22.0,89.6,0.14065,1.0,67.6
2013-10-31,10,10,train,22.3,72.2,0.14065,1.0,49.900000000000006
2013-11-29,1,1,train,104.4,287.3,0.12916,1.0,182.9
2013-11-29,1,5,train,49.0,104.3,0.12916,1.0,55.3
2013-11-29,1,10,train,32.2,68.7,0.12916,1.0,36.5
2013-11-29,5,1,train,39.0,192.1,0.13328,1.0,153.1
2013-11-29,5,5,train,28.9,107.9,0.13328,1.0,79.0
2013-11-29,5,10,train,25.5,87.4,0.13328,1.0,61.900000000000006
2013-11-29,10,1,train,23.5,139.3,0.14065,1.0,115.80000000000001
2013-11-29,10,5,train,22.1,90.7,0.14065,1.0,68.6
2013-11-29,10,10,train,22.6,67.6,0.14065,1.0,44.99999999999999
2013-12-31,1,1,train,87.0,300.7,0.12916,1.0,213.7
2013-12-31,1,5,train,43.9,96.2,0.12916,1.0,52.300000000000004
2013-12-31,1,10,train,29.8,68.6,0.12916,1.0,38.8
2013-12-31,5,1,train,37.0,192.5,0.13328,1.0,155.5
2013-12-31,5,5,train,28.1,99.9,0.13328,1.0,71.80000000000001
2013-12-31,5,10,train,25.0,75.6,0.13328,1.0,50.599999999999994
2013-12-31,10,1,train,23.2,132.9,0.14065,1.0,109.7
2013-12-31,10,5,train,22.0,88.3,0.14065,1.0,66.3
2013-12-31,10,10,train,22.4,68.1,0.14065,1.0,45.699999999999996
2014-01-31,1,1,train,107.6,274.6,0.12916,1.0,167.00000000000003
2014-01-31,1,5,train,48.1,100.9,0.12916,1.0,52.800000000000004
2014-01-31,1,10,train,31.4,83.2,0.12916,1.0,51.800000000000004
2014-01-31,5,1,train,40.1,183.2,0.13328,1.0,143.1
2014-01-31,5,5,train,29.0,102.3,0.13328,1.0,73.3
2014-01-31,5,10,train,26.0,84.6,0.13328,1.0,58.599999999999994
2014-01-31,10,1,train,24.0,135.0,0.14065,1.0,111.0
2014-01-31,10,5,train,22.6,92.0,0.14065,1.0,69.4
2014-01-31,10,10,train,23.2,69.2,0.14065,1.0,46.0
2014-02-28,1,1,train,89.1,276.6,0.12916,1.0,187.50000000000003
2014-02-28,1,5,train,46.5,111.7,0.12916,1.0,65.2
2014-02-28,1,10,train,31.1,77.2,0.12916,1.0,46.1
2014-02-28,5,1,train,40.0,173.2,0.13328,1.0,133.2
2014-02-28,5,5,train,29.4,105.6,0.13328,1.0,76.19999999999999
2014-02-28,5,10,train,25.6,77.4,0.13328,1.0,51.800000000000004
2014-02-28,10,1,train,23.5,133.4,0.14065,1.0,109.9
2014-02-28,10,5,train,22.4,89.9,0.14065,1.0,67.5
2014-02-28,10,10,train,22.9,73.7,0.14065,1.0,50.800000000000004
2014-03-31,1,1,train,86.4,276.2,0.12916,1.0,189.79999999999998
2014-03-31,1,5,train,47.8,122.3,0.12916,1.0,74.5
2014-03-31,1,10,train,31.5,82.3,0.12916,1.0,50.8
2014-03-31,5,1,train,42.3,191.5,0.13328,1.0,149.2
2014-03-31,5,5,train,30.3,108.3,0.13328,1.0,78.0
2014-03-31,5,10,train,26.3,83.7,0.13328,1.0,57.400000000000006
2014-03-31,10,1,train,24.3,130.3,0.14065,1.0,106.00000000000001
2014-03-31,10,5,train,22.6,91.1,0.14065,1.0,68.5
2014-03-31,10,10,train,22.9,65.9,0.14065,1.0,43.00000000000001
2014-04-30,1,1,train,93.5,255.7,0.12916,1.0,162.2
2014-04-30,1,5,train,47.5,109.1,0.12916,1.0,61.599999999999994
2014-04-30,1,10,train,31.7,88.2,0.12916,1.0,56.5
2014-04-30,5,1,train,42.6,160.7,0.13328,1.0,118.1
2014-04-30,5,5,train,30.5,111.9,0.13328,1.0,81.4
2014-04-30,5,10,train,26.6,83.7,0.13328,1.0,57.1
2014-04-30,10,1,train,25.3,138.9,0.14065,1.0,113.60000000000001
2014-04-30,10,5,train,23.3,87.2,0.14065,1.0,63.900000000000006
2014-04-30,10,10,train,23.5,68.9,0.14065,1.0,45.400000000000006
2014-05-30,1,1,train,105.5,251.9,0.12916,1.0,146.4
2014-05-30,1,5,train,48.0,119.0,0.12916,1.0,71.0
2014-05-30,1,10,train,30.7,92.2,0.12916,1.0,61.5
