time,U,tau_remaining,disc_bond_mean,disc_bond_std,disc_bond_sem,initial_disc_bond_value,relative_mean_error,n_valid_paths,frac_valid_paths
0.8333333330000001,5.0,4.166666666999999,0.9787210007505618,0.011367973974254627,0.0011425243727008452,0.9227531888646956,0.06065306797229917,99,0.99
0.8333333330000001,10.0,9.166666667,0.9640938536132891,0.02085589817866514,0.0020960966340754193,0.8064067505665575,0.1955428856913032,99,0.99
0.8333333330000001,20.0,19.166666667,0.9369563562571148,0.04138146025335432,0.004158993240526715,0.6057128676472996,0.5468655303566953,99,0.99
0.8333333330000001,30.0,29.166666667,0.910902125743081,0.0620525196898353,0.0062365128820401315,0.47454803349794644,0.9195151205847804,99,0.99
0.9166666663,5.0,4.0833333337,0.9815988200069549,0.010458427668983347,0.0010458427668983347,0.9227531888646956,0.06377179927674882,100,1.0
0.9166666663,10.0,9.0833333337,0.9707163119877593,0.020636151223259885,0.0020636151223259883,0.8064067505665575,0.20375519092041672,100,1.0
0.9166666663,20.0,19.0833333337,0.951419892845299,0.043825269924482387,0.0043825269924482385,0.6057128676472996,0.570744066476232,100,1.0
0.9166666663,30.0,29.0833333337,0.932448321494321,0.06718784321832995,0.0067187843218329945,0.47454803349794644,0.9649187346139452,100,1.0
0.9999999996000001,5.0,4.0000000004,0.9834858851043272,0.01011624698936675,0.001011624698936675,0.9227531888646956,0.06581683701830797,100,1.0
0.9999999996000001,10.0,9.0000000004,0.9753455789475612,0.02079634203892441,0.002079634203892441,0.8064067505665575,0.20949580129669337,100,1.0
0.9999999996000001,20.0,19.0000000004,0.9619826585002474,0.04763766553239869,0.004763766553239869,0.6057128676472996,0.5881826355064329,100,1.0
0.9999999996000001,30.0,29.0000000004,0.9487165493443583,0.07642207208297735,0.007642207208297736,0.47454803349794644,0.9992002545058778,100,1.0
