time,U,tau_remaining,disc_bond_mean,disc_bond_std,disc_bond_sem,initial_disc_bond_value,relative_mean_error
0.3333333333333333,20.0,19.666666666666668,0.6325079015881354,0.039128553029310155,0.003912855302931015,0.4918536735137974,0.2859676274642938
0.3333333333333333,30.0,29.666666666666668,0.48870827445186854,0.04327831556646709,0.0043278315566467095,0.2635568885131768,0.8542800273931562
0.41666666666666663,5.0,4.583333333333333,0.9118935054953883,0.012479470846794686,0.0012479470846794686,0.9084479915878557,0.0037927475644590554
0.41666666666666663,10.0,9.583333333333334,0.818654107957573,0.023703152095072996,0.0023703152095072995,0.7650537617162814,0.07006088842834708
0.41666666666666663,20.0,19.583333333333332,0.6409648854209354,0.03574346081254572,0.0035743460812545725,0.4918536735137974,0.3031617327199961
0.41666666666666663,30.0,29.583333333333332,0.5009290230097159,0.039609838256997494,0.003960983825699749,0.2635568885131768,0.9006485690267638
0.5,5.0,4.5,0.9127480547426853,0.013575981207126147,0.0013575981207126146,0.9084479915878557,0.004733416986605447
0.5,10.0,9.5,0.8217201275062871,0.025972637483815206,0.0025972637483815206,0.7650537617162814,0.07406847547927008
0.5,20.0,19.5,0.6503875794215866,0.039595015015889606,0.00395950150158896,0.4918536735137974,0.3223192474607839
0.5,30.0,29.5,0.5142273636535328,0.04447966116669717,0.004447966116669717,0.2635568885131768,0.9511057614713928
0.5833333333333333,5.0,4.416666666666667,0.9145056023250545,0.014020632358275734,0.0014020632358275734,0.9084479915878557,0.006668087544132089
0.5833333333333333,10.0,9.416666666666666,0.8265900252333858,0.026699629269423545,0.0026699629269423546,0.7650537617162814,0.08043390751920124
0.5833333333333333,20.0,19.416666666666668,0.6625096773128482,0.040276838922238094,0.004027683892223809,0.4918536735137974,0.34696498773687323
0.5833333333333333,30.0,29.416666666666668,0.5304761800628472,0.04535405861980507,0.004535405861980507,0.2635568885131768,1.0127577884815009
0.6666666666666666,5.0,4.333333333333333,0.9153255785872719,0.012559413197940286,0.0012559413197940285,0.9084479915878557,0.007570699768288363
0.6666666666666666,10.0,9.333333333333334,0.8291120612176539,0.02377339448573597,0.0023773394485735967,0.7650537617162814,0.08373045491295608
0.6666666666666666,20.0,19.333333333333332,0.669570849336853,0.03581848412922281,0.003581848412922281,0.4918536735137974,0.36132123310871295
0.6666666666666666,30.0,29.333333333333332,0.540134270565323,0.04072957194411941,0.004072957194411941,0.2635568885131768,1.0494029718305709
0.75,5.0,4.25,0.9174509396329102,0.012697504645360364,0.0012697504645360364,0.9084479915878557,0.009910251471103455
0.75,10.0,9.25,0.8341040663659097,0.024266210702642302,0.00242662107026423,0.7650537617162814,0.09025549328026901
0.75,20.0,19.25,0.6802783450786433,0.03693103476768683,0.0036931034767686832,0.4918536735137974,0.3830909103895515
0.75,30.0,29.25,0.5539752816580483,0.042398752285850556,0.004239875228585056,0.2635568885131768,1.101919190134739
0.8333333333333333,5.0,4.166666666666667,0.9196098730837601,0.012355630623968945,0.0012355630623968946,0.9084479915878557,0.012286758955121643
0.8333333333333333,10.0,9.166666666666666,0.8387131093839889,0.024066399616234968,0.002406639961623497,0.7650537617162814,0.0962799627342058
0.8333333333333333,20.0,19.166666666666668,0.6892117376099195,0.037508623518671284,0.0037508623518671285,0.4918536735137974,0.40125361408037924
0.8333333333333333,30.0,29.166666666666668,0.5651651750330141,0.043677549049074046,0.004367754904907405,0.2635568885131768,1.1443764123234368
0.9166666666666666,5.0,4.083333333333333,0.9207059770817564,0.011524896808938133,0.0011524896808938134,0.9084479915878557,0.013493326648755327
0.9166666666666666,10.0,9.083333333333334,0.8413380743061536,0.02251518870210773,0.0022515188702107733,0.7650537617162814,0.09971104830429173
0.9166666666666666,20.0,19.083333333333332,0.6952989608720722,0.03507027872322441,0.0035070278723224406,0.4918536735137974,0.41362969987570464
0.9166666666666666,30.0,29.083333333333332,0.5731807797253132,0.04094949905229093,0.004094949905229093,0.2635568885131768,1.1747895984007126
1.0,5.0,4.0,0.92130620430138,0.01173539240716553,0.001173539240716553,0.9084479915878557,0.014154043855663873
1.0,10.0,9.0,0.8429814440260058,0.023210907515769954,0.0023210907515769956,0.7650537617162814,0.10185909305890556
