epoch,train_nll,train_jac,train_total,val_nll,val_total,curve_rmse_bp,kappa,hl_y,sigma_mean,jac_1y,jac_5y,jac_10y,lr_kh,lr_g,time_sec
10,-9.753743805659052,1.715606357832348e-06,-9.753658025341164,-7.109306394268514,-7.109306394268514,74.38336498538678,0.16774505822462654,9.283954598347837,0.02184707396424375,47.19508294207113,44.64780497469263,40.36806502876665,9.96719518972196e-05,9.970177445201783e-06,28.27745429999777
11,-9.75457097918848,1.1043037217422255e-06,-9.754515764002395,-7.10696285171406,-7.10696285171406,74.38072926902407,0.1677404168375979,9.296799546209533,0.021831481719361404,47.15928729376726,44.59448795271629,40.56511382165445,9.960967771506664e-05,9.96451615591515e-06,31.409821899986127
12,-9.755349607090576,1.25439587468958e-06,-9.755286887296842,-7.104476373804928,-7.104476373804928,74.37722108569483,0.1677453227313545,9.303242334141066,0.021815632358730574,47.12312104050593,44.542019248509206,40.75875447120151,9.954201810333643e-05,9.958365282121494e-06,33.9760747999826
13,-9.756139396294902,9.713628323102883e-07,-9.756090828153285,-7.101991600288016,-7.101991600288016,74.37566020924507,0.1677499975940278,9.30945325211678,0.021799811028645026,47.086340084775145,44.50190834904375,40.778311620745704,9.94689804816679e-05,9.951725498333445e-06,36.55790499999421
14,-9.75697901792446,1.3394023761594819e-06,-9.756912047805653,-7.09990259234884,-7.09990259234884,74.3712111719421,0.1677530998333004,9.314377694867341,0.021784707472512942,47.05015802091884,44.45531196080542,40.91654266629364,9.93905728594593e-05,9.944597532678117e-06,39.059760199976154
15,-9.757784849572557,1.3507377047614147e-06,-9.757717312687321,-7.098043933222498,-7.098043933222498,74.36724366152224,0.16777130319258682,9.309564193336358,0.02177003303779035,47.0146427144147,44.41969193238306,40.947142023560964,9.930680383498997e-05,9.93698216681727e-06,41.6446380999987
16,-9.75852250789035,1.206993202271103e-06,-9.758462158230236,-7.095644726468323,-7.095644726468323,74.36301061567863,0.1677744271546028,9.312296799374469,0.02175456215026747,46.97835608591447,44.37669556738527,41.03873775129474,9.921768259447744e-05,9.928880235861585e-06,44.409233099984704
17,-9.759342602962379,1.6618871484399247e-06,-9.759259508604957,-7.093399676399155,-7.093399676399155,74.35466697335573,0.16778146791089926,9.315490019743246,0.02173931780504808,46.944165559176966,44.30952160021551,41.507378680588765,9.912321891107008e-05,9.920292628279098e-06,46.93377489998238
18,-9.760108800812596,1.0607701722130443e-06,-9.760055762303985,-7.090922914308134,-7.090922914308134,74.34903655302534,0.16778429799250189,9.321653068075618,0.021723996193241963,46.90937848965969,44.250801826585814,41.8321169345006,9.902342314377522e-05,9.911220285797747e-06,49.43147459998727
19,-9.76091698324378,1.5105836793128313e-06,-9.760841454059815,-7.0886241833111105,-7.0886241833111105,74.33999673583189,0.16778620126424634,9.32694556329638,0.021708936135911946,46.87534538935167,44.181491055626815,42.34799672017516,9.891830623632336e-05,9.901664203302123e-06,52.05758490000153
20,-9.761666216513218,9.477510043323692e-07,-9.761618828963002,-7.085988624437501,-7.085988624437501,74.33465602113542,0.1677809894435629,9.339560386980923,0.021693210431558814,46.83942313107294,44.119234078329384,42.695226251913134,9.880787971596798e-05,9.89162542872436e-06,54.60455719998572
21,-9.762486954054037,1.1161092946868396e-06,-9.762431148589302,-7.083832374569619,-7.083832374569619,74.32374757825195,0.16777793914312458,9.3429526506398,0.021678167270660156,46.803507309858205,44.059230457070875,43.085778049484944,9.869215569222141e-05,9.881105062929218e-06,57.205295099993236
