as_of_date,ccy,tau_years,sharpe_approx
2010-01-29,DKK,21.0,0.0005311886197887361
2010-01-29,DKK,22.0,0.00048610373050905764
2010-01-29,DKK,23.0,0.00043656592606566846
2010-01-29,DKK,24.0,0.00038458313792943954
2010-01-29,DKK,25.0,0.00033678230829536915
2010-01-29,DKK,26.0,0.00029036629712209105
2010-01-29,DKK,27.0,0.00024938955903053284
2010-01-29,DKK,28.0,0.00021428902982734144
2010-01-29,DKK,29.0,0.0001845343504101038
2010-01-29,DKK,30.0,0.004465089645236731
2010-01-29,EUR,1.0,1.295798420906067
2010-01-29,EUR,2.0,0.1268971860408783
2010-01-29,EUR,3.0,-0.057764917612075806
2010-01-29,EUR,4.0,-0.024208923801779747
2010-01-29,EUR,5.0,-0.015324587002396584
2010-01-29,EUR,6.0,-0.011106757447123528
2010-01-29,EUR,7.0,-0.008259105496108532
2010-01-29,EUR,8.0,-0.006227692123502493
2010-01-29,EUR,9.0,-0.0047087715938687325
2010-01-29,EUR,10.0,-0.0035035591572523117
2010-01-29,EUR,11.0,-0.00250920164398849
2010-01-29,EUR,12.0,-0.001675489591434598
2010-01-29,EUR,13.0,-0.0009915769333019853
2010-01-29,EUR,14.0,-0.0004454641311895102
2010-01-29,EUR,15.0,-2.7310014047543518e-05
2010-01-29,EUR,16.0,0.0002681636542547494
2010-01-29,EUR,17.0,0.00046273699263110757
2010-01-29,EUR,18.0,0.0005765481619164348
2010-01-29,EUR,19.0,0.0006278541404753923
2010-01-29,EUR,20.0,0.0006343084969557822
2010-01-29,EUR,21.0,0.0006093137199059129
2010-01-29,EUR,22.0,0.0005675010615959764
2010-01-29,EUR,23.0,0.000515325809828937
2010-01-29,EUR,24.0,0.00045743590453639627
2010-01-29,EUR,25.0,0.0004012235440313816
2010-01-29,EUR,26.0,0.00034738724934868515
2010-01-29,EUR,27.0,0.00030033354414626956
2010-01-29,EUR,28.0,0.0002584085741546005
2010-01-29,EUR,29.0,0.0002187093923566863
2010-01-29,EUR,30.0,0.004335696808993816
2010-01-29,JPY,1.0,0.593765377998352
2010-01-29,JPY,2.0,0.0040339813567698
2010-01-29,JPY,3.0,-0.02084575779736042
2010-01-29,JPY,4.0,-0.005859157536178827
2010-01-29,JPY,5.0,-0.00389057956635952
2010-01-29,JPY,6.0,-0.0030852651689201593
2010-01-29,JPY,7.0,-0.0025687972083687782
2010-01-29,JPY,8.0,-0.0022528620902448893
2010-01-29,JPY,9.0,-0.0020502149127423763
2010-01-29,JPY,10.0,-0.0018768898444250226
2010-01-29,JPY,11.0,-0.0016788356006145477
2010-01-29,JPY,12.0,-0.0014369861455634236
2010-01-29,JPY,13.0,-0.0011584002058953047
2010-01-29,JPY,14.0,-0.0008658940205350518
2010-01-29,JPY,15.0,-0.0005830454756505787
2010-01-29,JPY,16.0,-0.0003318489470984787
2010-01-29,JPY,17.0,-0.00012627110118046403
2010-01-29,JPY,18.0,3.305221616756171e-05
2010-01-29,JPY,19.0,0.0001460922067053616
2010-01-29,JPY,20.0,0.00021805788855999708
2010-01-29,JPY,21.0,0.00025729223852977157
2010-01-29,JPY,22.0,0.00026954946224577725
2010-01-29,JPY,23.0,0.00026565082953311503
2010-01-29,JPY,24.0,0.0002519699337426573
2010-01-29,JPY,25.0,0.00023041432723402977
2010-01-29,JPY,26.0,0.000206000215257518
2010-01-29,JPY,27.0,0.00018044744501821697
2010-01-29,JPY,28.0,0.00015627035463694483
