date,expiry,tenor,split,s_roll
2014-06-30,10,10,train,0.13277
2014-07-31,1,1,train,0.12882
2014-07-31,1,5,train,0.08611
2014-07-31,1,10,train,0.06414
2014-07-31,5,1,train,0.08895
2014-07-31,5,5,train,0.0861
2014-07-31,5,10,train,0.09325
2014-07-31,10,1,train,0.08426
2014-07-31,10,5,train,0.10349
2014-07-31,10,10,train,0.13286
2014-08-29,1,1,train,0.1283
2014-08-29,1,5,train,0.08574
2014-08-29,1,10,train,0.06453
2014-08-29,5,1,train,0.09135
2014-08-29,5,5,train,0.08704
2014-08-29,5,10,train,0.09355
2014-08-29,10,1,train,0.08563
2014-08-29,10,5,train,0.10466
2014-08-29,10,10,train,0.13346
2014-09-30,1,1,train,0.13165
2014-09-30,1,5,train,0.08596
2014-09-30,1,10,train,0.06546
2014-09-30,5,1,train,0.09682
2014-09-30,5,5,train,0.08968
2014-09-30,5,10,train,0.09644
2014-09-30,10,1,train,0.08882
2014-09-30,10,5,train,0.10764
2014-09-30,10,10,train,0.1369
2014-10-31,1,1,train,0.1431
2014-10-31,1,5,train,0.08676
2014-10-31,1,10,train,0.0658
2014-10-31,5,1,train,0.09987
2014-10-31,5,5,train,0.09081
2014-10-31,5,10,train,0.09734
2014-10-31,10,1,train,0.09083
2014-10-31,10,5,train,0.10922
2014-10-31,10,10,train,0.13761
2014-11-28,1,1,train,0.15139
2014-11-28,1,5,train,0.08704
2014-11-28,1,10,train,0.06666
2014-11-28,5,1,train,0.10347
2014-11-28,5,5,train,0.09274
2014-11-28,5,10,train,0.09923
2014-11-28,10,1,train,0.09334
2014-11-28,10,5,train,0.11136
2014-11-28,10,10,train,0.13931
2014-12-31,1,1,train,0.16138
2014-12-31,1,5,train,0.08906
2014-12-31,1,10,train,0.06842
2014-12-31,5,1,train,0.11099
2014-12-31,5,5,train,0.09573
2014-12-31,5,10,train,0.10145
2014-12-31,10,1,train,0.09675
2014-12-31,10,5,train,0.11464
2014-12-31,10,10,train,0.14227
2015-01-30,1,1,train,0.19111
2015-01-30,1,5,train,0.09233
2015-01-30,1,10,train,0.07187
2015-01-30,5,1,train,0.12018
2015-01-30,5,5,train,0.09969
2015-01-30,5,10,train,0.10588
2015-01-30,10,1,train,0.10191
2015-01-30,10,5,train,0.11923
2015-01-30,10,10,train,0.1475
2015-02-27,1,1,train,0.1947
2015-02-27,1,5,train,0.09624
2015-02-27,1,10,train,0.0769
2015-02-27,5,1,train,0.13088
2015-02-27,5,5,train,0.10678
2015-02-27,5,10,train,0.11281
2015-02-27,10,1,train,0.11084
2015-02-27,10,5,train,0.12836
2015-02-27,10,10,train,0.15741
2015-03-31,1,1,train,0.20194
2015-03-31,1,5,train,0.102
2015-03-31,1,10,train,0.082
2015-03-31,5,1,train,0.14199
2015-03-31,5,5,train,0.11272
2015-03-31,5,10,train,0.11923
2015-03-31,10,1,train,0.11936
2015-03-31,10,5,train,0.13718
2015-03-31,10,10,train,0.16676
2015-04-30,1,1,train,0.21065
2015-04-30,1,5,train,0.10921
2015-04-30,1,10,train,0.0897
2015-04-30,5,1,train,0.16024
2015-04-30,5,5,train,0.12407
2015-04-30,5,10,train,0.1344
2015-04-30,10,1,train,0.14128
2015-04-30,10,5,train,0.16122
2015-04-30,10,10,train,0.1984
2015-05-29,1,1,train,0.22056
2015-05-29,1,5,train,0.1149
2015-05-29,1,10,train,0.09516
2015-05-29,5,1,train,0.17059
2015-05-29,5,5,train,0.13109
2015-05-29,5,10,train,0.14271
2015-05-29,10,1,train,0.15276
2015-05-29,10,5,train,0.17299
2015-05-29,10,10,train,0.21289
2015-06-30,1,1,train,0.22891
2015-06-30,1,5,train,0.11952
2015-06-30,1,10,train,0.09902
2015-06-30,5,1,train,0.17705
2015-06-30,5,5,train,0.13571
2015-06-30,5,10,train,0.14789
2015-06-30,10,1,train,0.15956
2015-06-30,10,5,train,0.17965
2015-06-30,10,10,train,0.22188
2015-07-31,1,1,train,0.25052
2015-07-31,1,5,train,0.12176
2015-07-31,1,10,train,0.1026
2015-07-31,5,1,train,0.17777
2015-07-31,5,5,train,0.13788
2015-07-31,5,10,train,0.15011
2015-07-31,10,1,train,0.16165
2015-07-31,10,5,train,0.18318
2015-07-31,10,10,train,0.2245
2015-08-31,1,1,train,
2015-08-31,1,5,train,0.12779
2015-08-31,1,10,train,0.10714
2015-08-31,5,1,train,0.18349
2015-08-31,5,5,train,0.14286
2015-08-31,5,10,train,0.15471
2015-08-31,10,1,train,0.16856
2015-08-31,10,5,train,0.19172
2015-08-31,10,10,train,0.23401
2015-09-30,1,1,train,
2015-09-30,1,5,train,0.12679
2015-09-30,1,10,train,0.10703
2015-09-30,5,1,train,0.17988
2015-09-30,5,5,train,0.14081
2015-09-30,5,10,train,0.15334
2015-09-30,10,1,train,0.16471
2015-09-30,10,5,train,0.18845
2015-09-30,10,10,train,0.23083
2015-10-30,1,1,train,
2015-10-30,1,5,train,0.12985
2015-10-30,1,10,train,0.10953
2015-10-30,5,1,train,0.18305
2015-10-30,5,5,train,0.14307
2015-10-30,5,10,train,0.15518
2015-10-30,10,1,train,0.1661
2015-10-30,10,5,train,0.19112
2015-10-30,10,10,train,0.23427
2015-11-30,1,1,train,
2015-11-30,1,5,train,0.1362
2015-11-30,1,10,train,0.11445
2015-11-30,5,1,train,0.18684
2015-11-30,5,5,train,0.14582
2015-11-30,5,10,train,0.15968
2015-11-30,10,1,train,0.17261
2015-11-30,10,5,train,0.19908
2015-11-30,10,10,train,0.2432
2015-12-31,1,1,train,
2015-12-31,1,5,train,0.14204
2015-12-31,1,10,train,0.11437
2015-12-31,5,1,train,0.18553
2015-12-31,5,5,train,0.14398
2015-12-31,5,10,train,0.15729
2015-12-31,10,1,train,0.16797
2015-12-31,10,5,train,0.1954
2015-12-31,10,10,train,0.23887
2016-01-29,1,1,train,
2016-01-29,1,5,train,0.14304
2016-01-29,1,10,train,0.1139
2016-01-29,5,1,train,0.18008
2016-01-29,5,5,train,0.14218
2016-01-29,5,10,train,0.15591
2016-01-29,10,1,train,0.16478
2016-01-29,10,5,train,0.19348
2016-01-29,10,10,train,0.23778
2016-02-29,1,1,train,
2016-02-29,1,5,train,0.16149
2016-02-29,1,10,train,0.11512
2016-02-29,5,1,train,0.18133
2016-02-29,5,5,train,0.14015
2016-02-29,5,10,train,0.15461
2016-02-29,10,1,train,0.15832
2016-02-29,10,5,train,0.1894
2016-02-29,10,10,train,0.23398
2016-03-31,1,1,train,
2016-03-31,1,5,train,0.16149
2016-03-31,1,10,train,0.1213
2016-03-31,5,1,train,0.18133
2016-03-31,5,5,train,0.14577
2016-03-31,5,10,train,0.15862
2016-03-31,10,1,train,0.16124
2016-03-31,10,5,train,0.19255
2016-03-31,10,10,train,0.23923
2016-04-29,1,1,train,
2016-04-29,1,5,train,0.20336
2016-04-29,1,10,train,0.12173
2016-04-29,5,1,train,0.16892
2016-04-29,5,5,train,0.14258
2016-04-29,5,10,train,0.15222
2016-04-29,10,1,train,0.14709
2016-04-29,10,5,train,0.17748
2016-04-29,10,10,train,0.221
2016-05-31,1,1,train,
2016-05-31,1,5,train,0.22618
2016-05-31,1,10,train,0.12294
2016-05-31,5,1,train,0.17835
2016-05-31,5,5,train,0.14108
2016-05-31,5,10,train,0.14842
