date,expiry,tenor,split,sigma_mkt,sigma_drift
2012-09-28,5,5,train,32.0,0.0
2012-09-28,5,10,train,29.3,0.0
2012-09-28,10,1,train,25.1,0.0
2012-09-28,10,5,train,24.1,0.0
2012-09-28,10,10,train,25.8,0.0
2012-10-31,1,1,train,101.1,0.8
2012-10-31,1,5,train,48.7,0.0
2012-10-31,1,10,train,37.3,0.0
2012-10-31,5,1,train,38.3,0.0
2012-10-31,5,5,train,30.2,0.0
2012-10-31,5,10,train,27.8,0.0
2012-10-31,10,1,train,23.7,0.0
2012-10-31,10,5,train,22.7,0.0
2012-10-31,10,10,train,24.4,0.0
2012-11-30,1,1,train,122.1,0.0
2012-11-30,1,5,train,51.3,0.0
2012-11-30,1,10,train,37.1,0.0
2012-11-30,5,1,train,39.8,0.0
2012-11-30,5,5,train,30.3,0.0
2012-11-30,5,10,train,27.5,0.0
2012-11-30,10,1,train,23.7,0.0
2012-11-30,10,5,train,22.6,0.0
2012-11-30,10,10,train,24.0,0.0
2012-12-31,1,1,train,130.3,0.0
2012-12-31,1,5,train,56.6,0.0
2012-12-31,1,10,train,37.7,0.0
2012-12-31,5,1,train,42.9,0.0
2012-12-31,5,5,train,31.3,0.3
2012-12-31,5,10,train,27.9,0.0
2012-12-31,10,1,train,24.2,0.0
2012-12-31,10,5,train,23.1,0.0
2012-12-31,10,10,train,24.3,0.0
2013-01-31,1,1,train,72.4,7.7
2013-01-31,1,5,train,44.9,0.0
2013-01-31,1,10,train,32.1,0.0
2013-01-31,5,1,train,37.2,0.0
2013-01-31,5,5,train,28.1,0.0
2013-01-31,5,10,train,25.7,0.0
2013-01-31,10,1,train,23.1,0.0
2013-01-31,10,5,train,22.2,0.0
2013-01-31,10,10,train,23.1,0.0
2013-02-28,1,1,train,114.3,0.0
2013-02-28,1,5,train,51.8,0.0
2013-02-28,1,10,train,35.9,0.0
2013-02-28,5,1,train,39.5,0.0
2013-02-28,5,5,train,29.1,0.0
2013-02-28,5,10,train,26.3,0.0
2013-02-28,10,1,train,23.5,0.0
2013-02-28,10,5,train,21.9,0.0
2013-02-28,10,10,train,22.9,0.0
2013-03-29,1,1,train,94.2,1.0
2013-03-29,1,5,train,51.2,0.0
2013-03-29,1,10,train,36.3,0.0
2013-03-29,5,1,train,43.2,0.0
2013-03-29,5,5,train,31.2,0.0
2013-03-29,5,10,train,27.7,0.0
2013-03-29,10,1,train,24.8,0.0
2013-03-29,10,5,train,23.0,0.0
2013-03-29,10,10,train,23.8,0.0
2013-04-30,1,1,train,103.9,0.0
2013-04-30,1,5,train,52.9,0.0
2013-04-30,1,10,train,36.9,0.0
2013-04-30,5,1,train,47.0,0.0
2013-04-30,5,5,train,33.1,0.6
2013-04-30,5,10,train,29.0,0.0
2013-04-30,10,1,train,25.8,0.0
2013-04-30,10,5,train,24.0,0.0
2013-04-30,10,10,train,25.0,0.0
2013-05-31,1,1,train,107.4,0.0
2013-05-31,1,5,train,51.7,0.0
2013-05-31,1,10,train,35.5,0.0
2013-05-31,5,1,train,40.8,0.0
2013-05-31,5,5,train,30.6,0.0
2013-05-31,5,10,train,27.2,0.0
2013-05-31,10,1,train,23.6,0.0
2013-05-31,10,5,train,22.5,0.0
2013-05-31,10,10,train,23.4,0.0
2013-06-28,1,1,train,93.2,2.3
2013-06-28,1,5,train,50.4,0.0
2013-06-28,1,10,train,33.5,0.0
2013-06-28,5,1,train,37.3,0.0
2013-06-28,5,5,train,28.6,0.0
2013-06-28,5,10,train,25.8,0.0
2013-06-28,10,1,train,24.1,0.0
2013-06-28,10,5,train,22.4,0.0
2013-06-28,10,10,train,23.2,0.0
2013-07-31,1,1,train,84.1,5.1
2013-07-31,1,5,train,47.0,0.0
2013-07-31,1,10,train,32.8,0.0
2013-07-31,5,1,train,38.1,0.0
2013-07-31,5,5,train,28.9,0.0
2013-07-31,5,10,train,26.3,0.0
2013-07-31,10,1,train,24.1,0.0
2013-07-31,10,5,train,22.5,0.0
2013-07-31,10,10,train,23.2,0.0
2013-08-30,1,1,train,83.8,17.9
2013-08-30,1,5,train,49.1,0.0
2013-08-30,1,10,train,33.6,0.0
2013-08-30,5,1,train,37.4,0.0
2013-08-30,5,5,train,28.9,0.0
2013-08-30,5,10,train,25.8,0.0
2013-08-30,10,1,train,23.6,0.0
2013-08-30,10,5,train,21.7,0.0
2013-08-30,10,10,train,22.5,0.0
2013-09-30,1,1,train,89.6,8.7
2013-09-30,1,5,train,47.7,0.0
2013-09-30,1,10,train,32.9,0.0
2013-09-30,5,1,train,38.2,0.0
2013-09-30,5,5,train,28.6,0.0
2013-09-30,5,10,train,25.8,0.0
2013-09-30,10,1,train,23.9,0.0
2013-09-30,10,5,train,22.3,0.0
2013-09-30,10,10,train,22.9,0.0
2013-10-31,1,1,train,90.0,1.8
2013-10-31,1,5,train,47.9,0.0
2013-10-31,1,10,train,32.7,0.0
2013-10-31,5,1,train,38.4,0.0
